sys,system,series,stage,short,bottom,mid,top,dur,bin,systemCol,seriesCol,col,stageCol,stage name,stageRGB,CGMW
Cm,Cambrian,Terreneuvian,Fortunian,For,538.8,533.9,529,9.8,1,#94ac72,#9db989,#a9be93,#99B575,Fortunian Stage,"153,181,117",#99B575
Cm,Cambrian,Terreneuvian,Stage 2,St2,529,525,521,8,2,#94ac72,#9db989,#b6c29e,#A6BA80,Stage 2 Stage,"166,186,128",#A6BA80
Cm,Cambrian,Series 2,Stage 3,St3,521,517.75,514.5,6.5,3,#94ac72,#a9c595,#b5ca9f,#A6C583,Stage 3 Stage,"166,197,131",#A6C583
Cm,Cambrian,Series 2,Stage 4,St4,514.5,510.5,506.5,8,4,#94ac72,#a9c595,#c0ceaa,#B3CA8E,Stage 4 Stage,"179,202,142",#B3CA8E
Cm,Cambrian,Maolingian,Wulian,Wul,506.5,505.5,504.5,2,5,#94ac72,#b6d2a2,#c1d6af,#B3D492,Wuliuan Stage,"179,212,146",#B3D492
Cm,Cambrian,Maolingian,Drumian,Dru,504.5,502.5,500.5,4,6,#94ac72,#b6d2a2,#cddbb8,#BFD99D,Drumian Stage,"191,217,157",#BFD99D
Cm,Cambrian,Maolingian,Guzhangian,Guz,500.5,498.75,497,3.5,7,#94ac72,#b6d2a2,#d6e1c1,#CCDFAA,Guzhangian Stage,"204,223,170",#CCDFAA
Cm,Cambrian,Furongian,Paibian,Pai,497,495.6,494.2,2.8,8,#94ac72,#c2ddb0,#d8e8c4,#CCEBAE,Paibian Stage,"204,235,174",#CCEBAE
Cm,Cambrian,Furongian,Jiangshanian,Jia,494.2,492.6,491,3.2,9,#94ac72,#c2ddb0,#e4efcf,#D9F0BB,Jiangshanian Stage,"217,240,187",#D9F0BB
Cm,Cambrian,Furongian,Stages 10,St10,491,488.925,486.85,4.15,10,#94ac72,#c2ddb0,#edf2db,#E6F5C9,Stage 10 Stage,"230,245,201",#E6F5C9
O,Ordovician,Lower Ordovician,Tremadocian,Tre,486.85,481.975,477.1,9.75,11,#009881,#00a180,#0dac98,#33A97E,Tremadocian Stage,"51,169,126",#33A97E
O,Ordovician,Lower Ordovician,Floian,Flo,477.1,474.2,471.3,5.8,12,#009881,#00a180,#0eb1a0,#41B087,Floian Stage,"65,176,135",#41B087
O,Ordovician,Middle Ordovician,Dapingian,Dap,471.3,470.35,469.4,1.9,13,#009881,#34b597,#67c0ae,#66C092,Dapingian Stage,"102,192,146",#66C092
O,Ordovician,Middle Ordovician,Darriwilian,Dar,469.4,463.8,458.2,11.2,14,#009881,#34b597,#79c5b8,#74C69C,Darriwilian Stage,"116,198,156",#74C69C
O,Ordovician,Upper Ordovician,Sandbian,Sbd,458.2,455.5,452.8,5.4,15,#009881,#8ccbae,#9bceaf,#8CD094,Sandbian Stage,"140,208,148",#8CD094
O,Ordovician,Upper Ordovician,Katian,Kat,452.8,449,445.2,7.6,16,#009881,#8ccbae,#a6d5c3,#99D69F,Katian Stage,"153,214,159",#99D69F
O,Ordovician,Upper Ordovician,Hirnantian,Hir,445.2,444.15,443.1,2.1,17,#009881,#8ccbae,#b6d9c3,#A6DBAB,Hirnantian Stage,"166,219,171",#A6DBAB
