"bin","interval_name","rank","max_ma","mid_ma","min_ma","duration_myr","short","font","sys","system","series","systemCol","seriesCol","stageCol","stageRGB"
11,"Tremadocian","international ages",486.85,481.975,477.1,9.75,"Tre","black","O","Ordovician","Lower Ordovician","#009881","#00a180","#33A97E","51,169,126"
12,"Floian","international ages",477.1,474.2,471.3,5.8,"Flo","black","O","Ordovician","Lower Ordovician","#009881","#00a180","#41B087","65,176,135"
13,"Dapingian","international ages",471.3,470.35,469.4,1.9,"Dap","black","O","Ordovician","Middle Ordovician","#009881","#34b597","#66C092","102,192,146"
14,"Darriwilian","international ages",469.4,463.8,458.2,11.2,"Dar","black","O","Ordovician","Middle Ordovician","#009881","#34b597","#74C69C","116,198,156"
15,"Sandbian","international ages",458.2,455.5,452.8,5.4,"Sbd","black","O","Ordovician","Upper Ordovician","#009881","#8ccbae","#8CD094","140,208,148"
16,"Katian","international ages",452.8,449,445.2,7.6,"Kat","black","O","Ordovician","Upper Ordovician","#009881","#8ccbae","#99D69F","153,214,159"
17,"Hirnantian","international ages",445.2,444.15,443.1,2.1,"Hir","black","O","Ordovician","Upper Ordovician","#009881","#8ccbae","#A6DBAB","166,219,171"
18,"Rhuddanian","international ages",443.1,441.8,440.5,2.6,"Rhu","black","S","Silurian","Llandovery","#bfe0cd","#8ccbae","#A6DCB5","166,220,181"
19,"Aeronian","international ages",440.5,439.55,438.6,1.9,"Aer","black","S","Silurian","Llandovery","#bfe0cd","#8ccbae","#B3E1C2","179,225,194"
20,"Telychian","international ages",438.6,435.75,432.9,5.7,"Tel","black","S","Silurian","Llandovery","#bfe0cd","#8ccbae","#BFE6CF","191,230,207"
21,"Sheinwoodian","international ages",432.9,431.75,430.6,2.3,"She","black","S","Silurian","Wenlock","#bfe0cd","#c1e1d6","#BFE6C3","191,230,195"
22,"Homerian","international ages",430.6,428.65,426.7,3.9,"Hom","black","S","Silurian","Wenlock","#bfe0cd","#c1e1d6","#CCEBD1","204,235,209"
23,"Gorstian","international ages",426.7,425.85,425,1.7,"Gor","black","S","Silurian","Ludlow","#bfe0cd","#cce7e2","#CCECDD","204,236,221"
24,"Ludfordian","international ages",425,423.85,422.7,2.3,"Lud","black","S","Silurian","Ludlow","#bfe0cd","#cce7e2","#D9F0DF","217,240,223"
25,"Pridoli","international ages",422.7,421.16,419.62,3.08,"Pri","black","S","Silurian","Pridoli","#bfe0cd","#ebf5ec","#E6F5E1","230,245,225"
26,"Lochkovian","international ages",419.62,416.32,413.02,6.6,"Loc","black","D","Devonian","Lower Devonian","#d49f51","#e9ba6a","#E5B75A","229,183,90"
27,"Pragian","international ages",413.02,411.82,410.62,2.4,"Pra","black","D","Devonian","Lower Devonian","#d49f51","#e9ba6a","#E5C468","229,196,104"
28,"Emsian","international ages",410.62,402.045,393.47,17.15,"Ems","black","D","Devonian","Lower Devonian","#d49f51","#e9ba6a","#E5D075","229,208,117"
29,"Eifelian","international ages",393.47,390.71,387.95,5.52,"Eif","black","D","Devonian","Middle Devonian","#d49f51","#f4ce85","#F1D576","241,213,118"
30,"Givetian","international ages",387.95,385.13,382.31,5.64,"Giv","black","D","Devonian","Middle Devonian","#d49f51","#f4ce85","#F1E185","241,225,133"
31,"Frasnian","international ages",382.31,377.23,372.15,10.16,"Fra","black","D","Devonian","Upper Devonian","#d49f51","#f5e4b6","#F2EDAD","242,237,173"
32,"Famennian","international ages",372.15,365.505,358.86,13.29,"Fam","black","D","Devonian","Upper Devonian","#d49f51","#f5e4b6","#F2EDB3","242,237,179"
33,"Tournaisian","international ages",358.86,352.78,346.7,12.16,"Tou","black","C","Carboniferous","Mississippian","#6eafb5","#769e83","#8CB06C","140,176,108"
34,"Visean","international ages",346.7,338.5,330.3,16.4,"Vis","black","C","Carboniferous","Mississippian","#6eafb5","#769e83","#A6B96C","166,185,108"
35,"Serpukhovian","international ages",330.3,326.85,323.4,6.9,"Ser","black","C","Carboniferous","Mississippian","#6eafb5","#769e83","#BFC26B","191,194,107"
36,"Bashkirian","international ages",323.4,319.3,315.2,8.2,"Bas","black","C","Carboniferous","Pennsylvanian","#6eafb5","#a6c9cd","#99C2B5","153,194,181"
37,"Moscovian","international ages",315.2,311.1,307,8.2,"Mos","black","C","Carboniferous","Pennsylvanian","#6eafb5","#a6c9cd","#B3CBB9","179,203,185"
38,"Kasimovian","international ages",307,305.35,303.7,3.3,"Kas","black","C","Carboniferous","Pennsylvanian","#6eafb5","#a6c9cd","#BFD0C5","191,208,197"
39,"Gzhelian","international ages",303.7,301.3,298.9,4.8,"Gzh","black","C","Carboniferous","Pennsylvanian","#6eafb5","#a6c9cd","#CCD4C7","204,212,199"
40,"Asselian","international ages",298.9,296.21,293.52,5.38,"Ass","black","P","Permian","Cisuralian","#e35b41","#e5755f","#E36350","227,99,80"
41,"Sakmarian","international ages",293.52,291.81,290.1,3.42,"Sak","black","P","Permian","Cisuralian","#e35b41","#e5755f","#E36F5C","227,111,92"
42,"Artinskian","international ages",290.1,286.7,283.3,6.8,"Art","black","P","Permian","Cisuralian","#e35b41","#e5755f","#E37B68","227,123,104"
43,"Kungurian","international ages",283.3,278.85,274.4,8.9,"Kun","black","P","Permian","Cisuralian","#e35b41","#e5755f","#E38776","227,135,118"
44,"Roadian","international ages",274.4,270.65,266.9,7.5,"Roa","black","P","Permian","Guadalupian","#e35b41","#f18f76","#FB8069","251,128,105"
45,"Wordian","international ages",266.9,265.59,264.28,2.62,"Wor","black","P","Permian","Guadalupian","#e35b41","#f18f76","#FB8D76","251,141,118"
46,"Capitanian","international ages",264.28,261.895,259.51,4.77,"Cap","black","P","Permian","Guadalupian","#e35b41","#f18f76","#FB9A85","251,154,133"
47,"Wuchiapingian","international ages",259.51,256.825,254.14,5.37,"Wuc","black","P","Permian","Lopingian","#e35b41","#f8baab","#FCB4A2","252,180,162"
48,"Changhsingian","international ages",254.14,253.021,251.902,2.238,"Chg","black","P","Permian","Lopingian","#e35b41","#f8baab","#FCC0B2","252,192,178"
49,"Induan","international ages",251.902,250.901,249.9,2.002,"Ind","white","Tr","Triassic","Lower Triassic","#984b99","#a9599e","#A4469F","164,70,159"
50,"Olenekian","international ages",249.9,248.3,246.7,3.2,"Ole","white","Tr","Triassic","Lower Triassic","#984b99","#a9599e","#B051A5","176,81,165"
51,"Anisian","international ages",246.7,244.082,241.464,5.236,"Ani","black","Tr","Triassic","Middle Triassic","#984b99","#bd86bd","#BC75B7","188,117,183"
52,"Ladinian","international ages",241.464,239.232,237,4.464,"Lad","black","Tr","Triassic","Middle Triassic","#984b99","#bd86bd","#C983BF","201,131,191"
53,"Carnian","international ages",237,232.15,227.3,9.7,"Car","black","Tr","Triassic","Upper Triassic","#984b99","#c9a6d0","#C99BCB","201,155,203"
54,"Norian","international ages",227.3,216.5,205.7,21.6,"Nor","black","Tr","Triassic","Upper Triassic","#984b99","#c9a6d0","#D6AAD3","214,170,211"
55,"Rhaetian","international ages",205.7,203.55,201.4,4.3,"Rha","black","Tr","Triassic","Upper Triassic","#984b99","#c9a6d0","#E3B9DB","227,185,219"
56,"Hettangian","international ages",201.4,200.45,199.5,1.9,"Het","black","J","Jurassic","Lower Jurassic","#00b0e2","#02b1ea","#4EB3D3","78,179,211"
57,"Sinemurian","international ages",199.5,196.2,192.9,6.6,"Sin","black","J","Jurassic","Lower Jurassic","#00b0e2","#02b1ea","#67BCD8","103,188,216"
58,"Pliensbachian","international ages",192.9,188.55,184.2,8.7,"Plb","black","J","Jurassic","Lower Jurassic","#00b0e2","#02b1ea","#80C5DD","128,197,221"
59,"Toarcian","international ages",184.2,179.45,174.7,9.5,"Toa","black","J","Jurassic","Lower Jurassic","#00b0e2","#02b1ea","#99CEE3","153,206,227"
60,"Aalenian","international ages",174.7,172.8,170.9,3.8,"Aal","black","J","Jurassic","Middle Jurassic","#00b0e2","#84cfee","#9AD9DD","154,217,221"
61,"Bajocian","international ages",170.9,169.55,168.2,2.7,"Baj","black","J","Jurassic","Middle Jurassic","#00b0e2","#84cfee","#A6DDE0","166,221,224"
62,"Bathonian","international ages",168.2,166.75,165.3,2.9,"Bat","black","J","Jurassic","Middle Jurassic","#00b0e2","#84cfee","#B3E2E3","179,226,227"
63,"Callovian","international ages",165.3,163.4,161.5,3.8,"Cal","black","J","Jurassic","Middle Jurassic","#00b0e2","#84cfee","#BFE7E5","191,231,229"
64,"Oxfordian","international ages",161.5,158.15,154.8,6.7,"Oxf","black","J","Jurassic","Upper Jurassic","#00b0e2","#bbe4fa","#BFE7F1","191,231,241"
65,"Kimmeridgian","international ages",154.8,152,149.2,5.6,"Kim","black","J","Jurassic","Upper Jurassic","#00b0e2","#bbe4fa","#CCECF4","204,236,244"
66,"Tithonian","international ages",149.2,146.15,143.1,6.1,"Tit","black","J","Jurassic","Upper Jurassic","#00b0e2","#bbe4fa","#D9F1F7","217,241,247"
67,"Berriasian","international ages",143.1,140.075,137.05,6.05,"Ber","black","K","Cretaceous","Lower Cretaceous","#95c562","#9fca70","#8CCD60","140,205,96"
68,"Valanginian","international ages",137.05,134.825,132.6,4.45,"Val","black","K","Cretaceous","Lower Cretaceous","#95c562","#9fca70","#99D36A","153,211,106"
69,"Hauterivian","international ages",132.6,129.185,125.77,6.83,"Hau","black","K","Cretaceous","Lower Cretaceous","#95c562","#9fca70","#A6D975","166,217,117"
70,"Barremian","international ages",125.77,123.585,121.4,4.37,"Bar","black","K","Cretaceous","Lower Cretaceous","#95c562","#9fca70","#B3DF7F","179,223,127"
71,"Aptian","international ages",121.4,117.3,113.2,8.2,"Apt","black","K","Cretaceous","Lower Cretaceous","#95c562","#9fca70","#BFE48A","191,228,138"
72,"Albian","international ages",113.2,106.85,100.5,12.7,"Alb","black","K","Cretaceous","Lower Cretaceous","#95c562","#9fca70","#CCEA97","204,234,151"
73,"Cenomanian","international ages",100.5,97.2,93.9,6.6,"Cen","black","K","Cretaceous","Upper Cretaceous","#95c562","#b9d25d","#B3DE53","179,222,83"
74,"Turonian","international ages",93.9,91.85,89.8,4.1,"Tur","black","K","Cretaceous","Upper Cretaceous","#95c562","#b9d25d","#BFE35D","191,227,93"
75,"Coniacian","international ages",89.8,87.75,85.7,4.1,"Con","black","K","Cretaceous","Upper Cretaceous","#95c562","#b9d25d","#CCE968","204,233,104"
76,"Santonian","international ages",85.7,84.65,83.6,2.1,"San","black","K","Cretaceous","Upper Cretaceous","#95c562","#b9d25d","#D9EF74","217,239,116"
77,"Campanian","international ages",83.6,77.9,72.2,11.4,"Cam","black","K","Cretaceous","Upper Cretaceous","#95c562","#b9d25d","#E6F47F","230,244,127"
78,"Maastrichtian","international ages",72.2,69.1,66,6.2,"Maa","black","K","Cretaceous","Upper Cretaceous","#95c562","#b9d25d","#F2FA8C","242,250,140"
79,"Danian","international ages",66,63.83,61.66,4.34,"Dan","black","Pg","Paleogene","Paleocene","#f8ac70","#f8b77d","#FDB462","253,180,98"
80,"Selandian","international ages",61.66,60.45,59.24,2.42,"Se","black","Pg","Paleogene","Paleocene","#f8ac70","#f8b77d","#FEBF65","254,191,101"
81,"Thanetian","international ages",59.24,57.62,56,3.24,"Th","black","Pg","Paleogene","Paleocene","#f8ac70","#f8b77d","#FDBF6F","253,191,111"
82,"Ypresian","international ages",56,52.035,48.07,7.93,"Ypr","black","Pg","Paleogene","Eocene","#f8ac70","#fac18a","#FCA773","252,167,115"
83,"Lutetian","international ages",48.07,44.55,41.03,7.04,"Lut","black","Pg","Paleogene","Eocene","#f8ac70","#fac18a","#FDB482","253,180,130"
84,"Bartonian","international ages",41.03,39.37,37.71,3.32,"Brt","black","Pg","Paleogene","Eocene","#f8ac70","#fac18a","#FDC091","253,192,145"
85,"Priabonian","international ages",37.71,35.805,33.9,3.81,"Prb","black","Pg","Paleogene","Eocene","#f8ac70","#fac18a","#FDCDA1","253,205,161"
86,"Rupelian","international ages",33.9,30.6,27.3,6.6,"Rup","black","Pg","Paleogene","Oligocene","#f8ac70","#fdcb98","#FED99A","254,217,154"
87,"Chattian","international ages",27.3,25.17,23.04,4.26,"Cht","black","Pg","Paleogene","Oligocene","#f8ac70","#fdcb98","#FEE6AA","254,230,170"
88,"Aquitanian","international ages",23.04,21.745,20.45,2.59,"Aqu","black","Ng","Neogene","Miocene","#fede1a","#ffed02","#FFFF33","255,255,51"
89,"Burdigalian","international ages",20.45,18.215,15.98,4.47,"Bur","black","Ng","Neogene","Miocene","#fede1a","#ffed02","#FFFF41","255,255,65"
