"n_lat_bins","script","success"
36,"./R/03_LDG_compared_in_climate_state_per_cell.R",TRUE
36,"./R/02b_LDG_slope_QC_sensitivity.R",TRUE
36,"./R/05_high_latitude_coverage_summary_FigS3.R",TRUE
36,"./R/06_NH_SH_slope_bivariate_sampling_FigS8.R",TRUE
18,"./R/03_LDG_compared_in_climate_state_per_cell.R",TRUE
18,"./R/02b_LDG_slope_QC_sensitivity.R",FALSE
18,"./R/05_high_latitude_coverage_summary_FigS3.R",TRUE
18,"./R/06_NH_SH_slope_bivariate_sampling_FigS8.R",TRUE
12,"./R/03_LDG_compared_in_climate_state_per_cell.R",TRUE
12,"./R/02b_LDG_slope_QC_sensitivity.R",TRUE
12,"./R/05_high_latitude_coverage_summary_FigS3.R",TRUE
12,"./R/06_NH_SH_slope_bivariate_sampling_FigS8.R",TRUE
6,"./R/03_LDG_compared_in_climate_state_per_cell.R",TRUE
6,"./R/02b_LDG_slope_QC_sensitivity.R",FALSE
6,"./R/05_high_latitude_coverage_summary_FigS3.R",FALSE
6,"./R/06_NH_SH_slope_bivariate_sampling_FigS8.R",FALSE
