"bin_midpoint","stage.x","hemisphere","slope","intercept","slope_se","slope_lower_95","slope_upper_95","p_value","r_squared","n_cells_model","method","label","color","n_cells","n_valid_lat_bins","min_abs_lat","max_abs_lat","lat_range","sum_nT","mean_nT","median_nT","mean_t_over_nT","max_t_over_nT","prop_high_extrapolation","slope_direction","bin","stage.y","short","bottom","top","dur","climate_state","climate_color"
0.00585,"Holocene","Northern",-0.88473927337835,76.4746986710087,0.260423988752272,-1.3951702913328,-0.374308255423897,0.00529603666913819,0.490265550968881,14,"grid_cell_all_cells_OLS","good","Northern",14,3,10.5993221770777,82.9884517635243,72.3891295864466,1167,83.3571428571429,42,0.854208092157354,1.59238944271563,0.142857142857143,"normal_LDG",97,"Holocene","Hol",0.0117,0,0.0117,"Coldhouse","#B2CCC7"
1.29585,"Pleistocene","Northern",-0.732297100036348,56.0879386445075,0.205883264243084,-1.13582829795279,-0.328765902119903,0.00102545057311267,0.249771335036144,40,"grid_cell_all_cells_OLS","good","Northern",40,3,10.8100218778118,79.841380966896,69.0313590890842,19025,475.625,159,0.716439033267173,1.68721150432237,0.075,"normal_LDG",96,"Pleistocene","Ple",2.58,0.0117,2.5683,"Coldhouse","#B2CCC7"
3.09,"Piacenzian","Northern",-0.80652661228314,68.9466304073541,0.420592960762717,-1.63088881537807,0.0178355908117859,0.0773986980185291,0.220491126113453,15,"grid_cell_all_cells_OLS","good","Northern",15,3,10.5993221751266,66.4175214325077,55.8181992573811,6898,459.866666666667,320,0.604340928427062,1.35497779899044,0,"normal_LDG",95,"Piacenzian","Pia",3.6,2.58,1.02,"Coldhouse","#B2CCC7"
4.4665,"Zanclean","Northern",-0.645427484906266,55.734173861141,0.321979918023032,-1.27650812423141,-0.0143468455811242,0.0551336818909177,0.129544803906028,29,"grid_cell_all_cells_OLS","good","Northern",29,3,3.61254422601775,66.4175214325077,62.80497720649,8018,276.48275862069,144,0.883106179501365,1.93198009973074,0.275862068965517,"normal_LDG",94,"Zanclean","Zan",5.333,3.6,1.733,"Coldhouse","#B2CCC7"
6.2895,"Messinian","Northern",-2.23014527967166,113.372314613649,0.537667584428909,-3.28397374515232,-1.176316814191,0.00321862389888937,0.682594639332243,10,"grid_cell_all_cells_OLS","good","Northern",10,3,10.8100218778118,45.5739942769584,34.7639723991466,4436,443.6,234.5,0.560190127345113,1.73051389917203,0.1,"normal_LDG",93,"Messinian","Mes",7.246,5.333,1.913,"Coldhouse","#B2CCC7"
9.438,"Tortonian","Northern",-0.49850761611564,49.8114926975454,0.236785493103388,-0.96260718259828,-0.0344080496329993,0.0463890261274304,0.161573637414294,25,"grid_cell_all_cells_OLS","good","Northern",25,3,3.61254422601775,73.8495458966174,70.2370016705997,10706,428.24,166,0.702348627437195,1.77426853710394,0.08,"normal_LDG",92,"Tortonian","Tor",11.63,7.246,4.384,"Coolhouse","#B3D8D0"
12.725,"Serravallian","Northern",0.486769109441543,12.5854509361391,0.333730940067447,-0.167343533090653,1.14088175197374,0.157648206940572,0.0814247741800817,26,"grid_cell_all_cells_OLS","good","Northern",26,3,7.26849383904668,59.8661434807237,52.597649641677,8862,340.846153846154,104,0.773163250606069,1.74839493172563,0.0769230769230769,"reverse_LDG",91,"Serravallian","Ser",13.82,11.63,2.19,"Transitional","#E4E4E4"
14.9,"Langhian","Northern",-0.474608961590004,49.4541008768844,0.808497976671915,-2.05926499586696,1.11004707268695,0.570201505621019,0.0333119713455477,12,"grid_cell_all_cells_OLS","good","Northern",12,3,10.5993221751266,52.5833589733677,41.9840367982411,2374,197.833333333333,148,0.932587514089437,1.69931122112038,0.166666666666667,"normal_LDG",90,"Langhian","Lan",15.98,13.82,2.16,"Transitional","#E4E4E4"
18.215,"Burdigalian","Northern",0.189899474084757,15.9708385279826,0.32651232333049,-0.450064679643005,0.829863627812518,0.565330208240239,0.0115295947520992,31,"grid_cell_all_cells_OLS","good","Northern",31,3,10.5993221751266,59.8661434807237,49.2668213055971,9872,318.451612903226,109,0.911631799394954,1.98703931713944,0.161290322580645,"reverse_LDG",89,"Burdigalian","Bur",20.45,15.98,4.47,"Transitional","#E4E4E4"
21.745,"Aquitanian","Northern",-0.867084030415968,62.3496460619674,0.936290664626923,-2.70221373308474,0.968045672252801,0.396902140650926,0.146412751744559,7,"grid_cell_all_cells_OLS","good","Northern",7,3,10.8100218778118,47.8962635996979,37.0862417218861,556,79.4285714285714,40,0.745267659397802,1.22790344500156,0,"normal_LDG",88,"Aquitanian","Aqu",23.04,20.45,2.59,"Coolhouse","#B3D8D0"
25.17,"Chattian","Northern",0.300729232988917,23.4019054729414,0.479254110230227,-0.638608823062327,1.24006728904016,0.538673119783566,0.0226373923985074,19,"grid_cell_all_cells_OLS","good","Northern",19,3,10.8100218778118,58.4975317557422,47.6875098779304,3391,178.473684210526,143,0.812435830957283,1.60839325422232,0.0526315789473684,"reverse_LDG",87,"Chattian","Cht",27.3,23.04,4.26,"Transitional","#E4E4E4"
30.6,"Rupelian","Northern",0.405989963502318,11.0372179158458,0.309346969305074,-0.200330096335627,1.01231002334026,0.2035461044013,0.0758026337971806,23,"grid_cell_all_cells_OLS","good","Northern",23,3,3.99517990899584,59.866143480929,55.8709635719332,7037,305.95652173913,114,0.767193355234862,1.86999332474669,0.130434782608696,"reverse_LDG",86,"Rupelian","Rup",33.9,27.3,6.6,"Transitional","#E4E4E4"
35.805,"Priabonian","Northern",0.511823649477461,12.6331559705959,0.391461938385444,-0.255441749758008,1.27908904871293,0.203973844287672,0.0691828063070241,25,"grid_cell_all_cells_OLS","good","Northern",25,3,3.61254422601775,52.5676550152151,48.9551107891973,4480,179.2,123,0.911716294986486,1.69292100494687,0.04,"reverse_LDG",85,"Priabonian","Prb",37.71,33.9,3.81,"Warmhouse","#DECABC"
39.37,"Bartonian","Northern",-0.0119193442502834,22.1678393103053,0.448319196886195,-0.890624970147225,0.866786281646659,0.979066614850741,3.72014868000249e-05,21,"grid_cell_all_cells_OLS","good","Northern",21,3,16.0751815290455,59.8661434807237,43.7909619516782,10523,501.095238095238,76,0.770974503385166,1.69931122112038,0.0952380952380952,"normal_LDG",84,"Bartonian","Brt",41.03,37.71,3.32,"Warmhouse","#DECABC"
44.55,"Lutetian","Northern",0.132007133117844,17.0288447531916,0.28589988289632,-0.428356637358943,0.69237090359463,0.648615929807219,0.00918400301087524,25,"grid_cell_all_cells_OLS","good","Northern",25,3,9.27928154252489e-10,59.7585569074557,59.7585569065278,7926,317.04,101,0.75730214215729,1.54985113281706,0.12,"reverse_LDG",83,"Lutetian","Lut",48.07,41.03,7.04,"Warmhouse","#DECABC"
52.035,"Ypresian","Northern",0.572930994887207,14.592404259357,0.575614924363988,-0.555274256866211,1.70113624664062,0.336465265240502,0.0660874109313491,16,"grid_cell_all_cells_OLS","good","Northern",16,3,4.08713792685411,51.9932841068581,47.906146180004,5974,373.375,208.5,0.601757455059274,1.88430466469782,0.0625,"reverse_LDG",82,"Ypresian","Ypr",56,48.07,7.93,"Hothouse","#D6B6B7"
