"bin_midpoint","stage.x","hemisphere","slope","slope_mean","slope_sd","slope_lower_95","slope_upper_95","intercept","slope_se","p_value","r_squared","n_cells_model","n_resamples_valid","prop_negative","prop_positive","k_sample","method","label","color","n_cells","sum_nT","mean_nT","median_nT","n_valid_lat_bins","min_abs_lat","max_abs_lat","lat_range","mean_t_over_nT","max_t_over_nT","prop_high_extrapolation","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","sampling_profile_dissim","slope_direction","bin","stage.y","short","bottom","top","dur","climate_state","climate_color"
0.00585,"Holocene","Northern",-1.05444177669881,NA,NA,NA,NA,78.6811623663275,0.284749893588627,0.00301892416504678,0.533301741449801,14,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",14,1057,75.5,42.5,5,9.608984116,79.94533967,70.336355554,0.842793373009884,1.934850555,0.214285714285714,1,5,2.8,2,0.586845597326964,0.357142857142857,0.357142857142857,1.5,"normal_LDG",97,"Holocene","Hol",0.0117,0,0.0117,"Coldhouse","#005344"
1.29585,"Pleistocene","Northern",-0.50605788555874,NA,NA,NA,NA,41.1744721438458,0.139442918289572,0.00057137989671324,0.172909860531496,65,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",65,17555,270.076923076923,93,6,2.42e-09,82.32650977,82.32650976758,0.818811681212152,1.9537450031746,0.153846153846154,3,25,10.8333333333333,8,0.71838082234784,0.276923076923077,0.384615384615385,0.473684210526316,"normal_LDG",96,"Pleistocene","Ple",2.58,0.0117,2.5683,"Coldhouse","#005344"
3.09,"Piacenzian","Northern",-0.658976976958327,NA,NA,NA,NA,55.767568680978,0.392593075541266,0.107394681701189,0.113526741094796,24,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",24,6649,277.041666666667,166.5,5,9.64040354,64.68939682,55.04899328,0.894595444804805,1.98088569054054,0.166666666666667,1,13,4.8,3,1.00346621489936,0.208333333333333,0.541666666666667,1,"normal_LDG",95,"Piacenzian","Pia",3.6,2.58,1.02,"Coldhouse","#005344"
4.4665,"Zanclean","Northern",-0.470725796909823,NA,NA,NA,NA,42.1240101336093,0.21979390427462,0.0383632588736678,0.10287241403496,42,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",42,7300,173.809523809524,94.5,6,1.204524046,66.94568801,65.741163964,0.859143697499428,1.66905428416667,0.0952380952380952,2,15,7,6.5,0.682133507789333,0.285714285714286,0.357142857142857,1,"normal_LDG",94,"Zanclean","Zan",5.333,3.6,1.733,"Coldhouse","#005344"
6.2895,"Messinian","Northern",-1.30594321997651,NA,NA,NA,NA,82.8844957808113,0.680122739761361,0.0837870471369261,0.269380093632456,12,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",12,4083,340.25,105,3,9.64040354,46.08968767,36.44928413,0.827245349235165,1.749144415,0.25,3,6,4,3,0.433012701892219,0.75,0.5,0,"normal_LDG",93,"Messinian","Mes",7.246,5.333,1.913,"Coldhouse","#005344"
9.438,"Tortonian","Northern",-0.687321335438902,NA,NA,NA,NA,55.286128434391,0.215747607566629,0.00344122748126549,0.259242293045397,31,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",31,10098,325.741935483871,94,6,1.219167232,71.71225682,70.493089588,0.764237691767902,1.92666515866667,0.129032258064516,1,13,5.16666666666667,4,0.806580634840361,0.193548387096774,0.419354838709677,1.22727272727273,"normal_LDG",92,"Tortonian","Tor",11.63,7.246,4.384,"Coolhouse","#007d65"
12.725,"Serravallian","Northern",0.312210429887044,NA,NA,NA,NA,6.38197435144813,0.219896011882388,0.164509506798897,0.0544593281037831,37,NA,0,1,NA,"grid_cell_all_cells_OLS","good","Northern",37,7994,216.054054054054,70,6,8.417314652,56.73585976,48.318545108,0.919927127353343,1.85189031086957,0.162162162162162,1,12,6.16666666666667,4,0.756563681933674,0.162162162162162,0.324324324324324,1.35,"reverse_LDG",91,"Serravallian","Ser",13.82,11.63,2.19,"Transitional","#c8c7c7"
14.9,"Langhian","Northern",0.0213495058257128,NA,NA,NA,NA,26.7221991843037,0.659408753568942,0.974598500962764,6.98786698764142e-05,17,NA,0,1,NA,"grid_cell_all_cells_OLS","good","Northern",17,2269,133.470588235294,75,4,10.83026067,52.58335897,41.7530983,0.949973919250148,1.71272657169811,0.235294117647059,1,9,4.25,3.5,0.800806974771064,0.235294117647059,0.529411764705882,0,"reverse_LDG",90,"Langhian","Lan",15.98,13.82,2.16,"Transitional","#c8c7c7"
18.215,"Burdigalian","Northern",0.0122946475205818,NA,NA,NA,NA,15.7354646501189,0.218398590349818,0.955356386757082,7.04189273513562e-05,47,NA,0,1,NA,"grid_cell_all_cells_OLS","good","Northern",47,8929,189.978723404255,40,6,2.725738482,59.99392079,57.268182308,0.852697753273673,1.77677604357143,0.106382978723404,2,16,7.83333333333333,6,0.792792338616111,0.25531914893617,0.340425531914894,1.18421052631579,"reverse_LDG",89,"Burdigalian","Bur",20.45,15.98,4.47,"Transitional","#c8c7c7"
21.745,"Aquitanian","Northern",-0.6828571880194,NA,NA,NA,NA,49.0697907374499,0.77517439739488,0.41226012904801,0.114521657038399,8,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",8,517,64.625,21,4,7.240276668,47.8962636,40.655986932,0.793476582240206,1.41437266833333,0,1,3,2,2,0.577350269189626,0.5,0.375,0,"normal_LDG",88,"Aquitanian","Aqu",23.04,20.45,2.59,"Coolhouse","#007d65"
