"bin_midpoint","stage.x","hemisphere","slope","slope_mean","slope_sd","slope_lower_95","slope_upper_95","intercept","slope_se","p_value","r_squared","n_cells_model","n_resamples_valid","prop_negative","prop_positive","k_sample","slope_filter_id","slope_qc_type","slope_occurrence_min","slope_collection_min","method_group","slope_metric","quantile","n_cells","n_valid_lat_bins","min_abs_lat_bin_mid","max_abs_lat_bin_mid","lat_range_diagnostic","has_tropical","has_temperate","has_polar","sum_nT","mean_nT","median_nT","min_nT","max_nT","has_adjacent_tt","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","pass_tropical","pass_temperate","pass_polar","pass_adjacent_tt","pass_n_lat_bins","label","color","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","require_tropical","require_temperate","require_polar","require_adjacent_tt","require_min_lat_bins","sampling_profile_dissim","slope_90deg","slope_sampled_range","interval_width","slope_direction","method","lat_range","min_abs_lat","max_abs_lat","bin","stage.y","short","bottom","top","dur","climate_state","climate_color"
0.00585,"Holocene","Northern",-1.10202819070859,-1.14149658684677,0.326697629655917,-1.6805755466435,-0.603158808063788,82.8292697591791,0.520564785008593,0.100057867251301,0.648556021110259,5,100,1,0,1,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,14,5,14.532644,73.221345,58.688701,TRUE,TRUE,TRUE,1057,75.5,42.5,10,373,TRUE,1,5,2.8,2,0.586845597326964,0.357142857142857,0.357142857142857,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,1,-99.182537163773,-64.6766029780673,1.07741673857971,"normal_LDG","grid_cell_balanced_resampling_OLS",58.688701,14.532644,73.221345,97,"Holocene","Hol",0.0117,0,0.0117,"Coldhouse","#005344"
1.29585,"Pleistocene","Northern",-0.32531909850564,-0.332645059767545,0.0829660807901875,-0.492662356613349,-0.175927694365915,32.8167839555199,0.233829502741481,0.168331609775298,0.115146145762009,18,100,1,0,3,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,65,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,17555,270.076923076923,93,5,4905,TRUE,3,25,10.8333333333333,8,0.71838082234784,0.276923076923077,0.384615384615385,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.177327935222672,-29.2787188655076,-22.2597351703896,0.316734662247434,"normal_LDG","grid_cell_balanced_resampling_OLS",68.424311,4.797034,73.221345,96,"Pleistocene","Ple",2.58,0.0117,2.5683,"Coldhouse","#005344"
3.09,"Piacenzian","Northern",-0.674986665939327,-0.641950957182967,0.49949163225323,-1.52388522956867,0.27605541931355,57.8642439825549,0.623502781728873,0.38132291820184,0.258913744110676,5,100,0.87,0.13,1,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,24,5,14.532644,73.221345,58.688701,TRUE,TRUE,TRUE,6649,277.041666666667,166.5,20,1830,TRUE,1,13,4.8,3,1.00346621489936,0.208333333333333,0.541666666666667,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.666666666666667,-60.7487999345395,-39.6140906163001,1.79994064888222,"normal_LDG","grid_cell_balanced_resampling_OLS",58.688701,14.532644,73.221345,95,"Piacenzian","Pia",3.6,2.58,1.02,"Coldhouse","#005344"
4.4665,"Zanclean","Northern",-0.529898621948712,-0.521017370051817,0.197408888180028,-0.880232806835335,-0.202174670458745,43.0141271259834,0.313710694466621,0.154722880282579,0.191585891088892,12,100,1,0,2,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,42,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,7300,173.809523809524,94.5,5,993,TRUE,2,15,7,6.5,0.682133507789333,0.285714285714286,0.357142857142857,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.523809523809524,-47.690875975384,-36.2579481066901,0.67805813637659,"normal_LDG","grid_cell_balanced_resampling_OLS",68.424311,4.797034,73.221345,94,"Zanclean","Zan",5.333,3.6,1.733,"Coldhouse","#005344"
6.2895,"Messinian","Northern",-1.32159011020549,-1.32933623014515,0.071624322605667,-1.46738611873026,-1.17239179492001,81.6361238472185,0.754510713155876,0.114448093732996,0.317030964958602,9,100,1,0,3,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,12,3,14.532644,49.126503,34.593859,TRUE,TRUE,FALSE,4083,340.25,105,14,2132,TRUE,3,6,4,3,0.433012701892219,0.75,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.5,-118.943109918494,-45.7189019282433,0.29499432381025,"normal_LDG","grid_cell_balanced_resampling_OLS",34.593859,14.532644,49.126503,93,"Messinian","Mes",7.246,5.333,1.913,"Coldhouse","#005344"
9.438,"Tortonian","Northern",-0.654499936906386,-0.649508353294357,0.406385622506853,-1.31565075708776,0.28967932249166,62.8519309481078,0.428681219304404,0.170466116966305,0.410510487794463,6,100,0.92,0.08,1,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,31,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,10098,325.741935483871,94,6,4595,TRUE,1,13,5.16666666666667,4,0.806580634840361,0.193548387096774,0.419354838709677,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.43108504398827,-58.9049943215747,-44.7837072323629,1.60533007957942,"normal_LDG","grid_cell_balanced_resampling_OLS",68.424311,4.797034,73.221345,92,"Tortonian","Tor",11.63,7.246,4.384,"Coolhouse","#007d65"
12.725,"Serravallian","Northern",0.0591726946091818,0.0718385535333589,0.3725160193694,-0.502474337538474,0.937035232754287,11.8050473078269,0.314458844110245,0.446580532384408,0.150936759164177,6,100,0.45,0.55,1,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,37,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,7994,216.054054054054,70,5,2623,TRUE,1,12,6.16666666666667,4,0.756563681933674,0.162162162162162,0.324324324324324,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.575675675675676,5.32554251482637,4.04885085864668,1.43950957029276,"reverse_LDG","grid_cell_balanced_resampling_OLS",68.424311,4.797034,73.221345,91,"Serravallian","Ser",13.82,11.63,2.19,"Transitional","#c8c7c7"
14.9,"Langhian","Northern",0.134577125374416,0.213637502849441,1.10650601333246,-1.42974841043581,2.4346939953886,21.0522512640796,1.07806334017257,0.430352776733989,0.324504532081064,4,100,0.45,0.55,1,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,17,4,14.532644,49.126503,34.593859,TRUE,TRUE,FALSE,2269,133.470588235294,75,5,968,TRUE,1,9,4.25,3.5,0.800806974771064,0.235294117647059,0.529411764705882,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.352941176470588,12.1119412836975,4.65554209982788,3.86444240582441,"reverse_LDG","grid_cell_balanced_resampling_OLS",34.593859,14.532644,49.126503,90,"Langhian","Lan",15.98,13.82,2.16,"Transitional","#c8c7c7"
18.215,"Burdigalian","Northern",-0.0682230571593457,-0.041330815308711,0.159984449532956,-0.263011326017006,0.306412051357834,15.8933640629308,0.234052991167545,0.589525701453441,0.0301317648092204,12,100,0.62,0.38,2,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,47,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,8929,189.978723404255,40,5,1866,TRUE,2,16,7.83333333333333,6,0.792792338616111,0.25531914893617,0.340425531914894,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.661814109742441,-6.14007514434111,-4.66811568044185,0.56942337737484,"normal_LDG","grid_cell_balanced_resampling_OLS",68.424311,4.797034,73.221345,89,"Burdigalian","Bur",20.45,15.98,4.47,"Transitional","#c8c7c7"
21.745,"Aquitanian","Northern",-1.72725844395841,-1.60251643598769,0.593421539276578,-2.53892802307547,-0.566785659861776,73.7812644546518,1.48795087934084,0.366134192827606,0.40178586150231,4,100,1,0,1,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,8,4,4.797034,49.126503,44.329469,TRUE,TRUE,FALSE,517,64.625,21,5,329,TRUE,1,3,2,2,0.577350269189626,0.5,0.375,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.25,-155.453259956257,-76.5684496464425,1.9721423632137,"normal_LDG","grid_cell_balanced_resampling_OLS",44.329469,4.797034,49.126503,88,"Aquitanian","Aqu",23.04,20.45,2.59,"Coolhouse","#007d65"
