"bin_midpoint","stage","hemisphere","label","n_cells_total","n_cells_high_lat","prop_cells_high_lat","has_high_lat_cells","max_abs_lat","median_abs_lat"
0.00585,"Holocene","Northern","good",14,4,0.285714285714286,TRUE,79.94533967,48.483064195
0.00585,"Holocene","Southern","good",6,0,0,FALSE,55.65550965,31.15323729
1.29585,"Pleistocene","Northern","good",65,8,0.123076923076923,TRUE,82.32650977,37.25154663
1.29585,"Pleistocene","Southern","good",19,1,0.0526315789473684,TRUE,78.13514109,31.79203392
3.09,"Piacenzian","Northern","good",24,1,0.0416666666666667,TRUE,64.68939682,35.752919735
3.09,"Piacenzian","Southern","good",9,0,0,FALSE,43.78271467,33.78639194
4.4665,"Zanclean","Northern","good",42,2,0.0476190476190476,TRUE,66.94568801,34.01147829
4.4665,"Zanclean","Southern","good",9,1,0.111111111111111,TRUE,64.93572784,33.74579146
6.2895,"Messinian","Northern","good",12,0,0,FALSE,46.08968767,35.80961124
6.2895,"Messinian","Southern","bad",1,0,0,FALSE,29.57796961,29.57796961
9.438,"Tortonian","Northern","good",31,1,0.032258064516129,TRUE,71.71225682,37.12807611
9.438,"Tortonian","Southern","good",11,0,0,FALSE,46.44661908,31.229138
12.725,"Serravallian","Northern","good",37,0,0,FALSE,56.73585976,37.12807611
12.725,"Serravallian","Southern","good",10,0,0,FALSE,48.48205597,37.035139815
14.9,"Langhian","Northern","good",17,0,0,FALSE,52.58335897,38.72138286
18.215,"Burdigalian","Northern","good",47,0,0,FALSE,59.99392079,37.28187998
18.215,"Burdigalian","Southern","good",19,1,0.0526315789473684,TRUE,62.35153207,44.88919784
21.745,"Aquitanian","Northern","good",8,0,0,FALSE,47.8962636,26.091907635
21.745,"Aquitanian","Southern","bad",2,0,0,FALSE,44.86394344,44.59584706
25.17,"Chattian","Northern","good",30,1,0.0333333333333333,TRUE,62.36848467,38.97979898
25.17,"Chattian","Southern","good",5,0,0,FALSE,52.7418821,46.44661908
30.6,"Rupelian","Northern","good",34,2,0.0588235294117647,TRUE,62.43585177,32.33302263
30.6,"Rupelian","Southern","bad",5,0,0,FALSE,52.47602712,50.579076
35.805,"Priabonian","Northern","good",36,0,0,FALSE,50.63018432,34.71565909
35.805,"Priabonian","Southern","bad",12,1,0.0833333333333333,TRUE,64.93572784,52.8574493
39.37,"Bartonian","Northern","good",32,1,0.03125,TRUE,62.12641536,34.70322863
39.37,"Bartonian","Southern","bad",5,0,0,FALSE,56.83208278,52.18073129
44.55,"Lutetian","Northern","good",33,1,0.0303030303030303,TRUE,62.43585177,37.28187998
44.55,"Lutetian","Southern","good",6,0,0,FALSE,52.18073129,14.28613528
52.035,"Ypresian","Northern","good",26,0,0,FALSE,51.99328411,36.27981994
