"bin_midpoint","stage","hemisphere","label","n_cells","n_lat_bins","min_abs_lat","max_abs_lat","min_abs_lat_bin_mid","max_abs_lat_bin_mid","n_cells_ge_60","n_cells_ge_66_5","n_cells_ge_70","n_cells_ge_75","prop_cells_ge_60","prop_cells_ge_66_5","prop_cells_ge_70","prop_cells_ge_75","reaches_60","reaches_66_5","reaches_70","reaches_75"
0.00585,"Holocene","Northern","good",64,6,4.83161937514323,80.5813782293863,4.797034,73.221345,15,8,6,1,0.234375,0.125,0.09375,0.015625,TRUE,TRUE,TRUE,TRUE
0.00585,"Holocene","Southern","good",31,6,1.37881114297736,65.8156701387054,4.797034,73.221345,1,0,0,0,0.032258064516129,0,0,0,TRUE,FALSE,FALSE,FALSE
1.29585,"Pleistocene","Northern","good",153,6,2.42420109094807e-09,82.3265097697321,4.797034,73.221345,12,9,6,3,0.0784313725490196,0.0588235294117647,0.0392156862745098,0.0196078431372549,TRUE,TRUE,TRUE,TRUE
1.29585,"Pleistocene","Southern","good",61,6,2.5146738205732,75.9498746602386,4.797034,73.221345,1,1,1,1,0.0163934426229508,0.0163934426229508,0.0163934426229508,0.0163934426229508,TRUE,TRUE,TRUE,TRUE
3.09,"Piacenzian","Northern","good",53,6,2.42420109094807e-09,68.4282025836255,4.797034,73.221345,2,1,0,0,0.0377358490566038,0.0188679245283019,0,0,TRUE,TRUE,FALSE,FALSE
3.09,"Piacenzian","Southern","good",23,5,4.83161937230004,51.9932841110458,4.797034,49.126503,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4.4665,"Zanclean","Northern","good",115,6,8.42264879290965e-10,67.2811723040696,4.797034,73.221345,2,1,0,0,0.0173913043478261,0.00869565217391304,0,0,TRUE,TRUE,FALSE,FALSE
4.4665,"Zanclean","Southern","good",32,6,2.42417254122192e-09,69.1384297738886,4.797034,73.221345,2,1,0,0,0.0625,0.03125,0,0,TRUE,TRUE,FALSE,FALSE
6.2895,"Messinian","Northern","good",30,5,8.41731465221897,46.4466190814761,4.797034,49.126503,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
6.2895,"Messinian","Southern","bad",11,5,7.26849384056275,48.2585202839494,4.797034,49.126503,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
9.438,"Tortonian","Northern","good",100,6,8.42264879290965e-10,71.7122568191163,4.797034,73.221345,1,1,1,0,0.01,0.01,0.01,0,TRUE,TRUE,TRUE,FALSE
9.438,"Tortonian","Southern","good",28,5,2.42417254122192e-09,53.3543579310148,4.797034,49.126503,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
12.725,"Serravallian","Northern","good",116,6,8.42264879290965e-10,62.3684846694886,4.797034,73.221345,1,0,0,0,0.00862068965517241,0,0,0,TRUE,FALSE,FALSE,FALSE
12.725,"Serravallian","Southern","good",27,5,2.42417254122192e-09,50.6301843204557,4.797034,49.126503,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
14.9,"Langhian","Northern","good",43,5,8.42264879290965e-10,57.1483531508261,4.797034,73.221345,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
14.9,"Langhian","Southern","bad",13,4,8.36424229415937,50.6301843204557,4.797034,49.126503,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
18.215,"Burdigalian","Northern","good",130,6,1.21916723171359,62.3684846694886,4.797034,73.221345,3,0,0,0,0.0230769230769231,0,0,0,TRUE,FALSE,FALSE,FALSE
18.215,"Burdigalian","Southern","good",57,6,2.42417254122192e-09,62.3515320611258,4.797034,73.221345,1,0,0,0,0.0175438596491228,0,0,0,TRUE,FALSE,FALSE,FALSE
21.745,"Aquitanian","Northern","good",28,5,7.24027666827187,47.9629056982384,4.797034,49.126503,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
21.745,"Aquitanian","Southern","bad",8,2,29.4578684968099,52.5036487072192,24.73561,49.126503,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
25.17,"Chattian","Northern","good",89,6,5.36689171924587,64.7223937587375,4.797034,73.221345,2,0,0,0,0.0224719101123595,0,0,0,TRUE,FALSE,FALSE,FALSE
