"bin_midpoint","stage","hemisphere","label","n_cells_total","n_cells_high_lat","prop_cells_high_lat","n_lat_bins_observed","n_high_lat_bins_observed","n_high_lat_bins_expected","prop_high_lat_bins_observed","has_high_lat_data"
0.00585,"Holocene","Northern","good",14,4,0.285714285714286,5,1,1,1,TRUE
0.00585,"Holocene","Southern","good",6,0,0,3,0,1,0,FALSE
1.29585,"Pleistocene","Northern","good",65,8,0.123076923076923,6,1,1,1,TRUE
1.29585,"Pleistocene","Southern","good",19,1,0.0526315789473684,6,1,1,1,TRUE
3.09,"Piacenzian","Northern","good",24,1,0.0416666666666667,5,1,1,1,TRUE
3.09,"Piacenzian","Southern","good",9,0,0,4,0,1,0,FALSE
4.4665,"Zanclean","Northern","good",42,2,0.0476190476190476,6,1,1,1,TRUE
4.4665,"Zanclean","Southern","good",9,1,0.111111111111111,6,1,1,1,TRUE
6.2895,"Messinian","Northern","good",12,0,0,3,0,1,0,FALSE
6.2895,"Messinian","Southern","bad",1,0,0,1,0,1,0,FALSE
9.438,"Tortonian","Northern","good",31,1,0.032258064516129,6,1,1,1,TRUE
9.438,"Tortonian","Southern","good",11,0,0,4,0,1,0,FALSE
12.725,"Serravallian","Northern","good",37,0,0,6,1,1,1,FALSE
12.725,"Serravallian","Southern","good",10,0,0,4,0,1,0,FALSE
14.9,"Langhian","Northern","good",17,0,0,4,0,1,0,FALSE
18.215,"Burdigalian","Northern","good",47,0,0,6,1,1,1,FALSE
18.215,"Burdigalian","Southern","good",19,1,0.0526315789473684,5,1,1,1,TRUE
21.745,"Aquitanian","Northern","good",8,0,0,4,0,1,0,FALSE
21.745,"Aquitanian","Southern","bad",2,0,0,1,0,1,0,FALSE
25.17,"Chattian","Northern","good",30,1,0.0333333333333333,6,1,1,1,TRUE
25.17,"Chattian","Southern","good",5,0,0,3,0,1,0,FALSE
30.6,"Rupelian","Northern","good",34,2,0.0588235294117647,6,1,1,1,TRUE
30.6,"Rupelian","Southern","bad",5,0,0,2,0,1,0,FALSE
35.805,"Priabonian","Northern","good",36,0,0,5,0,1,0,FALSE
35.805,"Priabonian","Southern","bad",12,1,0.0833333333333333,3,1,1,1,TRUE
39.37,"Bartonian","Northern","good",32,1,0.03125,5,1,1,1,TRUE
39.37,"Bartonian","Southern","bad",5,0,0,3,1,1,1,FALSE
44.55,"Lutetian","Northern","good",33,1,0.0303030303030303,6,1,1,1,TRUE
44.55,"Lutetian","Southern","good",6,0,0,3,0,1,0,FALSE
52.035,"Ypresian","Northern","good",26,0,0,4,0,1,0,FALSE
52.035,"Ypresian","Southern","good",7,2,0.285714285714286,4,1,1,1,TRUE
57.62,"Thanetian","Northern","bad",14,1,0.0714285714285714,3,1,1,1,TRUE
57.62,"Thanetian","Southern","bad",3,1,0.333333333333333,2,1,1,1,TRUE
60.45,"Selandian","Northern","bad",4,1,0.25,3,1,1,1,TRUE
63.83,"Danian","Northern","bad",11,0,0,2,0,1,0,FALSE
63.83,"Danian","Southern","good",8,1,0.125,4,1,1,1,TRUE
69.1,"Maastrichtian","Northern","good",45,0,0,5,0,1,0,FALSE
69.1,"Maastrichtian","Southern","bad",8,1,0.125,3,1,1,1,TRUE
77.9,"Campanian","Northern","good",67,4,0.0597014925373134,6,1,1,1,TRUE
77.9,"Campanian","Southern","good",10,1,0.1,5,1,1,1,TRUE
84.65,"Santonian","Northern","good",24,0,0,4,0,1,0,FALSE
84.65,"Santonian","Southern","bad",3,1,0.333333333333333,2,1,1,1,TRUE
87.75,"Coniacian","Northern","good",23,0,0,4,0,1,0,FALSE
87.75,"Coniacian","Southern","bad",4,2,0.5,3,1,1,1,TRUE
91.85,"Turonian","Northern","good",49,2,0.0408163265306122,6,1,1,1,TRUE
91.85,"Turonian","Southern","bad",9,2,0.222222222222222,3,1,1,1,TRUE
97.2,"Cenomanian","Northern","good",50,1,0.02,6,1,1,1,TRUE
97.2,"Cenomanian","Southern","good",6,1,0.166666666666667,4,1,1,1,TRUE
106.85,"Albian","Northern","good",36,2,0.0555555555555556,6,1,1,1,TRUE
106.85,"Albian","Southern","good",19,6,0.315789473684211,6,1,1,1,TRUE
117.3,"Aptian","Northern","good",24,2,0.0833333333333333,6,1,1,1,TRUE
117.3,"Aptian","Southern","good",8,2,0.25,5,1,1,1,TRUE
123.585,"Barremian","Northern","good",10,1,0.1,4,1,1,1,TRUE
123.585,"Barremian","Southern","good",3,0,0,3,0,1,0,FALSE
129.185,"Hauterivian","Northern","bad",15,0,0,3,1,1,1,FALSE
129.185,"Hauterivian","Southern","bad",4,0,0,2,0,1,0,FALSE
134.825,"Valanginian","Northern","bad",19,5,0.263157894736842,3,1,1,1,TRUE
134.825,"Valanginian","Southern","good",7,0,0,3,0,1,0,FALSE
140.075,"Berriasian","Northern","good",23,8,0.347826086956522,4,1,1,1,TRUE
146.15,"Tithonian","Northern","good",21,8,0.380952380952381,4,1,1,1,TRUE
146.15,"Tithonian","Southern","bad",5,3,0.6,3,1,1,1,TRUE
