"bin_midpoint","stage","era","sampling_profile_dissim","slope_Northern","slope_Southern","k_min_Northern","k_min_Southern","k_median_Northern","k_median_Southern","n_cells_Northern","n_cells_Southern","n_valid_lat_bins_Northern","n_valid_lat_bins_Southern","k_cv_Northern","k_cv_Southern","slope_diff_abs","k_min_asym","k_median_asym","n_cells_asym","n_lat_bins_diff","k_cv_diff"
0.00585,"Holocene","Cenozoic",1.5,-1.08488532022784,0.135262909348776,1,2,2,2,14,6,5,3,0.586845597326964,0,1.22014822957662,0.405465108108164,0,0.762140052046897,2,0.586845597326964
1.29585,"Pleistocene","Cenozoic",0.473684210526316,-0.392150239707975,-0.184253364990259,3,1,8,2,65,19,6,6,0.718380822347841,0.880065472255936,0.207896874717716,0.693147180559945,1.09861228866811,1.19392246847243,0,0.161684649908095
3.09,"Piacenzian","Cenozoic",1,-0.964115029249142,-0.573412698496029,1,1,3,2,24,9,5,4,1.00346621489936,0.559246995205241,0.390702330753113,0,0.287682072451781,0.916290731874155,1,0.444219219694119
4.4665,"Zanclean","Cenozoic",1,-0.442105688732218,-0.251007890756711,2,1,6.5,1,42,9,6,6,0.682133507789333,0.557773351022717,0.191097797975507,0.405465108108164,1.32175583998232,1.45861502269952,0,0.124360156766616
9.438,"Tortonian","Cenozoic",1.22727272727273,-0.679596066479282,-0.71642432107872,1,2,4,3,31,11,6,4,0.806580634840361,0.181818181818182,0.0368282545994381,0.405465108108164,0.22314355131421,0.980829253011726,2,0.624762453022179
12.725,"Serravallian","Cenozoic",1.35,-0.0889953168963348,-0.366908662104863,1,1,4,2,37,10,6,4,0.756563681933674,0.765941686205071,0.277913345208528,0,0.510825623765991,1.23969088692802,2,0.00937800427139701
18.215,"Burdigalian","Cenozoic",1.18421052631579,-0.143623520903502,-0.123476510694238,2,1,6,1,47,19,6,5,0.792792338616111,1.15310012106351,0.020147010209264,0.405465108108164,1.25276296849537,0.8754687373539,1,0.360307782447399
25.17,"Chattian","Cenozoic",0.9,-0.0828581302212886,0.884250519303071,1,1,3.5,1,30,5,6,3,0.839047078536121,0.692820323027551,0.96710864952436,0,0.810930216216329,1.64222773525709,3,0.14622675550857
44.55,"Lutetian","Cenozoic",1.5,0.0669706198189353,-0.444820871409925,1,2,3,2,33,6,6,3,1.14848085071664,0,0.51179149122886,0.405465108108164,0.287682072451781,1.58045037556085,3,1.14848085071664
52.035,"Ypresian","Cenozoic",1.92857142857143,0.492719054651944,0.403149637330781,2,1,4.5,1.5,26,7,4,4,0.944202699462665,0.547101204432193,0.089569417321163,0.405465108108164,0.78845736036427,1.21639532432449,0,0.397101495030472
