"group1","group2","normal","test_type","shapiro_p1","shapiro_p2"
"Coldhouse","Coolhouse",TRUE,"t-test",0.0747376111153748,0.158190850811932
"Coldhouse","Transitional",FALSE,"Wilcoxon",0.0747376111153748,0.0163171537407553
"Coldhouse","Warmhouse",FALSE,"Wilcoxon",0.0747376111153748,0.000979713466017831
"Coldhouse","Hothouse",FALSE,"Wilcoxon",0.0747376111153748,0.00225392012745459
"Coolhouse","Transitional",FALSE,"Wilcoxon",0.158190850811932,0.0163171537407553
"Coolhouse","Warmhouse",FALSE,"Wilcoxon",0.158190850811932,0.000979713466017831
"Coolhouse","Hothouse",FALSE,"Wilcoxon",0.158190850811932,0.00225392012745459
"Transitional","Warmhouse",FALSE,"Wilcoxon",0.0163171537407553,0.000979713466017831
"Transitional","Hothouse",FALSE,"Wilcoxon",0.0163171537407553,0.00225392012745459
"Warmhouse","Hothouse",FALSE,"Wilcoxon",0.000979713466017831,0.00225392012745459
