"bin_midpoint","stage","hemisphere","slope","intercept","slope_se","slope_lower_95","slope_upper_95","p_value","r_squared","n_cells_model","method","label","color","n_cells","n_valid_lat_bins","min_abs_lat","max_abs_lat","lat_range","sum_nT","mean_nT","median_nT","mean_t_over_nT","max_t_over_nT","prop_high_extrapolation","slope_direction"
0.00585,"Holocene","Northern",-1.05444177669881,78.6811623663275,0.284749893588627,-1.61255156813252,-0.496331985265101,0.00301892416504678,0.533301741449801,14,"grid_cell_all_cells_OLS","good","Northern",14,10,9.608984116,79.94533967,70.336355554,1057,75.5,42.5,0.842793373009884,1.934850555,0.214285714285714,"normal_LDG"
1.29585,"Pleistocene","Northern",-0.50605788555874,41.1744721438458,0.139442918289572,-0.779366005406301,-0.232749765711178,0.00057137989671324,0.172909860531496,65,"grid_cell_all_cells_OLS","good","Northern",65,16,2.42e-09,82.32650977,82.32650976758,17555,270.076923076923,93,0.818811681212152,1.9537450031746,0.153846153846154,"normal_LDG"
3.09,"Piacenzian","Northern",-0.658976976958327,55.767568680978,0.392593075541266,-1.42845940501921,0.110505451102555,0.107394681701189,0.113526741094796,24,"grid_cell_all_cells_OLS","good","Northern",24,10,9.64040354,64.68939682,55.04899328,6649,277.041666666667,166.5,0.894595444804805,1.98088569054054,0.166666666666667,"normal_LDG"
4.4665,"Zanclean","Northern",-0.470725796909823,42.1240101336093,0.21979390427462,-0.901521849288079,-0.0399297445315675,0.0383632588736678,0.10287241403496,42,"grid_cell_all_cells_OLS","good","Northern",42,15,1.204524046,66.94568801,65.741163964,7300,173.809523809524,94.5,0.859143697499428,1.66905428416667,0.0952380952380952,"normal_LDG"
6.2895,"Messinian","Northern",-1.30594321997651,82.8844957808113,0.680122739761361,-2.63898378990878,0.0270973499557574,0.0837870471369261,0.269380093632456,12,"grid_cell_all_cells_OLS","good","Northern",12,6,9.64040354,46.08968767,36.44928413,4083,340.25,105,0.827245349235165,1.749144415,0.25,"normal_LDG"
9.438,"Tortonian","Northern",-0.687321335438902,55.286128434391,0.215747607566629,-1.11018664626949,-0.26445602460831,0.00344122748126549,0.259242293045397,31,"grid_cell_all_cells_OLS","good","Northern",31,13,1.219167232,71.71225682,70.493089588,10098,325.741935483871,94,0.764237691767902,1.92666515866667,0.129032258064516,"normal_LDG"
12.725,"Serravallian","Northern",0.312210429887044,6.38197435144813,0.219896011882388,-0.118785753402437,0.743206613176525,0.164509506798897,0.0544593281037831,37,"grid_cell_all_cells_OLS","good","Northern",37,12,8.417314652,56.73585976,48.318545108,7994,216.054054054054,70,0.919927127353343,1.85189031086957,0.162162162162162,"reverse_LDG"
14.9,"Langhian","Northern",0.0213495058257128,26.7221991843037,0.659408753568942,-1.27109165116941,1.31379066282084,0.974598500962764,6.98786698764142e-05,17,"grid_cell_all_cells_OLS","good","Northern",17,8,10.83026067,52.58335897,41.7530983,2269,133.470588235294,75,0.949973919250148,1.71272657169811,0.235294117647059,"reverse_LDG"
18.215,"Burdigalian","Northern",0.0122946475205818,15.7354646501189,0.218398590349818,-0.415766589565061,0.440355884606225,0.955356386757082,7.04189273513562e-05,47,"grid_cell_all_cells_OLS","good","Northern",47,15,2.725738482,59.99392079,57.268182308,8929,189.978723404255,40,0.852697753273673,1.77677604357143,0.106382978723404,"reverse_LDG"
21.745,"Aquitanian","Northern",-0.6828571880194,49.0697907374499,0.77517439739488,-2.20219900691337,0.836484630874566,0.41226012904801,0.114521657038399,8,"grid_cell_all_cells_OLS","good","Northern",8,6,7.240276668,47.8962636,40.655986932,517,64.625,21,0.793476582240206,1.41437266833333,0,"normal_LDG"
25.17,"Chattian","Northern",0.188051220064263,23.0032642488324,0.386725296275971,-0.56993036063664,0.946032800765166,0.630563108104972,0.00837407775425175,30,"grid_cell_all_cells_OLS","good","Northern",30,11,7.240276668,62.36848467,55.128208002,3050,101.666666666667,102.5,0.935575404930413,1.92666515866667,0.166666666666667,"reverse_LDG"
30.6,"Rupelian","Northern",0.190570495342245,18.2558243312923,0.248951702537583,-0.297374841631417,0.678515832315908,0.44958821376222,0.0179825123674133,34,"grid_cell_all_cells_OLS","good","Northern",34,12,5.366891719,62.43585177,57.068960051,6689,196.735294117647,54,0.895743656286424,1.97934648763158,0.235294117647059,"reverse_LDG"
