"bin_midpoint","stage","hemisphere","slope","intercept","slope_se","slope_lower_95","slope_upper_95","p_value","r_squared","n_cells_model","resample_id","k_sample","slope_filter_id"
0.00585,"Holocene","Northern",-0.46944318234769,48.4829077907399,0.324304775530089,-1.10508054238666,0.166194177691284,0.178359665754408,0.173236921796904,12,1,1,"occurrence5"
0.00585,"Holocene","Northern",-0.484251141441981,56.9493031410372,0.387576667895933,-1.24390141051801,0.275399127634048,0.239959183983453,0.135029148599927,12,2,1,"occurrence5"
0.00585,"Holocene","Northern",-0.46944318234769,48.4829077907399,0.324304775530089,-1.10508054238666,0.166194177691284,0.178359665754408,0.173236921796904,12,3,1,"occurrence5"
0.00585,"Holocene","Northern",-0.404418755839057,47.3772325421335,0.314399026038537,-1.02064084687459,0.211803335196475,0.227312919503983,0.141971706485602,12,4,1,"occurrence5"
0.00585,"Holocene","Northern",-0.548912583324487,57.4423717023454,0.408336407338877,-1.34925194170869,0.251426775059712,0.208562522560545,0.153048389739064,12,5,1,"occurrence5"
0.00585,"Holocene","Northern",-0.457835972733365,48.3795192188199,0.323098819297671,-1.0911096585568,0.175437713090071,0.186871428581986,0.167217162582519,12,6,1,"occurrence5"
0.00585,"Holocene","Northern",-0.496156879711313,56.5021149050178,0.396507681051357,-1.27331193457197,0.280998175149346,0.239299689506112,0.135381507504919,12,7,1,"occurrence5"
0.00585,"Holocene","Northern",-0.551040151049923,57.5865714850498,0.40693095903852,-1.34862483076542,0.246544528665577,0.205500538074374,0.154954779038527,12,8,1,"occurrence5"
0.00585,"Holocene","Northern",-0.404418755839057,47.3772325421335,0.314399026038537,-1.02064084687459,0.211803335196475,0.227312919503983,0.141971706485602,12,9,1,"occurrence5"
0.00585,"Holocene","Northern",-0.498603441254926,56.6544692036528,0.395198458601884,-1.27319242011462,0.275985537604766,0.235707834764187,0.137318907283186,12,10,1,"occurrence5"
0.00585,"Holocene","Northern",-0.452294129814152,48.6738363588228,0.318361217612371,-1.0762821163344,0.171693856706096,0.1858272442455,0.167940670520716,12,11,1,"occurrence5"
