"bin_midpoint","stage","hemisphere","label","n_cells","n_lat_bins","min_abs_lat","max_abs_lat","min_abs_lat_bin_mid","max_abs_lat_bin_mid","n_cells_ge_60","n_cells_ge_66_5","n_cells_ge_70","n_cells_ge_75","prop_cells_ge_60","prop_cells_ge_66_5","prop_cells_ge_70","prop_cells_ge_75","reaches_60","reaches_66_5","reaches_70","reaches_75"
0.00585,"Holocene","Northern","good",61,16,9.205930941,82.98845176,7.986719,80.405932,21,13,10,7,0.344262295081967,0.213114754098361,0.163934426229508,0.114754098360656,TRUE,TRUE,TRUE,TRUE
0.00585,"Holocene","Southern","good",19,9,5.389250306,69.13842977,4.782054,66.77291,3,1,0,0,0.157894736842105,0.0526315789473684,0,0,TRUE,TRUE,FALSE,FALSE
1.29585,"Pleistocene","Northern","good",151,18,2.42e-09,82.32650977,1.592369,80.405932,16,10,7,3,0.105960264900662,0.0662251655629139,0.0463576158940397,0.0198675496688742,TRUE,TRUE,TRUE,TRUE
1.29585,"Pleistocene","Southern","good",48,14,2.417243931,78.13514109,1.592369,80.405932,1,1,1,1,0.0208333333333333,0.0208333333333333,0.0208333333333333,0.0208333333333333,TRUE,TRUE,TRUE,TRUE
3.09,"Piacenzian","Northern","good",58,13,2.42e-09,68.42820258,1.592369,66.77291,2,1,0,0,0.0344827586206897,0.0172413793103448,0,0,TRUE,TRUE,FALSE,FALSE
3.09,"Piacenzian","Southern","good",20,11,4.831619372,51.99328411,4.782054,53.750124,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4.4665,"Zanclean","Northern","good",114,17,8.42e-10,66.94568801,1.592369,66.77291,2,1,0,0,0.0175438596491228,0.0087719298245614,0,0,TRUE,TRUE,FALSE,FALSE
4.4665,"Zanclean","Southern","good",34,15,2.42e-09,69.13842977,1.592369,66.77291,3,1,0,0,0.0882352941176471,0.0294117647058824,0,0,TRUE,TRUE,FALSE,FALSE
6.2895,"Messinian","Northern","good",33,10,8.42e-10,46.44661908,1.592369,48.647908,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
6.2895,"Messinian","Southern","bad",10,7,15.580191,64.93572784,14.483604,66.77291,1,0,0,0,0.1,0,0,0,TRUE,FALSE,FALSE,FALSE
9.438,"Tortonian","Northern","good",91,17,8.42e-10,71.71225682,1.592369,80.405932,1,1,1,0,0.010989010989011,0.010989010989011,0.010989010989011,0,TRUE,TRUE,TRUE,FALSE
9.438,"Tortonian","Southern","good",36,12,2.42e-09,53.35435793,1.592369,53.750124,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
12.725,"Serravallian","Northern","good",113,15,8.42e-10,62.36848467,1.592369,59.588323,1,0,0,0,0.00884955752212389,0,0,0,TRUE,FALSE,FALSE,FALSE
