"bin_midpoint","stage","max_abs_lat_Northern","max_abs_lat_Southern","prop_cells_ge_60_Northern","prop_cells_ge_60_Southern","prop_cells_ge_66_5_Northern","prop_cells_ge_66_5_Southern","prop_cells_ge_70_Northern","prop_cells_ge_70_Southern","prop_cells_ge_75_Northern","prop_cells_ge_75_Southern","reaches_60_Northern","reaches_60_Southern","reaches_66_5_Northern","reaches_66_5_Southern","reaches_70_Northern","reaches_70_Southern","reaches_75_Northern","reaches_75_Southern","both_reach_60","both_reach_66_5","both_reach_70","both_reach_75","max_abs_lat_diff","prop_cells_ge_60_diff","prop_cells_ge_70_diff"
0.00585,"Holocene",82.98845176,69.13842977,0.344262295081967,0.157894736842105,0.213114754098361,0.0526315789473684,0.163934426229508,0,0.114754098360656,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,13.85002199,0.186367558239862,0.163934426229508
1.29585,"Pleistocene",82.32650977,78.13514109,0.105960264900662,0.0208333333333333,0.0662251655629139,0.0208333333333333,0.0463576158940397,0.0208333333333333,0.0198675496688742,0.0208333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.19136868,0.0851269315673289,0.0255242825607064
3.09,"Piacenzian",68.42820258,51.99328411,0.0344827586206897,0,0.0172413793103448,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16.43491847,0.0344827586206897,0
4.4665,"Zanclean",66.94568801,69.13842977,0.0175438596491228,0.0882352941176471,0.0087719298245614,0.0294117647058824,0,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2.19274176,0.0706914344685243,0
9.438,"Tortonian",71.71225682,53.35435793,0.010989010989011,0,0.010989010989011,0,0.010989010989011,0,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18.35789889,0.010989010989011,0.010989010989011
12.725,"Serravallian",62.36848467,48.95992443,0.00884955752212389,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13.40856024,0.00884955752212389,0
18.215,"Burdigalian",62.33227921,62.35153207,0.00806451612903226,0.0166666666666667,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.0192528599999946,0.00860215053763441,0
25.17,"Chattian",64.72239376,62.35153207,0.038961038961039,0.0476190476190476,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2.37086169000001,0.00865800865800866,0
30.6,"Rupelian",64.8793186,57.72950564,0.0476190476190476,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.14981296,0.0476190476190476,0
35.805,"Priabonian",64.8793186,64.93572784,0.0315789473684211,0.0476190476190476,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.0564092399999936,0.0160401002506266,0
39.37,"Bartonian",62.33227921,63.29698961,0.0344827586206897,0.0909090909090909,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.964710399999994,0.0564263322884013,0
44.55,"Lutetian",64.8793186,63.29698961,0.0416666666666667,0.0833333333333333,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1.58232899000001,0.0416666666666667,0
77.9,"Campanian",78.07096538,62.79923484,0.0764331210191083,0.0833333333333333,0.0509554140127389,0,0.0445859872611465,0,0.0127388535031847,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,15.27173054,0.00690021231422505,0.0445859872611465
97.2,"Cenomanian",62.21416854,75.91060181,0.024,0.259259259259259,0,0.222222222222222,0,0.148148148148148,0,0.037037037037037,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,13.69643327,0.235259259259259,0.148148148148148
106.85,"Albian",79.94533967,78.13514109,0.0761904761904762,0.166666666666667,0.0761904761904762,0.142857142857143,0.0571428571428571,0.142857142857143,0.0380952380952381,0.119047619047619,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.81019857999999,0.0904761904761905,0.0857142857142857
117.3,"Aptian",70.82154197,80.06868165,0.0434782608695652,0.181818181818182,0.0434782608695652,0.136363636363636,0.0144927536231884,0.0909090909090909,0,0.0454545454545455,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,9.24713968,0.138339920948617,0.0764163372859025
169.55,"Bajocian",79.94533967,77.97078272,0.0579710144927536,0.19047619047619,0.0434782608695652,0.0952380952380952,0.0289855072463768,0.0952380952380952,0.0144927536231884,0.0952380952380952,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.97455694999999,0.132505175983437,0.0662525879917184
179.45,"Toarcian",77.26569264,75.94987466,0.132530120481928,0.19047619047619,0.0843373493975904,0.142857142857143,0.0602409638554217,0.142857142857143,0.0240963855421687,0.0952380952380952,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.31581797999999,0.0579460699942627,0.0826161790017212
188.55,"Pliensbachian",85.16266202,78.13514108,0.127659574468085,0.357142857142857,0.127659574468085,0.285714285714286,0.117021276595745,0.285714285714286,0.0638297872340425,0.142857142857143,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7.02752094,0.229483282674772,0.168693009118541
196.2,"Sinemurian",70.61844891,72.96308819,0.0246913580246914,0.285714285714286,0.0246913580246914,0.285714285714286,0.0123456790123457,0.214285714285714,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2.34463928,0.261022927689594,0.201940035273369
200.45,"Hettangian",75.39091494,71.94358535,0.0833333333333333,0.222222222222222,0.0555555555555556,0.222222222222222,0.0555555555555556,0.111111111111111,0.0277777777777778,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,3.44732959,0.138888888888889,0.0555555555555556
216.5,"Norian",84.62501224,77.29099416,0.164285714285714,0.212121212121212,0.0928571428571429,0.212121212121212,0.0857142857142857,0.151515151515152,0.0785714285714286,0.0303030303030303,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7.33401808000001,0.0478354978354978,0.0658008658008658
244.082,"Anisian",80.06868165,74.62840468,0.214285714285714,0.15,0.142857142857143,0.15,0.1,0.15,0.0428571428571429,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,5.44027697,0.0642857142857143,0.05
250.901,"Induan",77.73177818,60.37322471,0.173333333333333,0.0666666666666667,0.133333333333333,0,0.08,0,0.0266666666666667,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,17.35855347,0.106666666666667,0.08
