"bin_midpoint","stage","hemisphere","slope","intercept","slope_se","slope_lower_95","slope_upper_95","p_value","r_squared","n_cells_model","method","label","color","n_cells","n_valid_lat_bins","min_abs_lat","max_abs_lat","lat_range","sum_nT","mean_nT","median_nT","mean_t_over_nT","max_t_over_nT","prop_high_extrapolation","slope_direction"
0.00585,"Holocene","Northern",-0.568098476693741,54.9521412193628,0.314960049328845,-1.18542017337828,0.0492232199907944,0.0913939287471981,0.178234899013828,17,"grid_cell_all_cells_OLS","good","Northern",17,3,8.41731465221897,80.5813782293863,72.1640635771673,1250,73.5294117647059,34,0.836660427897728,1.62889949291955,0.176470588235294,"normal_LDG"
1.29585,"Pleistocene","Northern",-0.368788376823448,36.4622438280702,0.154082184650759,-0.670789458738936,-0.0667872949079609,0.0194561643556255,0.0776986587998037,70,"grid_cell_all_cells_OLS","good","Northern",70,3,2.42420109094807e-09,82.3265097697321,82.3265097673079,14821,211.728571428571,97.5,0.862791353499743,1.91408472236431,0.157142857142857,"normal_LDG"
3.09,"Piacenzian","Northern",-0.898468436447571,60.4281493115395,0.348720921997425,-1.58196144356252,-0.214975429332619,0.0172187054361228,0.231795010691079,24,"grid_cell_all_cells_OLS","good","Northern",24,3,9.64040353981471,64.6893968210741,55.0489932812594,6968,290.333333333333,152.5,0.835970737369676,1.94801983411601,0.125,"normal_LDG"
4.4665,"Zanclean","Northern",-0.413120891619191,39.8029624705054,0.236282285859083,-0.876234171902992,0.049992388664611,0.0882597343500464,0.0726865320580331,41,"grid_cell_all_cells_OLS","good","Northern",41,3,1.20452404594223,67.2811723040696,66.0766482581274,6893,168.121951219512,76,0.925512156163197,1.86052632178226,0.170731707317073,"normal_LDG"
6.2895,"Messinian","Northern",-0.152469338482974,57.8257801640027,1.13822567241019,-2.38339165640695,2.07845297944101,0.896747873676282,0.0022379237454986,10,"grid_cell_all_cells_OLS","good","Northern",10,3,9.64040353981471,42.9054110762945,33.2650075364798,4352,435.2,150,0.946434565883989,1.89818829863256,0.3,"normal_LDG"
9.438,"Tortonian","Northern",-0.583110271962032,42.571218636827,0.1428422946393,-0.863081169455059,-0.303139374469005,0.000228749972805996,0.31052893231798,39,"grid_cell_all_cells_OLS","good","Northern",39,3,8.42264879290965e-10,71.7122568191163,71.712256818274,10996,281.948717948718,89,0.863654585439061,1.98562215183103,0.153846153846154,"normal_LDG"
12.725,"Serravallian","Northern",0.198888833534539,7.7600759769576,0.198353342426172,-0.189883717620759,0.587661384689836,0.322518581860754,0.0264543059112121,39,"grid_cell_all_cells_OLS","good","Northern",39,3,8.41731465221897,62.3684846694886,53.9511700172696,8851,226.948717948718,81,0.957851054609357,1.86999332474669,0.0769230769230769,"reverse_LDG"
14.9,"Langhian","Northern",-0.0447833922226027,29.985665603852,0.616038991542203,-1.25221981564532,1.16265303120011,0.943008758496472,0.0003521870095292,17,"grid_cell_all_cells_OLS","good","Northern",17,3,10.8302606709666,52.5833589733677,41.7530983024011,2410,141.764705882353,79,0.9415213386142,1.68883841414557,0.176470588235294,"normal_LDG"
18.215,"Burdigalian","Northern",0.0189254479990342,13.3656070701355,0.181758510028377,-0.337321231656585,0.375172127654654,0.91757852892561,0.00026436511470035,43,"grid_cell_all_cells_OLS","good","Northern",43,3,2.72573848203925,62.3684846694886,59.6427461874494,9134,212.418604651163,72,0.745595248264177,1.631809949507,0.0697674418604651,"reverse_LDG"
21.745,"Aquitanian","Northern",-0.745841244944914,51.9991364784215,0.740097066513529,-2.19643149531143,0.704749005421603,0.359820650369437,0.168825367038453,7,"grid_cell_all_cells_OLS","bad","Bad hemisphere",7,2,7.24027666827187,47.8962635996978,40.6559869314259,620,88.5714285714286,39,0.739837499418351,1.36592666096045,0,"normal_LDG"
25.17,"Chattian","Northern",-0.0463215239862326,31.8146363745043,0.366264014196604,-0.764198991811577,0.671555943839112,0.900263462635295,0.000570914574085739,30,"grid_cell_all_cells_OLS","good","Northern",30,3,7.24027666827187,59.1143250490631,51.8740483807912,3582,119.4,102.5,0.830011890878043,1.7954334677404,0.1,"normal_LDG"
30.6,"Rupelian","Northern",0.404821200201905,13.0809793298521,0.283990443169246,-0.151800068409818,0.961442468813627,0.163410878042174,0.0580035244657554,35,"grid_cell_all_cells_OLS","good","Northern",35,3,5.36689171924587,59.7585569074558,54.3916651882099,7300,208.571428571429,80,0.833545168627628,1.89102670589733,0.142857142857143,"reverse_LDG"
35.805,"Priabonian","Northern",0.30496231691756,11.5029670063677,0.229495799409075,-0.144849449924228,0.754774083759347,0.192500697729025,0.0480284741548825,37,"grid_cell_all_cells_OLS","good","Northern",37,3,2.38733075400166,50.6301843221458,48.2428535681441,3805,102.837837837838,58,1.02392837894787,1.83463404660542,0.243243243243243,"reverse_LDG"
39.37,"Bartonian","Northern",0.0415413886039789,30.3051762483867,0.437404495481247,-0.815771422539264,0.898854199747222,0.924928921717751,0.000281788431705344,34,"grid_cell_all_cells_OLS","good","Northern",34,3,7.06636585860008,62.1264153643694,55.0600495057693,10687,314.323529411765,81.5,0.822912036370755,1.69931122112038,0.117647058823529,"reverse_LDG"
44.55,"Lutetian","Northern",0.527190572983716,-0.0310788304797932,0.254597632868092,0.0281792125622565,1.02620193340518,0.0462853846395247,0.114990167008075,35,"grid_cell_all_cells_OLS","good","Northern",35,3,1.21916722992874,62.4358517731045,61.2166845431758,6901,197.171428571429,52,0.775196433342907,1.69931122112038,0.0857142857142857,"reverse_LDG"
52.035,"Ypresian","Northern",0.461813735436789,12.1319216585207,0.389544931195045,-0.301694329705499,1.22532180057908,0.245435092634273,0.0462239435381345,31,"grid_cell_all_cells_OLS","good","Northern",31,3,1.36770949030931,52.5833589733677,51.2156494830584,6548,211.225806451613,118,0.812736674924496,1.96102357892451,0.0967741935483871,"reverse_LDG"
57.62,"Thanetian","Northern",0.175508726486519,18.926511768803,0.46628117491058,-0.738402376338218,1.08941982931126,0.711563409480801,0.00877713933336112,18,"grid_cell_all_cells_OLS","good","Northern",18,3,9.59899916567213,72.0740681049142,62.4750689392421,2397,133.166666666667,42.5,0.759168692695593,1.77677604360618,0.111111111111111,"reverse_LDG"
60.45,"Selandian","Northern",1.14629138405308,20.8864915319185,0.875099079815727,-0.568902812385747,2.8614855804919,0.320468533511362,0.461763013948199,4,"grid_cell_all_cells_OLS","bad","Bad hemisphere",4,2,33.9767837990702,61.7098755954898,27.7330917964196,1355,338.75,362,0.525880136418169,1.20784555884245,0,"reverse_LDG"
63.83,"Danian","Northern",-1.10675428267424,70.3421593759332,1.5672771669841,-4.17861752996307,1.9651089646146,0.489126533954101,0.0269569262059722,20,"grid_cell_all_cells_OLS","bad","Bad hemisphere",20,2,32.9485708535521,50.3394945906239,17.3909237370718,2294,114.7,35.5,0.775324669501259,1.86812149114632,0.1,"normal_LDG"
69.1,"Maastrichtian","Northern",0.252250184971876,18.8876640130645,0.282711031365111,-0.301863436503743,0.806363806447495,0.376007931887313,0.0137745940063831,59,"grid_cell_all_cells_OLS","good","Northern",59,3,4.73912066088779,62.1264153643014,57.3872947034136,16908,286.576271186441,49,0.647988286695547,1.93485055533146,0.0847457627118644,"reverse_LDG"
77.9,"Campanian","Northern",-0.136568795581406,25.525861856477,0.175571454894871,-0.480688847175352,0.207551256012541,0.439204223965129,0.00833351615240249,74,"grid_cell_all_cells_OLS","good","Northern",74,3,2.51467382507857,71.9435853513676,69.428911526289,8631,116.635135135135,58,0.701148618445828,1.97431097941788,0.108108108108108,"normal_LDG"
84.65,"Santonian","Northern",-0.319804506342964,22.0109575959648,0.339157414685583,-0.984553039126707,0.344944026440778,0.354073988208475,0.0318809694435701,29,"grid_cell_all_cells_OLS","good","Northern",29,3,9.82080498363322,59.8661434863392,50.045338502706,1858,64.0689655172414,43,0.603479976386409,1.73081931712196,0.0689655172413793,"normal_LDG"
87.75,"Coniacian","Northern",-0.28649459694008,28.6379747260971,0.314289717629166,-0.902502443493247,0.329513249613086,0.368063214706991,0.022561068217785,38,"grid_cell_all_cells_OLS","good","Northern",38,3,11.9549110527488,59.8661434863392,47.9112324335904,1339,35.2368421052632,15,0.823254981129096,1.74839493172563,0.0789473684210526,"normal_LDG"
91.85,"Turonian","Northern",-0.0679441058780044,14.8408774997832,0.101051645217165,-0.266005330503648,0.130117118747639,0.503626431118508,0.00660435088869753,70,"grid_cell_all_cells_OLS","good","Northern",70,3,2.37430192352162,79.9453396667681,77.5710377432465,4450,63.5714285714286,27,0.749440251613298,1.92804247452722,0.0857142857142857,"normal_LDG"
97.2,"Cenomanian","Northern",-0.102356178432187,24.7054139354682,0.190644478923763,-0.476019357122762,0.271307000258389,0.59288775531936,0.00372963341994409,79,"grid_cell_all_cells_OLS","good","Northern",79,3,2.34939829632448,62.2141685429068,59.8647702465823,7269,92.0126582278481,27,0.883606035699761,1.93485055533146,0.189873417721519,"normal_LDG"
106.85,"Albian","Northern",-0.333097123668945,34.3724040711357,0.153592632268535,-0.634138682915272,-0.0320555644226169,0.0356815950559681,0.0985945117465074,45,"grid_cell_all_cells_OLS","good","Northern",45,3,1.32057636706172,79.1899781183957,77.869401751334,4343,96.5111111111111,41,0.821629946307322,1.98703931713944,0.2,"normal_LDG"
117.3,"Aptian","Northern",-0.133260835957528,26.0695132472421,0.289410162611212,-0.700504754675503,0.433983082760448,0.647957881774048,0.00585497111075188,38,"grid_cell_all_cells_OLS","good","Northern",38,3,2.73714864483656,70.821541970517,68.0843933256804,3635,95.6578947368421,25,0.930374860047855,1.82094288229026,0.184210526315789,"normal_LDG"
123.585,"Barremian","Northern",-0.0730035922768525,11.6033050600279,0.233001275707045,-0.52968609266266,0.383678908108955,0.756446405219475,0.00362269628926027,29,"grid_cell_all_cells_OLS","good","Northern",29,3,4.10205669910358,73.4808026835155,69.3787459844119,2067,71.2758620689655,34,0.90763787305546,1.74839493172563,0.206896551724138,"normal_LDG"
129.185,"Hauterivian","Northern",-0.522892928720118,52.9875904614209,0.354432819955638,-1.21758125583317,0.171795398392932,0.152617427369116,0.080087407003378,27,"grid_cell_all_cells_OLS","good","Northern",27,3,5.44728213482918,70.1311887076051,64.6839065727759,2492,92.2962962962963,36,0.627839716467524,1.92666515849871,0.037037037037037,"normal_LDG"
