"bin_midpoint","stage.x","hemisphere","slope","slope_mean","slope_sd","slope_lower_95","slope_upper_95","intercept","slope_se","p_value","r_squared","n_cells_model","n_resamples_valid","prop_negative","prop_positive","k_sample","slope_filter_id","slope_qc_type","slope_occurrence_min","slope_collection_min","method_group","slope_metric","quantile","n_cells","n_valid_lat_bins","min_abs_lat_bin_mid","max_abs_lat_bin_mid","lat_range_diagnostic","has_tropical","has_temperate","has_polar","sum_nT","mean_nT","median_nT","min_nT","max_nT","has_adjacent_tt","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","pass_tropical","pass_temperate","pass_polar","pass_adjacent_tt","pass_n_lat_bins","label","color","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","require_tropical","require_temperate","require_polar","require_adjacent_tt","require_min_lat_bins","sampling_profile_dissim","slope_90deg","slope_sampled_range","interval_width","slope_direction","method","lat_range","min_abs_lat","max_abs_lat","bin","stage.y","short","bottom","top","dur","climate_state","climate_color"
0.00585,"Holocene","Northern",-0.98871557196398,-1.00169724792043,0.176406638837674,-1.37466254738263,-0.652323576120755,86.6352400555342,0.573238203558379,0.154202406457916,0.434892231249068,6,100,1,0,2,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,14,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,1167,83.3571428571429,42,20,424,FALSE,2,10,4.66666666666667,2,0.989743318610787,0.428571428571429,0.714285714285714,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.214285714285714,-88.9844014767582,-55.5357057890626,0.722338971261872,"normal_LDG","grid_cell_balanced_resampling_OLS",56.169547,9.73561,65.905157,97,"Holocene","Hol",0.0117,0,0.0117,"Coldhouse","#B2CCC7"
1.29585,"Pleistocene","Northern",-0.65271566858773,-0.659315211701289,0.103086979431767,-0.86026665618993,-0.459158347265537,52.0267932683688,0.352681850893716,0.0789113651723299,0.218528524252514,15,100,1,0,5,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,40,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,19025,475.625,159,9,5829,FALSE,5,19,13.3333333333333,16,0.5528336096874,0.375,0.475,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.3125,-58.7444101728957,-36.6627434243749,0.401108308924393,"normal_LDG","grid_cell_balanced_resampling_OLS",56.169547,9.73561,65.905157,96,"Pleistocene","Ple",2.58,0.0117,2.5683,"Coldhouse","#B2CCC7"
3.09,"Piacenzian","Northern",-0.76591515006229,-0.726295430127602,0.352226374007788,-1.20903623490113,-0.096638766998104,70.2124566060464,0.567146064001973,0.314707034029659,0.248047869575006,6,100,1,0,2,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,15,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,6898,459.866666666667,320,20,1834,FALSE,2,9,5,4,0.721110255092798,0.4,0.6,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.025,-68.9323635056061,-43.0211070194359,1.11239746790303,"normal_LDG","grid_cell_balanced_resampling_OLS",56.169547,9.73561,65.905157,95,"Piacenzian","Pia",3.6,2.58,1.02,"Coldhouse","#B2CCC7"
4.4665,"Zanclean","Northern",-0.704511770983632,-0.710365091237895,0.166794754257566,-1.06141702619408,-0.433759816699306,58.6705257064508,0.356911311639212,0.0677864190724319,0.233882329947916,15,100,1,0,5,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,29,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,8018,276.48275862069,144,6,1167,FALSE,5,15,9.66666666666667,9,0.520678236915224,0.517241379310345,0.517241379310345,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.169950738916256,-63.4060593885269,-39.5721070323184,0.627657209494771,"normal_LDG","grid_cell_balanced_resampling_OLS",56.169547,9.73561,65.905157,94,"Zanclean","Zan",5.333,3.6,1.733,"Coldhouse","#B2CCC7"
6.2895,"Messinian","Northern",-2.310461552248,-2.42660696096353,0.392216964467215,-2.96764684807926,-1.80237861487762,122.142681513607,0.409642223697348,0.115758761342376,0.967299394628029,3,100,1,0,1,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,10,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,4436,443.6,234.5,17,2132,FALSE,1,7,3.33333333333333,2,0.964365076099295,0.3,0.7,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.15,-207.94153970232,-129.777578750687,1.16526823320164,"normal_LDG","grid_cell_balanced_resampling_OLS",56.169547,9.73561,65.905157,93,"Messinian","Mes",7.246,5.333,1.913,"Coldhouse","#B2CCC7"
9.438,"Tortonian","Northern",-0.481015660223222,-0.487355622718329,0.0928250147286556,-0.673766970477293,-0.338532459270404,49.6126031049149,0.288466774864658,0.121138965775441,0.143464003268722,18,100,1,0,6,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,25,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,10706,428.24,166,6,4744,FALSE,6,10,8.33333333333333,9,0.249799919935936,0.72,0.4,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.282857142857143,-43.29140942009,-27.0184317346443,0.335234511206889,"normal_LDG","grid_cell_balanced_resampling_OLS",56.169547,9.73561,65.905157,92,"Tortonian","Tor",11.63,7.246,4.384,"Coolhouse","#B3D8D0"
12.725,"Serravallian","Northern",0.501767975844988,0.502867044647487,0.0233618093895807,0.459833992796275,0.545092180173642,13.0331476185351,0.341155553661852,0.15601623521476,0.089315476440511,24,100,0,1,8,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,26,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,8862,340.846153846154,104,5,2631,FALSE,8,10,8.66666666666667,8,0.133234677505298,0.923076923076923,0.384615384615385,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.100961538461538,45.159117826049,28.1840799023199,0.0852581873773679,"reverse_LDG","grid_cell_balanced_resampling_OLS",56.169547,9.73561,65.905157,91,"Serravallian","Ser",13.82,11.63,2.19,"Transitional","#E4E4E4"
14.9,"Langhian","Northern",-0.4268753595276,0.0131447716059745,0.956592419799801,-0.997679459224644,1.9754882367485,34.6354474743781,0.583481537773612,0.501302850214272,0.497953493383205,3,100,0.75,0.25,1,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,12,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,2374,197.833333333333,148,5,975,FALSE,1,7,4,4,0.75,0.25,0.583333333333333,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.125,-38.418782357484,-23.9773955701274,2.97316769597315,"normal_LDG","grid_cell_balanced_resampling_OLS",56.169547,9.73561,65.905157,90,"Langhian","Lan",15.98,13.82,2.16,"Transitional","#E4E4E4"
18.215,"Burdigalian","Northern",0.195475579131472,0.20252300730568,0.218247537139367,-0.148688614037643,0.65135378357609,17.1013190302854,0.39482942463198,0.588485013744576,0.018697333243536,18,100,0.22,0.78,6,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,31,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,9872,318.451612903226,109,8,1948,FALSE,6,16,10.3333333333333,9,0.496606590914215,0.580645161290323,0.516129032258065,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.245391705069124,17.5928021218324,10.9797747293774,0.800042397613733,"reverse_LDG","grid_cell_balanced_resampling_OLS",56.169547,9.73561,65.905157,89,"Burdigalian","Bur",20.45,15.98,4.47,"Transitional","#E4E4E4"
21.745,"Aquitanian","Northern",-0.816958831615007,-0.856671152785104,0.196178939820203,-1.14976764956524,-0.654915959324192,65.9405349137007,0.957249808186894,0.441506850800023,0.154041828923174,6,100,1,0,2,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,7,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,556,79.4285714285714,40,5,361,FALSE,2,3,2.33333333333333,2,0.247435829652697,0.857142857142857,0.428571428571429,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.428571428571429,-73.5262948453506,-45.8882074894642,0.494851690241049,"normal_LDG","grid_cell_balanced_resampling_OLS",56.169547,9.73561,65.905157,88,"Aquitanian","Aqu",23.04,20.45,2.59,"Coolhouse","#B3D8D0"
