"cell","tsbin","t","Method","Order.q","SC","qD","qD.LCL","qD.UCL","nT","nOcc","Sobs","Chat","GoodU","Mrate","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","occurrence_no","collection_no","reference_no","bin_midpoint","cell_lng","cell_lat"
"1","140.075_1",23.2566919170057,"Rarefaction",0,0.700000160012693,12.4126475083976,9.58563650812678,15.2396585086684,62,62,20,0.8736,0.870967741935484,0.6,8,5,1,1,2,2,0,0,0,0,62,18,6,"140.075",11.2500000006288,58.282525589545
"1","134.825_1",13.8664525223979,"Rarefaction",0,0.700000010374172,7.01344650830204,3.80117832765674,10.2257146889474,32,32,11,0.8496,0.84375,0.545454545454545,5,3,1,0,1,0,0,0,0,0,32,16,3,"134.825",11.2500000006288,58.282525589545
"1","9.438_1",753.993277914789,"Extrapolation",0,0.7,442.506065573784,248.219308966246,636.792822181321,122,122,112,0.1653,0.163934426229508,0.0892857142857143,102,10,0,0,0,0,0,0,0,0,122,2,3,"9.438",11.2500000006288,58.282525589545
"1","1.29585_1",20.6439256350022,"Extrapolation",0,0.7,14.45,2.91401402472049,25.9859859752795,6,6,6,0.0741,0,0,6,0,0,0,0,0,0,0,0,0,6,1,1,"1.29585",11.2500000006288,58.282525589545
"1","319.3_1",1.99995900720725,"Rarefaction",0,1,1,1,1,2,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,2,1,"319.3",11.2500000006288,58.282525589545
"1","244.082_1",48.4031658231818,"Extrapolation",0,0.7,23.7054054054054,0,56.4170598132916,37,37,20,0.6531,0.648648648648649,0.35,13,3,1,1,1,1,0,0,0,0,37,17,5,"244.082",11.2500000006288,58.282525589545
"1","239.232_1",1,"Observed",0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,"239.232",11.2500000006288,58.282525589545
"1","25.17_1",311.752902659793,"Extrapolation",0,0.7,176.60361111111,153.800686822534,199.406535399686,300,300,173,0.6877,0.686666666666667,0.456647398843931,94,48,20,6,4,1,0,0,0,0,300,6,4,"25.17",11.2500000006288,58.282525589545
"1","166.75_1",4.96936229591612,"Extrapolation",0,0.7,4.1,1.43353375811132,6.76646624188868,3,3,3,0.3333,0,0,3,0,0,0,0,0,0,0,0,0,3,1,1,"166.75",11.2500000006288,58.282525589545
"1","117.3_1",1,"Observed",0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,"117.3",11.2500000006288,58.282525589545
"1","123.585_1",4.79680610669921,"Rarefaction",0,0.699998817817143,3.11030772260602,2.44808014379737,3.77253530141467,24,24,5,1,0.958333333333333,0.8,1,0,1,0,1,1,0,0,1,0,24,11,1,"123.585",11.2500000006288,58.282525589545
"1","129.185_1",1.99997211875927,"Rarefaction",0,0.69999302965095,1.59998327125556,0.857367256591174,2.34259928591995,5,5,2,1,1,1,0,1,1,0,0,0,0,0,0,0,5,3,2,"129.185",11.2500000006288,58.282525589545
"1","311.1_1",1,"Observed",0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,"311.1",11.2500000006288,58.282525589545
"1","158.15_1",17.6178612691019,"Rarefaction",0,0.700000449385482,10.0196843144117,8.17430557269768,11.8650630561256,140,140,22,0.9502,0.95,0.681818181818182,7,2,0,3,2,1,1,0,0,0,140,23,2,"158.15",11.2500000006288,58.282525589545
"1","146.15_1",38.9309592604571,"Rarefaction",0,0.699999930697571,21.855286756971,20.854291376302,22.8562821376399,1161,1161,60,0.9914,0.991386735572782,0.833333333333333,10,10,1,2,3,0,3,0,1,0,1161,103,4,"146.15",11.2500000006288,58.282525589545
"1","163.4_1",1.14595648701149,"Rarefaction",0,0.666666666666667,1.09730432467433,0,2.47840250277648,3,3,2,0.8333,0.666666666666667,0.5,1,1,0,0,0,0,0,0,0,0,3,2,1,"163.4",11.2500000006288,58.282525589545
"1","152_1",3.99993974725793,"Rarefaction",0,1,1,1,1,4,4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,4,4,1,"152",11.2500000006288,58.282525589545
