"bin_midpoint","hemisphere","stage","n_cells","n_valid_lat_bins","min_abs_lat_bin_mid","max_abs_lat_bin_mid","lat_range_diagnostic","has_tropical","has_temperate","has_polar","sum_nT","mean_nT","median_nT","min_nT","max_nT","has_adjacent_tt","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","pass_tropical","pass_temperate","pass_polar","pass_adjacent_tt","pass_n_lat_bins","label","color","slope_filter_id","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","require_tropical","require_temperate","require_polar","require_adjacent_tt","require_min_lat_bins"
0.00585,"Northern","Holocene",14,5,14.532644,73.221345,58.688701,TRUE,TRUE,TRUE,1057,75.5,42.5,10,373,TRUE,1,5,2.8,2,0.586845597326964,0.357142857142857,0.357142857142857,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
1.29585,"Northern","Pleistocene",65,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,17555,270.076923076923,93,5,4905,TRUE,3,25,10.8333333333333,8,0.71838082234784,0.276923076923077,0.384615384615385,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
3.09,"Northern","Piacenzian",24,5,14.532644,73.221345,58.688701,TRUE,TRUE,TRUE,6649,277.041666666667,166.5,20,1830,TRUE,1,13,4.8,3,1.00346621489936,0.208333333333333,0.541666666666667,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
4.4665,"Northern","Zanclean",42,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,7300,173.809523809524,94.5,5,993,TRUE,2,15,7,6.5,0.682133507789333,0.285714285714286,0.357142857142857,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
6.2895,"Northern","Messinian",12,3,14.532644,49.126503,34.593859,TRUE,TRUE,FALSE,4083,340.25,105,14,2132,TRUE,3,6,4,3,0.433012701892219,0.75,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
9.438,"Northern","Tortonian",31,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,10098,325.741935483871,94,6,4595,TRUE,1,13,5.16666666666667,4,0.806580634840361,0.193548387096774,0.419354838709677,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
12.725,"Northern","Serravallian",37,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,7994,216.054054054054,70,5,2623,TRUE,1,12,6.16666666666667,4,0.756563681933674,0.162162162162162,0.324324324324324,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
14.9,"Northern","Langhian",17,4,14.532644,49.126503,34.593859,TRUE,TRUE,FALSE,2269,133.470588235294,75,5,968,TRUE,1,9,4.25,3.5,0.800806974771064,0.235294117647059,0.529411764705882,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
18.215,"Northern","Burdigalian",47,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,8929,189.978723404255,40,5,1866,TRUE,2,16,7.83333333333333,6,0.792792338616111,0.25531914893617,0.340425531914894,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
21.745,"Northern","Aquitanian",8,4,4.797034,49.126503,44.329469,TRUE,TRUE,FALSE,517,64.625,21,5,329,TRUE,1,3,2,2,0.577350269189626,0.5,0.375,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
