"cell","tsbin","t","Method","Order.q","SC","qD","qD.LCL","qD.UCL","nT","nOcc","Sobs","Chat","GoodU","Mrate","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","occurrence_no","collection_no","reference_no","bin_midpoint","cell_lng","cell_lat","qD_raw","stage","bin_index","bin","abs_lat","hemisphere","abs_lat_bin_mid","lat_zone","qD_normalized","slope_filter_id","data_role"
1,"134.825_1",32.0748499930846,"Extrapolation",0,0.7,18.0229166666667,6.96747410689013,29.0783592264432,32,32,18,0.6991,0.6875,0.444444444444444,10,6,1,0,0,0,1,0,0,0,32,14,4,134.825,11.2500000006287,58.282525589545,18.0229166666667,"Valanginian",12,1,58.282525589545,"Northern",73.221345,"polar",12.5529392606272,"collection5","slope"
1001,"18.215_1001",134.233512008212,"Rarefaction",0,0.70000001582226,68.2104147828285,54.8067175997454,81.6141119659115,151,151,73,0.7302,0.728476821192053,0.438356164383562,41,20,3,0,4,2,1,0,1,0,151,20,8,18.215,-78.7500000004855,8.41731465221897,68.2104147828285,"Burdigalian",7,6,8.41731465221897,"Northern",4.797034,"tropical",17.3250422723316,"collection5","slope"
1001,"0.00585_1001",14.8392674560714,"Rarefaction",0,0.699999595865612,8.9646045729619,0.546374475009863,17.3828346709139,23,23,11,0.7865,0.782608695652174,0.545454545454545,5,1,4,1,0,0,0,0,0,0,23,8,3,0.00585,-78.7500000004855,8.41731465221897,8.9646045729619,"Holocene",7,6,8.41731465221897,"Northern",4.797034,"tropical",10.7475480584139,"collection5","slope"
1001,"9.438_1001",211.99127226742,"Rarefaction",0,0.699999979865792,112.325297872083,108.320048706371,116.330547037796,4608,4608,364,0.9768,0.976779513888889,0.706043956043956,107,36,27,21,13,10,12,6,9,3,4608,211,35,9.438,-78.7500000004855,8.41731465221897,112.325297872083,"Tortonian",7,6,8.41731465221897,"Northern",4.797034,"tropical",51.9900030051932,"collection5","slope"
1001,"12.725_1001",307.867358697991,"Extrapolation",0,0.7,154.993783068786,130.589641578754,179.397924558818,252,252,137,0.6556,0.654761904761905,0.364963503649635,87,27,12,5,0,0,3,0,1,0,252,32,18,12.725,-78.7500000004855,8.41731465221897,154.993783068786,"Serravallian",7,6,8.41731465221897,"Northern",4.797034,"tropical",39.2868700795635,"collection5","slope"
1003,"9.438_1003",215.077314588092,"Rarefaction",0,0.700000012077824,115.136153341372,102.798956066499,127.473350616245,373,373,153,0.8047,0.804289544235925,0.522875816993464,73,29,16,13,11,3,2,2,1,3,373,15,19,9.438,-73.9243814134762,10.8520755049202,115.136153341372,"Tortonian",8,5,10.8520755049202,"Northern",14.532644,"tropical",53.2910134370722,"collection5","slope"
1003,"4.4665_1003",94.7266384478951,"Rarefaction",0,0.700000018532858,49.6806848544514,39.8023520915841,59.5590176173186,174,174,68,0.8229,0.82183908045977,0.544117647058823,31,16,7,4,3,3,1,1,0,0,174,36,12,4.4665,-73.9243814134762,10.8520755049202,49.6806848544514,"Zanclean",8,5,10.8520755049202,"Northern",14.532644,"tropical",23.8501343945394,"collection5","slope"
1004,"3.09_1004",82.3084154731903,"Rarefaction",0,0.69999998531963,46.1673922684728,37.7347167879127,54.6000677490328,142,142,60,0.8181,0.816901408450704,0.566666666666667,26,12,7,8,5,0,2,0,0,0,142,9,2,3.09,-71.4467125547171,12.035601323305,46.1673922684728,"Piacenzian",8,5,12.035601323305,"Northern",14.532644,"tropical",17.4870675111897,"collection5","slope"
1008,"69.1_1008",27.0879077746405,"Extrapolation",0,0.7,12.7142857142857,0,29.9733811919988,14,14,8,0.5821,0.571428571428571,0.25,6,1,0,0,0,1,0,0,0,0,14,9,5,69.1,-61.7914193140833,17.6648932086381,12.7142857142857,"Maastrichtian",8,5,17.6648932086381,"Northern",14.532644,"tropical",11.0269445964205,"collection5","slope"
1008,"106.85_1008",35.0025905013931,"Extrapolation",0,0.7,22.3,0,48.1943517607315,24,24,18,0.5208,0.5,0.333333333333333,12,6,0,0,0,0,0,0,0,0,24,11,6,106.85,-61.7914193140833,17.6648932086381,22.3,"Albian",8,5,17.6648932086381,"Northern",14.532644,"tropical",18.512135800646,"collection5","slope"
