"method_group","slope_metric","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","hemisphere","n_total_stage_hemi","n_with_slope","n_good","n_good_with_slope","prop_good_with_slope","method_label","filter_label","k_label","zone_label","qc_plot_label"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate","Northern",87,64,45,45,0.517241379310345,"Per-cell all-cell OLS","collection_no >= 10","k = 1","T + Te","collection_no >= 10 | k = 1 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate","Southern",87,65,40,40,0.459770114942529,"Per-cell all-cell OLS","collection_no >= 10","k = 1","T + Te","collection_no >= 10 | k = 1 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate_polar","collection",NA,10,1,"tropical_temperate_polar","Northern",87,64,22,22,0.252873563218391,"Per-cell all-cell OLS","collection_no >= 10","k = 1","T + Te + P","collection_no >= 10 | k = 1 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate_polar","collection",NA,10,1,"tropical_temperate_polar","Southern",87,65,24,24,0.275862068965517,"Per-cell all-cell OLS","collection_no >= 10","k = 1","T + Te + P","collection_no >= 10 | k = 1 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate","collection",NA,10,2,"tropical_temperate","Northern",87,64,34,34,0.390804597701149,"Per-cell all-cell OLS","collection_no >= 10","k = 2","T + Te","collection_no >= 10 | k = 2 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate","collection",NA,10,2,"tropical_temperate","Southern",87,65,17,17,0.195402298850575,"Per-cell all-cell OLS","collection_no >= 10","k = 2","T + Te","collection_no >= 10 | k = 2 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate_polar","collection",NA,10,2,"tropical_temperate_polar","Northern",87,64,11,11,0.126436781609195,"Per-cell all-cell OLS","collection_no >= 10","k = 2","T + Te + P","collection_no >= 10 | k = 2 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate_polar","collection",NA,10,2,"tropical_temperate_polar","Southern",87,65,9,9,0.103448275862069,"Per-cell all-cell OLS","collection_no >= 10","k = 2","T + Te + P","collection_no >= 10 | k = 2 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate","collection",NA,10,3,"tropical_temperate","Northern",87,64,16,16,0.183908045977011,"Per-cell all-cell OLS","collection_no >= 10","k = 3","T + Te","collection_no >= 10 | k = 3 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate","collection",NA,10,3,"tropical_temperate","Southern",87,65,8,8,0.0919540229885057,"Per-cell all-cell OLS","collection_no >= 10","k = 3","T + Te","collection_no >= 10 | k = 3 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate_polar","collection",NA,10,3,"tropical_temperate_polar","Northern",87,64,5,5,0.0574712643678161,"Per-cell all-cell OLS","collection_no >= 10","k = 3","T + Te + P","collection_no >= 10 | k = 3 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate_polar","collection",NA,10,3,"tropical_temperate_polar","Southern",87,65,5,5,0.0574712643678161,"Per-cell all-cell OLS","collection_no >= 10","k = 3","T + Te + P","collection_no >= 10 | k = 3 | T + Te + P"
