"cell","tsbin","t","Method","Order.q","SC","qD","qD.LCL","qD.UCL","nT","nOcc","Sobs","Chat","GoodU","Mrate","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","occurrence_no","collection_no","reference_no","bin_midpoint","cell_lng","cell_lat","qD_raw","stage","bin_index","bin","abs_lat","hemisphere","abs_lat_bin_mid","lat_zone","qD_normalized","slope_filter_id","data_role","qc_name"
1,"140.075_1",23.2566919170057,"Rarefaction",0,0.700000160012693,12.4126475083976,8.74796416046515,16.07733085633,62,62,20,0.8736,0.870967741935484,0.6,8,5,1,1,2,2,0,0,0,0,62,18,6,140.075,11.2500000006288,58.282525589545,12.4126475083976,"Berriasian",12,1,58.282525589545,"Northern",73.221345,"polar",47.5096208130445,"occurrence5","QC","occurrence5_k1_tropical_temperate"
1,"134.825_1",13.8664525223979,"Rarefaction",0,0.700000010374172,7.01344650830204,3.76007103313994,10.2668219834641,32,32,11,0.8496,0.84375,0.545454545454545,5,3,1,0,1,0,0,0,0,0,32,16,3,134.825,11.2500000006288,58.282525589545,7.01344650830204,"Valanginian",12,1,58.282525589545,"Northern",73.221345,"polar",22.2106710372537,"occurrence5","QC","occurrence5_k1_tropical_temperate"
1,"244.082_1",48.4031658231818,"Extrapolation",0,0.7,23.7054054054054,5.13428234023219,42.2765284705785,37,37,20,0.6531,0.648648648648649,0.35,13,3,1,1,1,1,0,0,0,0,37,17,5,244.082,11.2500000006288,58.282525589545,23.7054054054054,"Anisian",12,1,58.282525589545,"Northern",73.221345,"polar",23.6498129878613,"occurrence5","QC","occurrence5_k1_tropical_temperate"
1,"25.17_1",311.752902659793,"Extrapolation",0,0.7,176.60361111111,155.992691556497,197.214530665723,300,300,173,0.6877,0.686666666666667,0.456647398843931,94,48,20,6,4,1,0,0,0,0,300,6,4,25.17,11.2500000006288,58.282525589545,176.60361111111,"Chattian",12,1,58.282525589545,"Northern",73.221345,"polar",100,"occurrence5","QC","occurrence5_k1_tropical_temperate"
1,"123.585_1",4.79680610669921,"Rarefaction",0,0.699998817817143,3.11030772260602,2.30364031825849,3.91697512695355,24,24,5,1,0.958333333333333,0.8,1,0,1,0,1,1,0,0,1,0,24,11,1,123.585,11.2500000006288,58.282525589545,3.11030772260602,"Barremian",12,1,58.282525589545,"Northern",73.221345,"polar",10.3766185321553,"occurrence5","QC","occurrence5_k1_tropical_temperate"
1,"129.185_1",1.99997211875927,"Rarefaction",0,0.69999302965095,1.59998327125556,1.03795582181356,2.16201072069756,5,5,2,1,1,1,0,1,1,0,0,0,0,0,0,0,5,3,2,129.185,11.2500000006288,58.282525589545,1.59998327125556,"Hauterivian",12,1,58.282525589545,"Northern",73.221345,"polar",3.64939162011112,"occurrence5","QC","occurrence5_k1_tropical_temperate"
1,"158.15_1",17.6178612691019,"Rarefaction",0,0.700000449385482,10.0196843144117,8.67225994912407,11.3671086796992,140,140,22,0.9502,0.95,0.681818181818182,7,2,0,3,2,1,1,0,0,0,140,23,2,158.15,11.2500000006288,58.282525589545,10.0196843144117,"Oxfordian",12,1,58.282525589545,"Northern",73.221345,"polar",9.31610254028458,"occurrence5","QC","occurrence5_k1_tropical_temperate"
1,"146.15_1",38.9309592604571,"Rarefaction",0,0.699999930697571,21.855286756971,20.6870501455117,23.0235233684303,1161,1161,60,0.9914,0.991386735572782,0.833333333333333,10,10,1,2,3,0,3,0,1,0,1161,103,4,146.15,11.2500000006288,58.282525589545,21.855286756971,"Tithonian",12,1,58.282525589545,"Northern",73.221345,"polar",31.6608589643162,"occurrence5","QC","occurrence5_k1_tropical_temperate"
10,"296.21_10",13.416342922486,"Rarefaction",0,0.699999982798249,7.77295679492651,3.83451185142376,11.7114017384293,23,23,10,0.8372,0.826086956521739,0.6,4,3,1,0,2,0,0,0,0,0,23,12,6,296.21,11.250000000675,65.0900301585986,7.77295679492651,"Asselian",12,1,65.0900301585986,"Northern",73.221345,"polar",12.6063953042508,"occurrence5","QC","occurrence5_k1_tropical_temperate"
10,"179.45_10",50.4486531582265,"Extrapolation",0,0.7,30.1323232323232,21.8890311160511,38.3756153485953,44,44,28,0.6456,0.636363636363636,0.428571428571429,16,9,2,1,0,0,0,0,0,0,44,7,5,179.45,11.250000000675,65.0900301585986,30.1323232323232,"Toarcian",12,1,65.0900301585986,"Northern",73.221345,"polar",67.5757560381371,"occurrence5","QC","occurrence5_k1_tropical_temperate"
10,"248.3_10",17.0221269178601,"Rarefaction",0,0.700000379148397,9.69063033809303,5.35645095702337,14.0248097191627,22,22,11,0.7888,0.772727272727273,0.545454545454545,5,4,1,0,0,1,0,0,0,0,22,15,5,248.3,11.250000000675,65.0900301585986,9.69063033809303,"Olenekian",12,1,65.0900301585986,"Northern",73.221345,"polar",51.2927512600395,"occurrence5","QC","occurrence5_k1_tropical_temperate"
10,"244.082_10",35.9948217715341,"Rarefaction",0,0.69999995662156,20.4420418370239,17.8925355057777,22.9915481682701,181,181,35,0.9728,0.972375690607735,0.857142857142857,5,7,4,2,4,4,1,0,1,2,181,97,7,244.082,11.250000000675,65.0900301585986,20.4420418370239,"Anisian",12,1,65.0900301585986,"Northern",73.221345,"polar",20.3941024533339,"occurrence5","QC","occurrence5_k1_tropical_temperate"
10,"239.232_10",33.4690402557529,"Rarefaction",0,0.699999899673589,17.9314315344039,11.7375459191419,24.1253171496659,62,62,25,0.7924,0.790322580645161,0.48,13,4,2,0,4,0,1,1,0,0,62,34,7,239.232,11.250000000675,65.0900301585986,17.9314315344039,"Ladinian",12,1,65.0900301585986,"Northern",73.221345,"polar",18.9918886787218,"occurrence5","QC","occurrence5_k1_tropical_temperate"
10,"117.3_10",61.6817920334595,"Extrapolation",0,0.7,26.62,0,55.4701978708321,50,50,23,0.6816,0.68,0.304347826086957,16,2,0,2,1,0,1,0,0,1,50,14,2,117.3,11.250000000675,65.0900301585986,26.62,"Aptian",12,1,65.0900301585986,"Northern",73.221345,"polar",20.2610492336635,"occurrence5","QC","occurrence5_k1_tropical_temperate"
10,"140.075_10",8.99995402033222,"Rarefaction",0,1,1,1,1,9,9,1,1,1,1,0,0,0,0,0,0,0,0,1,0,9,9,1,140.075,11.250000000675,65.0900301585986,1,"Berriasian",12,1,65.0900301585986,"Northern",73.221345,"polar",3.82751711759337,"occurrence5","QC","occurrence5_k1_tropical_temperate"
100,"35.805_100",318.481392638841,"Extrapolation",0,0.7,161.764855072459,124.731106177208,198.79860396771,240,240,136,0.6425,0.641666666666667,0.367647058823529,86,23,13,4,8,1,1,0,0,0,240,11,6,35.805,-8.88409459604675,52.5676550152151,161.764855072459,"Priabonian",11,2,52.5676550152151,"Northern",49.126503,"temperate",69.7815015959436,"occurrence5","QC","occurrence5_k1_tropical_temperate"
