"slope_filter_id","bin_midpoint","sampling_profile_dissim"
"collection10",0.00585,0.375
"collection10",1.29585,0.857142857142857
"collection10",3.09,0.568181818181818
"collection10",4.4665,0.592105263157895
"collection10",6.2895,0.285714285714286
"collection10",9.438,0.126315789473684
"collection10",12.725,0.364583333333333
"collection10",14.9,0.285714285714286
"collection10",18.215,0.555555555555556
"collection10",21.745,0.5
"collection10",25.17,0.307692307692308
"collection10",30.6,0.1875
"collection10",35.805,0.342105263157895
"collection10",39.37,1.25
"collection10",44.55,1.10294117647059
"collection10",52.035,0.916666666666667
"collection10",57.62,0.25
"collection10",60.45,0.5
"collection10",63.83,0.875
"collection10",69.1,0.138888888888889
"collection10",77.9,1
"collection10",84.65,0.333333333333333
"collection10",87.75,3
"collection10",91.85,1.6
"collection10",97.2,0.386904761904762
"collection10",106.85,0.170454545454545
"collection10",117.3,0.2
"collection10",123.585,1
"collection10",129.185,0.5
"collection10",134.825,0.444444444444444
"collection10",140.075,0.545454545454545
"collection10",146.15,0.5
"collection10",152,0.428571428571428
"collection10",158.15,0.5
"collection10",163.4,0.032967032967033
"collection10",166.75,0.470588235294118
"collection10",169.55,0.0595238095238095
"collection10",172.8,1.3125
"collection10",179.45,0.214285714285714
"collection10",188.55,0.227272727272727
"collection10",196.2,0.4
"collection10",200.45,0.3
"collection10",203.55,0.285714285714286
"collection10",216.5,0.321428571428572
"collection10",232.15,0.277777777777778
"collection10",239.232,1.2
"collection10",244.082,0.8
"collection10",248.3,0.166666666666667
"collection10",250.901,0.031578947368421
"collection10",253.021,0.422077922077922
"collection10",256.825,0.0743034055727554
"collection10",261.895,0.533333333333333
"collection10",265.59,0.0287081339712918
"collection10",270.65,0.0151515151515152
"collection10",278.85,0.457142857142857
"collection10",286.7,0.545454545454546
"collection10",291.81,0
"collection10",296.21,0.714285714285714
"collection10",301.3,0.666666666666667
"collection10",305.35,0.5
"collection10",311.1,0.666666666666667
"collection10",319.3,0.857142857142857
"collection10",326.85,0.375
"collection10",338.5,0.25
"collection10",352.78,0.5
"collection10",365.505,1.83333333333333
"collection10",377.23,2.5
"collection10",385.13,1.91176470588235
"collection10",390.71,2.16666666666667
"collection10",402.045,1.21428571428571
"collection10",411.82,1.42857142857143
"collection10",416.32,1.47692307692308
"collection10",421.16,0.666666666666667
"collection10",423.85,0.4
"collection10",425.85,0.5
"collection10",428.65,2
"collection10",431.75,1.5
"collection10",435.75,1.21428571428571
"collection10",439.55,1.28571428571429
"collection10",441.8,1.5
"collection10",444.15,1
"collection10",449,1.2
"collection10",455.5,1.54166666666667
"collection10",463.8,1.48369565217391
"collection10",470.35,1
"collection10",474.2,0.0535714285714285
"collection10",481.975,0.0833333333333334
"collection5",0.00585,0.375
"collection5",1.29585,0.545454545454546
"collection5",3.09,0.6
"collection5",4.4665,0.369565217391304
"collection5",6.2895,0.2
"collection5",9.438,0.0372670807453416
"collection5",12.725,0.497142857142857
"collection5",14.9,0.25
"collection5",18.215,0.692307692307692
"collection5",21.745,0.5
"collection5",25.17,0.394736842105263
"collection5",30.6,0.272727272727273
"collection5",35.805,0.227272727272727
"collection5",39.37,0.75
"collection5",44.55,0.416666666666667
"collection5",52.035,1.125
"collection5",57.62,0.25
"collection5",60.45,0.666666666666667
"collection5",63.83,0.333333333333333
"collection5",69.1,0.230769230769231
"collection5",77.9,0.425
"collection5",84.65,0.147058823529412
"collection5",87.75,1.8
"collection5",91.85,1.1969696969697
"collection5",97.2,0.02
"collection5",106.85,0.032967032967033
"collection5",117.3,0.176470588235294
"collection5",123.585,0.380952380952381
"collection5",129.185,0.5
"collection5",134.825,0.173076923076923
"collection5",140.075,0.117647058823529
"collection5",146.15,0.166666666666667
"collection5",152,0.333333333333333
"collection5",158.15,0.350877192982456
"collection5",163.4,0.0220588235294118
"collection5",166.75,0.15
"collection5",169.55,0.166666666666667
"collection5",172.8,0.833333333333333
"collection5",179.45,0.136363636363636
"collection5",188.55,0.125
"collection5",196.2,0.428571428571428
"collection5",200.45,0.5
"collection5",203.55,0.285714285714286
"collection5",216.5,0.397058823529412
"collection5",232.15,0.5625
"collection5",239.232,1.15384615384615
"collection5",244.082,0.4375
"collection5",248.3,0.2
"collection5",250.901,0.204968944099379
"collection5",253.021,0.0535714285714285
"collection5",256.825,0.0827067669172932
"collection5",261.895,0.0625
"collection5",265.59,0.107142857142857
"collection5",270.65,0.204968944099379
"collection5",278.85,0.466666666666667
"collection5",286.7,0.188811188811189
"collection5",291.81,0.0714285714285714
"collection5",296.21,0.75
"collection5",301.3,1.02857142857143
"collection5",305.35,1.5
"collection5",311.1,0.416666666666667
"collection5",319.3,0.555555555555556
"collection5",326.85,0.375
"collection5",338.5,0.32051282051282
"collection5",352.78,0.476190476190476
"collection5",365.505,1.90909090909091
"collection5",377.23,1.54761904761905
"collection5",385.13,1.47826086956522
"collection5",390.71,2.06521739130435
"collection5",402.045,1.32
"collection5",411.82,2.25
"collection5",416.32,1.0625
"collection5",421.16,3
"collection5",423.85,0.333333333333333
"collection5",425.85,0.4
"collection5",428.65,0.641025641025641
"collection5",431.75,1.66666666666667
"collection5",435.75,0.571428571428571
"collection5",439.55,1.28571428571429
"collection5",441.8,1
"collection5",444.15,0.977777777777778
"collection5",449,1.28571428571429
"collection5",455.5,1.35087719298246
"collection5",463.8,1.26136363636364
"collection5",470.35,1.5
"collection5",474.2,0.266666666666667
"collection5",481.975,0.19047619047619
"occurrence10",0.00585,0.5
"occurrence10",1.29585,0.5
"occurrence10",3.09,0.5
"occurrence10",4.4665,0.269230769230769
"occurrence10",6.2895,0.2
"occurrence10",9.438,0.0535714285714285
"occurrence10",12.725,0.375
"occurrence10",14.9,0.181818181818182
"occurrence10",18.215,0.857142857142857
"occurrence10",21.745,0.5
"occurrence10",25.17,0.394736842105263
"occurrence10",30.6,0.285714285714286
"occurrence10",35.805,0.178571428571429
"occurrence10",39.37,0.75
"occurrence10",44.55,0.36
"occurrence10",52.035,1.125
"occurrence10",57.62,0.25
"occurrence10",60.45,0.75
"occurrence10",63.83,0.333333333333333
"occurrence10",69.1,0.125
"occurrence10",77.9,0.603658536585366
"occurrence10",84.65,0.15625
"occurrence10",87.75,1.8
"occurrence10",91.85,1.58385093167702
"occurrence10",97.2,0.115384615384615
"occurrence10",106.85,0.376518218623482
"occurrence10",117.3,0.1875
"occurrence10",123.585,0.333333333333333
"occurrence10",129.185,0.5
"occurrence10",134.825,0.666666666666667
"occurrence10",140.075,0.142857142857143
"occurrence10",146.15,0.333333333333333
"occurrence10",152,0.375
"occurrence10",158.15,0.291666666666667
"occurrence10",163.4,0
"occurrence10",166.75,0.15
"occurrence10",169.55,0.093984962406015
"occurrence10",172.8,1.8
"occurrence10",179.45,0.15
"occurrence10",188.55,0.142857142857143
"occurrence10",196.2,0.5
"occurrence10",200.45,0.222222222222222
"occurrence10",203.55,0.25
"occurrence10",216.5,0.375
"occurrence10",232.15,0.692307692307692
"occurrence10",239.232,0.75
"occurrence10",244.082,0.9375
"occurrence10",248.3,0
"occurrence10",250.901,0.152173913043478
"occurrence10",253.021,0.327380952380952
"occurrence10",256.825,0.186602870813397
"occurrence10",261.895,0.153409090909091
"occurrence10",265.59,0.173076923076923
"occurrence10",270.65,0.0857142857142857
"occurrence10",278.85,0.447058823529412
"occurrence10",286.7,0.342857142857143
