"method_group","slope_metric","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","bin_midpoint","stage","era","sampling_profile_dissim","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","k_sample_Northern","k_sample_Southern","interval_width_Northern","interval_width_Southern","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_median_asym","k_median_diff","k_median_diff_signed","k_sample_asym","k_sample_diff_signed","interval_width_asym","interval_width_diff_signed","mean_interval_width"
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",1.29585,"Pleistocene","Cenozoic",0.200404858299595,-0.445293193662415,-0.257616625566942,8,2,0.61778378477727,0.731560014900802,NA,NA,0.72328711106238,0.966333688531816,0.187676568095473,-0.187676568095473,0.113776230123533,-0.113776230123533,1.09861228866811,6,6,NA,NA,0.131937158934122,-0.243046577469435,0.844810399797098
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",44.55,"Lutetian","Cenozoic",1.6031746031746,0.603824520627326,-0.0726163230374086,2.5,1,1.20697561013336,1.26168012376112,NA,NA,1.33224649976431,0.904732759154382,0.676440843664735,0.676440843664735,0.0547045136277637,-0.0547045136277637,0.559615787935423,1.5,1.5,NA,NA,0.202490251230504,0.427513740609932,1.11848962945935
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",69.1,"Maastrichtian","Mesozoic",0.375643224699829,0.171966377998727,-0.157522693981993,4,2,1.09856050022714,0.873862897505303,NA,NA,1.2507904476956,0.90870593598912,0.32948907198072,0.32948907198072,0.224697602721839,0.224697602721839,0.510825623765991,2,2,NA,NA,0.164855972595014,0.342084511706483,1.07974819184236
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",77.9,"Campanian","Mesozoic",0.246376811594203,-0.155564240668246,0.255319741024948,8,1.5,0.884651736929383,1.01105005920687,NA,NA,0.727631804750269,1.00216718763481,0.410883981693195,-0.410883981693195,0.126398322277491,-0.126398322277491,1.28093384546206,6.5,6.5,NA,NA,0.147478615990082,-0.274535382884538,0.864899496192538
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",87.75,"Coniacian","Mesozoic",1,-0.507817001304741,-0.406552852280248,1,1,1.39642400437689,0.894427190999916,NA,NA,1.68882353939412,2.26520897273991,0.101264149024494,-0.101264149024494,0.501996813376978,0.501996813376978,0,0,0,NA,NA,0.194220012582222,-0.576385433345789,1.97701625606701
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",97.2,"Cenomanian","Mesozoic",0.6125,-0.0452995652463404,0.0900000357828462,8.5,2.5,0.993337178404191,0.419523539268061,NA,NA,0.888151878358851,0.63781192619519,0.135299601029187,-0.135299601029187,0.573813639136131,0.573813639136131,0.998528830111127,6,6,NA,NA,0.142237348867865,0.250339952163661,0.76298190227702
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",106.85,"Albian","Mesozoic",0.0142857142857143,-0.355220925670361,-0.0176017918498548,5.5,3,0.681909084849293,0.739553091745416,NA,NA,0.653735347429838,0.796095784142332,0.337619133820506,-0.337619133820506,0.0576440068961236,-0.0576440068961236,0.485507815781701,2.5,2.5,NA,NA,0.0825787241866515,-0.142360436712494,0.724915565786085
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",117.3,"Aptian","Mesozoic",0.0852272727272727,0.143096268574475,0.0253311580391055,3.5,1.5,0.868727517694703,0.536286589227368,NA,NA,1.45965066547524,0.626063945200607,0.11776511053537,0.11776511053537,0.332440928467335,0.332440928467335,0.587786664902119,2,2,NA,NA,0.413856996912119,0.833586720274632,1.04285730533792
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",146.15,"Tithonian","Mesozoic",0.196551724137931,-0.144239846085231,-0.035244936106178,3.5,1,1.00011889899572,1.17983049630021,NA,NA,1.12465296073855,0.497555713521209,0.108994909979053,-0.108994909979053,0.179711597304486,-0.179711597304486,0.810930216216329,2.5,2.5,NA,NA,0.349774221775667,0.627097247217336,0.811104337129877
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",152,"Kimmeridgian","Mesozoic",0.75,-0.615632393630604,-0.162998917365138,4,1.5,0.961769203083567,0.612372435695795,NA,NA,1.3894096277007,1.08834220075709,0.452633476265466,-0.452633476265466,0.349396767387773,0.349396767387773,0.693147180559945,2.5,2.5,NA,NA,0.134675771887573,0.301067426943605,1.23887591422889
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",158.15,"Oxfordian","Mesozoic",0.754385964912281,-0.187120912788719,-0.29704680420514,3.5,2.5,1.10149734402402,0.918936583472681,NA,NA,1.17882384360449,0.736015858555105,0.109925891416421,0.109925891416421,0.182560760551337,0.182560760551337,0.251314428280906,1,1,NA,NA,0.227192458615855,0.442807985049383,0.957419851079796
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",163.4,"Callovian","Mesozoic",0.571428571428571,-0.953301028464766,-0.319920687431376,1.5,3,1.18305618132291,0.880630571852711,NA,NA,0.990852169792522,0.940332938853743,0.63338034103339,-0.63338034103339,0.302425609470201,0.302425609470201,0.470003629245736,1.5,-1.5,NA,NA,0.0257031967837913,0.0505192309387794,0.965592554323133
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",169.55,"Bajocian","Mesozoic",0.78,-0.1667613802209,-0.649170229349681,2,1.5,1.20876796780855,0.726636084983398,NA,NA,1.38282451082051,0.715308460456739,0.482408849128781,0.482408849128781,0.482131882825147,0.482131882825147,0.182321556793955,0.5,0.5,NA,NA,0.328693628512127,0.667516050363769,1.04906648563862
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",179.45,"Toarcian","Mesozoic",0.666666666666667,-0.408980226223384,-0.370900683645137,4,2,1.15999406813862,0.816496580927726,NA,NA,1.01584557362156,0.901766948728518,0.0380795425782475,-0.0380795425782475,0.343497487210898,0.343497487210898,0.510825623765991,2,2,NA,NA,0.0582553198586235,0.114078624893043,0.95880626117504
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",188.55,"Pliensbachian","Mesozoic",0.109090909090909,0.1924295911426,-0.47652427590158,5.5,2,0.976754619531876,0.846852858124485,NA,NA,1.08756108812536,1.32076036989067,0.66895386704418,0.66895386704418,0.12990176140739,0.12990176140739,0.773189888233482,3.5,3.5,NA,NA,0.105898436536552,-0.233199281765307,1.20416072900802
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",200.45,"Hettangian","Mesozoic",0.136363636363636,0.344668868709585,0.0478821491156648,2,2,1.26360366210139,0.637661015154552,NA,NA,1.88827509964561,0.778766411838913,0.29678671959392,0.29678671959392,0.625942646946834,0.625942646946834,0,0,0,NA,NA,0.484739375611035,1.10950868780669,1.33352075574226
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",203.55,"Rhaetian","Mesozoic",0.630681818181818,-0.283455872352578,-0.526264677005123,1,1,1.3555441711726,0.724996437722796,NA,NA,1.71177872018878,0.965117561983133,0.242808804652544,0.242808804652544,0.6305477334498,0.6305477334498,0,0,0,NA,NA,0.322052702385688,0.746661158205651,1.33844814108596
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",216.5,"Norian","Mesozoic",0.280748663101604,-0.562025270759453,-0.46607178299427,5.5,1.5,0.364516079643051,0.536286589227368,NA,NA,0.795267777564926,1.24210994007764,0.0959534877651836,-0.0959534877651836,0.171770509584317,-0.171770509584317,0.955511445027436,4,4,NA,NA,0.222263169540866,-0.446842162512718,1.01868885882129
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",232.15,"Carnian","Mesozoic",1.1969696969697,-0.425816420017743,-0.0679706649822416,4.5,1,0.47759729223868,0.918936583472681,NA,NA,0.758947360190936,0.272747409441882,0.357845755035502,-0.357845755035502,0.441339291234001,-0.441339291234001,1.01160091167848,3.5,3.5,NA,NA,0.323537660925744,0.486199950749054,0.515847384816409
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",244.082,"Anisian","Mesozoic",0.15625,-0.153516822551053,-0.0452872341148434,3.5,1,0.698212002188447,0.894427190999916,NA,NA,1.06517990873585,0.194000323038855,0.108229588436209,-0.108229588436209,0.196215188811469,-0.196215188811469,0.810930216216329,2.5,2.5,NA,NA,0.547908059970345,0.871179585696997,0.629590115887354
