"method_group","slope_metric","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","bin_midpoint","stage","era","sampling_profile_dissim","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","k_sample_Northern","k_sample_Southern","interval_width_Northern","interval_width_Southern","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_median_asym","k_median_diff","k_median_diff_signed","k_sample_asym","k_sample_diff_signed","interval_width_asym","interval_width_diff_signed","mean_interval_width"
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",1.29585,"Pleistocene","Cenozoic",0.200404858299595,-0.384933804117007,-0.197166420686262,8,2,0.61778378477727,0.731560014900802,2,1,0.674738151991045,0.228697307264349,0.187767383430745,-0.187767383430745,0.113776230123533,-0.113776230123533,1.09861228866811,6,6,0.405465108108164,1,0.309702317530382,0.446040844726696,0.451717729627697
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",44.55,"Lutetian","Cenozoic",1.6031746031746,0.337502742119877,0.0995973748167814,2.5,1,1.20697561013336,1.26168012376112,1,1,0.706142157215244,0.431454188276742,0.237905367303095,0.237905367303095,0.0547045136277637,-0.0547045136277637,0.559615787935423,1.5,1.5,0,0,0.175543930948156,0.274687968938502,0.568798172745993
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",69.1,"Maastrichtian","Mesozoic",0.375643224699829,0.0703253392812329,-0.159656708445779,4,2,1.09856050022714,0.873862897505303,1,2,1.03626344049147,0.183470716660344,0.229982047727012,0.229982047727012,0.224697602721839,0.224697602721839,0.510825623765991,2,2,0.405465108108164,-1,0.542665074855519,0.852792723831131,0.609867078575909
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",77.9,"Campanian","Mesozoic",0.246376811594203,-0.14543798551757,0.29813951794831,8,1.5,0.884651736929383,1.01105005920687,2,1,0.383752372965303,0.422100988494175,0.443577503465881,-0.443577503465881,0.126398322277491,-0.126398322277491,1.28093384546206,6.5,6.5,0.405465108108164,1,0.0273364275716598,-0.038348615528872,0.402926680729739
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",87.75,"Coniacian","Mesozoic",1,-0.445762588054485,-0.379792665710605,1,1,1.39642400437689,0.894427190999916,1,1,0.808581374298589,0.918940106298716,0.0659699223438804,-0.0659699223438804,0.501996813376978,0.501996813376978,0,0,0,0,0,0.0592302387839094,-0.110358732000128,0.863760740298652
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",97.2,"Cenomanian","Mesozoic",0.6125,-0.136064264778097,-0.0164469227588141,8.5,2.5,0.993337178404191,0.419523539268061,1,1,1.28178781775684,0.453903757709497,0.119617342019282,-0.119617342019282,0.573813639136131,0.573813639136131,0.998528830111127,6,6,0,0,0.450707080767589,0.827884060047342,0.867845787733168
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",106.85,"Albian","Mesozoic",0.0142857142857143,-0.282995354738234,0.141437571439337,5.5,3,0.681909084849293,0.739553091745416,2,1,0.683990475732245,0.474741430703119,0.424432926177571,-0.424432926177571,0.0576440068961236,-0.0576440068961236,0.485507815781701,2.5,2.5,0.405465108108164,1,0.13268358685669,0.209249045029126,0.579365953217682
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",117.3,"Aptian","Mesozoic",0.0852272727272727,-0.132173191344463,0.125075769516942,3.5,1.5,0.868727517694703,0.536286589227368,1,1,1.15600500745494,0.265941669840012,0.257248960861405,-0.257248960861405,0.332440928467335,0.332440928467335,0.587786664902119,2,2,0,0,0.53244072732673,0.890063337614929,0.710973338647477
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",146.15,"Tithonian","Mesozoic",0.196551724137931,0.0802927881687294,0.0175700248317995,3.5,1,1.00011889899572,1.17983049630021,1,1,0.726147566308704,0.123461937867504,0.0627227633369299,0.0627227633369299,0.179711597304486,-0.179711597304486,0.810930216216329,2.5,2.5,0,0,0.429477151238084,0.6026856284412,0.424804752088104
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",152,"Kimmeridgian","Mesozoic",0.75,-0.195655851575929,-0.254433555687158,4,1.5,0.961769203083567,0.612372435695795,2,1,0.567423041146002,0.184626094875345,0.0587777041112285,0.0587777041112285,0.349396767387773,0.349396767387773,0.693147180559945,2.5,2.5,0.405465108108164,1,0.280005702716375,0.382796946270657,0.376024568010674
