"method_group","slope_metric","qc_name","n_total","n_retained","prop_retained","n_retained_Northern","n_retained_Southern"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate",174,127,0.729885057471264,65,62
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate",174,119,0.683908045977011,61,58
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate",174,114,0.655172413793103,60,54
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate",174,93,0.53448275862069,49,44
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate",174,127,0.729885057471264,65,62
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate",174,119,0.683908045977011,61,58
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate",174,114,0.655172413793103,60,54
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k1_tropical_temperate",174,93,0.53448275862069,49,44
"percentile_latbin_OLS","q75","occurrence5_k1_tropical_temperate",174,127,0.729885057471264,65,62
"percentile_latbin_OLS","q75","occurrence10_k1_tropical_temperate",174,119,0.683908045977011,61,58
"percentile_latbin_OLS","q75","collection5_k1_tropical_temperate",174,114,0.655172413793103,60,54
"percentile_latbin_OLS","q75","collection10_k1_tropical_temperate",174,93,0.53448275862069,49,44
