"method_group","slope_metric","qc_name","group1","group2","n1","n2","median1","median2","median_diff","p_value","w_statistic","iqr1","iqr2","test_note","p_adjusted"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coldhouse","Hothouse",25,25,-0.497299209818183,-0.0730035922768525,-0.42429561754133,4.8101737683132e-05,111,0.503271941288853,0.299049039138102,"Tested",0.00048101737683132
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coldhouse","Warmhouse",25,26,-0.497299209818183,-0.0817143730341044,-0.415584836784078,0.0001331918686924,131,0.503271941288853,0.241569411413811,"Tested",0.000665959343462
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coldhouse","Transitional",25,32,-0.497299209818183,-0.119233702680854,-0.378065507137329,0.000399657391221423,191,0.503271941288853,0.339369431147534,"Tested",0.00133219130407141
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coolhouse","Hothouse",32,25,-0.206650299214319,-0.0730035922768525,-0.133646706937466,0.00678329127955739,246,0.313377596254517,0.299049039138102,"Tested",0.0169582281988935
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coolhouse","Warmhouse",32,26,-0.206650299214319,-0.0817143730341044,-0.124935926180214,0.00892463574179036,264,0.313377596254517,0.241569411413811,"Tested",0.0178492714835807
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coldhouse","Coolhouse",25,32,-0.497299209818183,-0.206650299214319,-0.290648910603864,0.0114362131502449,258,0.503271941288853,0.313377596254517,"Tested",0.0190603552504082
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coolhouse","Transitional",32,32,-0.206650299214319,-0.119233702680854,-0.087416596533465,0.0334156756663264,375,0.313377596254517,0.339369431147534,"Tested",0.0477366795233234
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Transitional","Hothouse",32,25,-0.119233702680854,-0.0730035922768525,-0.0462301104040012,0.157423025664408,337,0.339369431147534,0.299049039138102,"Tested",0.19677878208051
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Transitional","Warmhouse",32,26,-0.119233702680854,-0.0817143730341044,-0.0375193296467492,0.25318669243371,373,0.339369431147534,0.241569411413811,"Tested",0.281318547148567
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Warmhouse","Hothouse",26,25,-0.0817143730341044,-0.0730035922768525,-0.00871078075725193,0.342699092897766,303,0.241569411413811,0.299049039138102,"Tested",0.342699092897766
