"method_group","slope_metric","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","bin_midpoint","stage","era","sampling_profile_dissim","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","k_sample_Northern","k_sample_Southern","interval_width_Northern","interval_width_Southern","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_median_asym","k_median_diff_signed","k_sample_asym","k_sample_diff_signed","interval_width_asym","interval_width_diff_signed","mean_interval_width"
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",0.00585,"Holocene","Cenozoic",0.666666666666667,-1.04597488844066,0.234519983434909,2,1,0.577350269189626,0.372677996249965,1,1,0.348384620530379,0.0347141615127475,1.28049487187557,-1.28049487187557,0.204672272939661,0.204672272939661,0.405465108108164,1,0,0,0.26478208247187,0.313670459017632,0.191549391021563
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",1.29585,"Pleistocene","Cenozoic",0.426229508196721,-0.486801489104825,-0.22261631405926,5,2,0.695080034021438,0.704920974469418,1,1,0.73033997259716,0.169600834794394,0.264185175045565,-0.264185175045565,0.00984094044797978,-0.00984094044797978,0.693147180559945,3,0,0,0.391655381398453,0.560739137802765,0.449970403695777
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",3.09,"Piacenzian","Cenozoic",0.642857142857143,-0.525533091537579,-0.717315247672866,1.5,2,1.1408712905439,0.285714285714286,1,1,1.3265365998685,0.613796613047636,0.191782156135287,0.191782156135287,0.855157004829613,0.855157004829613,0.182321556793955,-0.5,0,0,0.365791176221743,0.712739986820864,0.970166606458067
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",4.4665,"Zanclean","Cenozoic",0.236842105263158,-0.400395637141345,-0.0832746065543612,3,2,0.65697303856947,0.342326598440729,2,1,0.593642349572153,0.512490400563182,0.317121030586983,-0.317121030586983,0.314646440128741,0.314646440128741,0.287682072451781,1,0.405465108108164,1,0.0522646181091834,0.0811519490089712,0.553066375067668
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",9.438,"Tortonian","Cenozoic",0.4125,-0.767788044004657,-0.742668885243948,4,1,0.807774721070176,0.387298334620742,1,1,0.554229802674523,0.395322899704264,0.0251191587607086,-0.0251191587607086,0.420476386449434,0.420476386449434,0.916290731874155,3,0,0,0.107854261370999,0.158906902970259,0.474776351189393
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",12.725,"Serravallian","Cenozoic",0.4,0.401479046690571,-0.127170443680969,3,1,0.854774666587476,0.866025403784439,1,1,1.75194155242913,1.0082631403047,0.52864949037154,0.52864949037154,0.0112507371969627,-0.0112507371969627,0.693147180559945,2,0,0,0.315036442417218,0.74367841212443,1.38010234636692
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",18.215,"Burdigalian","Cenozoic",0.952631578947368,0.151193917258659,-0.0311240236399883,4,1,0.755928946018454,1.15310012106351,1,1,1.40305519553217,0.824213468539778,0.182317940898647,0.182317940898647,0.397171175045053,-0.397171175045053,0.916290731874155,3,0,0,0.275592007922204,0.578841726992397,1.11363433203598
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",44.55,"Lutetian","Cenozoic",1.16666666666667,0.0305112806098615,-0.0242441321121228,4.5,1,0.734059245024958,0.372677996249965,1,1,0.784073052062465,0.419318303205545,0.0547554127219843,0.0547554127219843,0.361381248774993,0.361381248774993,1.01160091167848,3.5,0,0,0.228722293606514,0.364754748856921,0.601695677634005
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",77.9,"Campanian","Mesozoic",0.56390977443609,-0.161342300802676,0.0717982817456656,5,1,0.924055256109444,0.63887656499994,1,1,0.235124377891642,0.0596778738930719,0.233140582548341,-0.233140582548341,0.285178691109504,0.285178691109504,1.09861228866811,4,0,0,0.153206706466808,0.17544650399857,0.147401125892357
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",97.2,"Cenomanian","Mesozoic",0.19047619047619,0.131144884273519,0.715571231156538,4.5,2,0.773717943298663,0.346410161513775,1,1,1.14962665421479,0.693102890301151,0.584426346883019,-0.584426346883019,0.427307781784888,0.427307781784888,0.606135803570315,2.5,0,0,0.238731302601798,0.456523763913638,0.92136477225797
