"method_group","slope_metric","qc_name","n_total","n_retained","prop_retained","n_retained_Northern","n_retained_Southern"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate",174,124,0.71264367816092,61,63
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate",174,117,0.672413793103448,59,58
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate",174,108,0.620689655172414,57,51
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate",174,88,0.505747126436782,47,41
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate",174,124,0.71264367816092,61,63
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate",174,117,0.672413793103448,59,58
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate",174,108,0.620689655172414,57,51
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k1_tropical_temperate",174,88,0.505747126436782,47,41
"percentile_latbin_OLS","q75","occurrence5_k1_tropical_temperate",174,124,0.71264367816092,61,63
"percentile_latbin_OLS","q75","occurrence10_k1_tropical_temperate",174,117,0.672413793103448,59,58
"percentile_latbin_OLS","q75","collection5_k1_tropical_temperate",174,108,0.620689655172414,57,51
"percentile_latbin_OLS","q75","collection10_k1_tropical_temperate",174,88,0.505747126436782,47,41
