"bin_midpoint","hemisphere","stage","n_cells","n_valid_lat_bins","min_abs_lat_bin_mid","max_abs_lat_bin_mid","lat_range_diagnostic","has_tropical","has_temperate","has_polar","sum_nT","mean_nT","median_nT","min_nT","max_nT","has_adjacent_tt","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","pass_tropical","pass_temperate","pass_polar","pass_adjacent_tt","pass_n_lat_bins","label","color","slope_filter_id","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","require_tropical","require_temperate","require_polar","require_adjacent_tt","require_min_lat_bins"
0.00585,"Northern","Holocene",17,12,7.986719,80.405932,72.419213,TRUE,TRUE,TRUE,1250,73.5294117647059,34,11,365,TRUE,0,4,0.944444444444444,1,1.05709200980769,0,0.235294117647059,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
1.29585,"Northern","Pleistocene",70,17,1.592369,80.405932,78.813563,TRUE,TRUE,TRUE,14821,211.728571428571,97.5,7,2129,TRUE,0,10,3.88888888888889,3.5,0.747817954235568,0,0.142857142857143,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
3.09,"Northern","Piacenzian",24,10,11.216828,66.77291,55.556082,TRUE,TRUE,TRUE,6968,290.333333333333,152.5,9,1309,TRUE,0,6,1.33333333333333,1,1.28623938856882,0,0.25,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
4.4665,"Northern","Zanclean",41,15,1.592369,66.77291,65.180541,TRUE,TRUE,TRUE,6893,168.121951219512,76,5,1162,TRUE,0,7,2.27777777777778,2,0.849240463104524,0,0.170731707317073,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
6.2895,"Northern","Messinian",10,6,11.216828,44.024286,32.807458,TRUE,TRUE,FALSE,4352,435.2,150,9,2298,TRUE,0,4,0.555555555555556,0,1.87491176262966,0,0.4,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
9.438,"Northern","Tortonian",39,14,1.592369,80.405932,78.813563,TRUE,TRUE,TRUE,10996,281.948717948718,89,8,4608,TRUE,0,6,2.16666666666667,2,0.85617268947809,0,0.153846153846154,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
12.725,"Northern","Serravallian",39,12,7.986719,59.588323,51.601604,TRUE,TRUE,FALSE,8851,226.948717948718,81,6,2716,TRUE,0,8,2.16666666666667,1.5,1.12219019106464,0,0.205128205128205,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
14.9,"Northern","Langhian",17,8,11.216828,53.750124,42.533296,TRUE,TRUE,FALSE,2410,141.764705882353,79,7,978,TRUE,0,4,0.944444444444444,0,1.47397533811605,0,0.235294117647059,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
18.215,"Northern","Burdigalian",43,14,1.592369,59.588323,57.995954,TRUE,TRUE,FALSE,9134,212.418604651163,72,6,1889,TRUE,0,6,2.38888888888889,3,0.826539395231907,0,0.13953488372093,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
21.745,"Northern","Aquitanian",7,5,7.986719,48.647908,40.661189,TRUE,TRUE,FALSE,620,88.5714285714286,39,5,392,TRUE,0,2,0.388888888888889,0,1.79434887219572,0,0.285714285714286,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
25.17,"Northern","Chattian",30,12,7.986719,59.588323,51.601604,TRUE,TRUE,FALSE,3582,119.4,102.5,10,370,TRUE,0,6,1.66666666666667,1,1.08898225556764,0,0.2,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
30.6,"Northern","Rupelian",35,13,4.782054,59.588323,54.806269,TRUE,TRUE,FALSE,7300,208.571428571429,80,5,2478,TRUE,0,7,1.94444444444444,1,1.13598775841772,0,0.2,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
35.805,"Northern","Priabonian",37,11,1.592369,48.647908,47.055539,TRUE,TRUE,FALSE,3805,102.837837837838,58,5,551,TRUE,0,8,2.05555555555556,1,1.20872094229075,0,0.216216216216216,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
39.37,"Northern","Bartonian",34,10,7.986719,59.588323,51.601604,TRUE,TRUE,FALSE,10687,314.323529411765,81.5,5,2232,TRUE,0,11,1.88888888888889,1,1.47397533811605,0,0.323529411764706,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
44.55,"Northern","Lutetian",35,12,1.592369,59.588323,57.995954,TRUE,TRUE,FALSE,6901,197.171428571429,52,5,816,TRUE,0,7,1.94444444444444,1,1.10825777421936,0,0.2,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
52.035,"Northern","Ypresian",31,10,1.592369,53.750124,52.157755,TRUE,TRUE,FALSE,6548,211.225806451613,118,6,1098,TRUE,0,7,1.72222222222222,1,1.3331139767735,0,0.225806451612903,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
57.62,"Northern","Thanetian",18,6,11.216828,80.405932,69.189104,TRUE,TRUE,TRUE,2397,133.166666666667,42.5,5,695,TRUE,0,7,1,0,1.97036873228756,0,0.388888888888889,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
60.45,"Northern","Selandian",4,4,35.709438,59.588323,23.878885,FALSE,TRUE,FALSE,1355,338.75,362,96,535,TRUE,0,1,0.222222222222222,0,1.92506684375924,0,0.25,FALSE,TRUE,TRUE,TRUE,TRUE,"bad","Bad hemisphere","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
63.83,"Northern","Danian",20,5,31.874494,48.647908,16.773414,FALSE,TRUE,FALSE,2294,114.7,35.5,5,1202,TRUE,0,9,1.11111111111111,0,2.1584308025535,0,0.45,FALSE,TRUE,TRUE,TRUE,TRUE,"bad","Bad hemisphere","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
69.1,"Northern","Maastrichtian",59,14,4.782054,59.588323,54.806269,TRUE,TRUE,FALSE,16908,286.576271186441,49,5,3040,TRUE,0,13,3.27777777777778,2,1.15015000076046,0,0.220338983050847,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
77.9,"Northern","Campanian",74,14,1.592369,80.405932,78.813563,TRUE,TRUE,TRUE,8631,116.635135135135,58,5,852,TRUE,0,13,4.11111111111111,3.5,0.947194270573462,0,0.175675675675676,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
84.65,"Northern","Santonian",29,9,11.216828,59.588323,48.371495,TRUE,TRUE,FALSE,1858,64.0689655172414,43,7,250,TRUE,0,9,1.61111111111111,0.5,1.53725505660052,0,0.310344827586207,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
87.75,"Northern","Coniacian",38,10,11.216828,59.588323,48.371495,TRUE,TRUE,FALSE,1339,35.2368421052632,15,5,190,TRUE,0,10,2.11111111111111,1,1.33868622957292,0,0.263157894736842,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
91.85,"Northern","Turonian",70,17,1.592369,80.405932,78.813563,TRUE,TRUE,TRUE,4450,63.5714285714286,27,5,631,TRUE,0,13,3.88888888888889,3,0.890283686257817,0,0.185714285714286,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
97.2,"Northern","Cenomanian",79,16,1.592369,59.588323,57.995954,TRUE,TRUE,FALSE,7269,92.0126582278481,27,5,1260,TRUE,0,15,4.38888888888889,3.5,0.925156673409692,0,0.189873417721519,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
106.85,"Northern","Albian",45,15,1.592369,80.405932,78.813563,TRUE,TRUE,TRUE,4343,96.5111111111111,41,5,635,TRUE,0,7,2.5,2,0.81457314697006,0,0.155555555555556,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
117.3,"Northern","Aptian",38,13,1.592369,80.405932,78.813563,TRUE,TRUE,TRUE,3635,95.6578947368421,25,5,791,TRUE,0,7,2.11111111111111,1.5,1.00008146971377,0,0.184210526315789,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
123.585,"Northern","Barremian",29,12,4.782054,80.405932,75.623878,TRUE,TRUE,TRUE,2067,71.2758620689655,34,5,521,TRUE,0,5,1.61111111111111,1,1.04598072650151,0,0.172413793103448,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
129.185,"Northern","Hauterivian",27,10,4.782054,66.77291,61.990856,TRUE,TRUE,TRUE,2492,92.2962962962963,36,6,672,TRUE,0,6,1.5,1,1.23669388480168,0,0.222222222222222,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
134.825,"Northern","Valanginian",38,13,4.782054,80.405932,75.623878,TRUE,TRUE,TRUE,3908,102.842105263158,38.5,5,1472,TRUE,0,6,2.11111111111111,2,0.85801533844317,0,0.157894736842105,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
140.075,"Northern","Berriasian",37,14,4.782054,80.405932,75.623878,TRUE,TRUE,TRUE,1420,38.3783783783784,22,5,201,TRUE,0,5,2.05555555555556,1,0.92111399659049,0,0.135135135135135,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
146.15,"Northern","Tithonian",34,13,4.782054,80.405932,75.623878,TRUE,TRUE,TRUE,4104,120.705882352941,47.5,5,1189,TRUE,0,5,1.88888888888889,1,0.975999386038186,0,0.147058823529412,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
152,"Northern","Kimmeridgian",30,11,21.178301,80.405932,59.227631,TRUE,TRUE,TRUE,3750,125,29.5,7,1501,TRUE,0,6,1.66666666666667,1.5,1.08898225556764,0,0.2,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
158.15,"Northern","Oxfordian",41,12,4.782054,80.405932,75.623878,TRUE,TRUE,TRUE,6960,169.756097560976,36,5,951,TRUE,0,10,2.27777777777778,1,1.33677280885692,0,0.24390243902439,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
163.4,"Northern","Callovian",27,10,11.216828,80.405932,69.189104,TRUE,TRUE,TRUE,2765,102.407407407407,55,5,452,TRUE,0,7,1.5,1,1.39560467837445,0,0.259259259259259,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
166.75,"Northern","Bathonian",33,11,11.216828,53.750124,42.533296,TRUE,TRUE,FALSE,2825,85.6060606060606,40,5,739,TRUE,0,8,1.83333333333333,2,1.20160320712774,0,0.242424242424242,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
169.55,"Northern","Bajocian",33,11,7.986719,80.405932,72.419213,TRUE,TRUE,TRUE,1972,59.7575757575758,22,5,444,TRUE,0,7,1.83333333333333,1,1.21608087646506,0,0.212121212121212,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
