"cell","tsbin","t","Method","Order.q","SC","qD","qD.LCL","qD.UCL","nT","nOcc","Sobs","Chat","GoodU","Mrate","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","occurrence_no","collection_no","reference_no","bin_midpoint","cell_lng","cell_lat","qD_raw","stage","bin_index","bin","abs_lat","hemisphere","abs_lat_bin_mid","lat_zone","qD_normalized","slope_filter_id","data_role"
1,"140.075_1",3.548824456,"Rarefaction",0,0.8,1.709764891,1.025520276,2.394009506,5,5,2,1,0.8,0.5,1,0,0,1,0,0,0,0,0,0,5,5,3,140.075,11.25,58.28252559,1.709764891,"Berriasian",34,3,58.28252559,"Northern",59.588323,"temperate",6.10279673091873,"collection5","slope"
1,"134.825_1",17.08946026,"Rarefaction",0,0.700000056,8.107451236,0,17.03107178,24,24,10,0.757,0.75,0.4,6,2,1,0,0,0,0,0,0,0,24,14,3,134.825,11.25,58.28252559,8.107451236,"Valanginian",34,3,58.28252559,"Northern",59.588323,"temperate",24.7420536238231,"collection5","slope"
1001,"35.805_1001",38.93847652,"Rarefaction",0,0.700000083,22.1831821,19.15770202,25.20866217,111,111,34,0.9112,0.90990991,0.705882353,10,8,2,5,2,4,0,2,1,0,111,13,5,35.805,-78.75,8.417314652,22.1831821,"Priabonian",21,16,8.417314652,"Northern",7.986719,"tropical",8.98413709171172,"collection5","slope"
1001,"9.438_1001",202.5045406,"Rarefaction",0,0.699999993,107.5404873,103.7300002,111.3509744,4595,4595,347,0.9787,0.97867247,0.717579251,98,37,24,15,14,14,9,7,10,2,4595,208,34,9.438,-78.75,8.417314652,107.5404873,"Tortonian",21,16,8.417314652,"Northern",7.986719,"tropical",70.845145094294,"collection5","slope"
1001,"12.725_1001",253.2391916,"Extrapolation",0,0.7,126.3752941,99.04696279,153.7036254,153,153,91,0.5895,0.588235294,0.307692308,63,15,6,3,0,1,1,1,1,0,153,15,13,12.725,-78.75,8.417314652,126.3752941,"Serravallian",21,16,8.417314652,"Northern",7.986719,"tropical",47.4244694626722,"collection5","slope"
1001,"18.215_1001",123.7323136,"Rarefaction",0,0.70000001,62.99929182,52.02284851,73.97573513,157,157,72,0.7597,0.757961783,0.472222222,38,21,3,0,4,3,1,0,1,0,157,20,6,18.215,-78.75,8.417314652,62.99929182,"Burdigalian",21,16,8.417314652,"Northern",7.986719,"tropical",21.4090239223751,"collection5","slope"
1003,"4.4665_1003",88.47453015,"Rarefaction",0,0.699999965,46.59244341,37.83860515,55.34628167,170,170,65,0.8304,0.829411765,0.553846154,29,15,7,4,3,3,1,1,0,0,170,35,10,4.4665,-73.92438141,10.8520755,46.59244341,"Zanclean",22,15,10.8520755,"Northern",11.216828,"tropical",21.8274131543002,"collection5","slope"
1003,"9.438_1003",210.6723334,"Rarefaction",0,0.700000014,113.1647091,97.31982948,129.0095887,370,370,151,0.8085,0.808108108,0.529801325,71,29,17,11,11,4,2,3,1,2,370,12,18,9.438,-73.92438141,10.8520755,113.1647091,"Tortonian",22,15,10.8520755,"Northern",11.216828,"tropical",74.5502502083517,"collection5","slope"
1004,"3.09_1004",77.78332176,"Rarefaction",0,0.700000049,43.72594844,36.67141406,50.78048281,136,136,57,0.8248,0.823529412,0.578947368,24,12,7,7,5,0,2,0,0,0,136,9,2,3.09,-71.44671255,12.03560132,43.72594844,"Piacenzian",22,15,12.03560132,"Northern",11.216828,"tropical",17.270433333528,"collection5","slope"
1008,"69.1_1008",8.541705954,"Rarefaction",0,0.7,4.562511786,2.054759585,7.070263987,10,10,5,0.73,0.7,0.4,3,0,1,1,0,0,0,0,0,0,10,6,2,69.1,-61.79141931,17.66489321,4.562511786,"Maastrichtian",24,13,17.66489321,"Northern",17.79942,"tropical",3.05654663253728,"collection5","slope"
101,"134.825_101",15.99994555,"Rarefaction",0,1,1,1,1,16,16,1,1,1,1,0,0,0,0,0,0,0,0,0,0,16,16,1,134.825,-32.91510756,79.84138097,1,"Valanginian",36,1,79.84138097,"Northern",80.405932,"polar",3.05176718349652,"collection5","slope"
1021,"311.1_1021",13.66646311,"Extrapolation",0,0.7,8.987878788,2.631992732,15.34376484,11,11,8,0.5942,0.545454545,0.375,5,3,0,0,0,0,0,0,0,0,11,6,3,311.1,-28.19052452,34.5127684,8.987878788,"Moscovian",29,8,34.5127684,"Northern",35.709438,"temperate",12.2654095243131,"collection5","slope"
1027,"18.215_1027",24.87486461,"Extrapolation",0,0.7,14.25,0,37.61318703,14,14,10,0.5211,0.5,0.3,7,2,1,0,0,0,0,0,0,0,14,5,2,18.215,-9.179325709,37.60742699,14.25,"Burdigalian",29,8,37.60742699,"Northern",35.709438,"temperate",4.84257175089378,"collection5","slope"
1029,"216.5_1029",13.50770664,"Rarefaction",0,0.699999927,7.572480766,3.446858121,11.69810341,33,33,12,0.8219,0.818181818,0.5,6,2,0,1,1,1,0,1,0,0,33,18,4,216.5,-76.37572631,7.240276668,7.572480766,"Norian",21,16,7.240276668,"Northern",7.986719,"tropical",8.87683471236347,"collection5","slope"
1029,"25.17_1029",117.3562291,"Rarefaction",0,0.69999996,67.80075535,60.1598566,75.44165411,149,149,76,0.7808,0.77852349,0.565789474,33,25,9,6,3,0,0,0,0,0,149,19,7,25.17,-76.37572631,7.240276668,67.80075535,"Chattian",21,16,7.240276668,"Northern",7.986719,"tropical",49.0676978921198,"collection5","slope"
1029,"9.438_1029",226.0545578,"Rarefaction",0,0.700000009,125.9971777,111.9219354,140.0724201,327,327,151,0.7958,0.795107034,0.556291391,67,37,24,13,4,3,2,0,0,1,327,13,8,9.438,-76.37572631,7.240276668,125.9971777,"Tortonian",21,16,7.240276668,"Northern",7.986719,"tropical",83.0039788710167,"collection5","slope"
1029,"21.745_1029",113.9412104,"Rarefaction",0,0.699999978,61.92873208,56.45531507,67.4021491,329,329,99,0.9032,0.902735562,0.676767677,32,24,11,10,2,7,2,3,1,3,329,30,7,21.745,-76.37572631,7.240276668,61.92873208,"Aquitanian",21,16,7.240276668,"Northern",7.986719,"tropical",100,"collection5","slope"
1029,"35.805_1029",94.50262966,"Extrapolation",0,0.7,52.10717029,32.4486228,71.76571779,71,71,44,0.61,0.605633803,0.363636364,28,11,2,1,1,1,0,0,0,0,71,11,7,35.805,-76.37572631,7.240276668,52.10717029,"Priabonian",21,16,7.240276668,"Northern",7.986719,"tropical",21.1032826235749,"collection5","slope"
1031,"12.725_1031",91.98895166,"Extrapolation",0,0.7,54.1845045,40.81218805,67.55682096,74,74,48,0.6136,0.608108108,0.395833333,29,15,2,1,1,0,0,0,0,0,74,11,10,12.725,-71.5522208,9.663682366,54.1845045,"Serravallian",22,15,9.663682366,"Northern",11.216828,"tropical",20.3336530079757,"collection5","slope"
1031,"188.55_1031",8.730160934,"Rarefaction",0,0.699999963,4.916056344,3.38065301,6.451459678,64,64,12,0.939,0.9375,0.666666667,4,3,1,0,0,0,0,2,0,0,64,49,2,188.55,-71.5522208,9.663682366,4.916056344,"Pliensbachian",22,15,9.663682366,"Northern",11.216828,"tropical",9.06064314720276,"collection5","slope"
1032,"14.9_1032",94.51491098,"Rarefaction",0,0.699999969,49.64596101,45.79963456,53.49228746,968,968,120,0.969,0.969008264,0.75,30,16,9,5,8,3,9,7,4,1,968,104,2,14.9,-69.06321652,10.83026067,49.64596101,"Langhian",22,15,10.83026067,"Northern",11.216828,"tropical",31.7609354888102,"collection5","slope"
1032,"9.438_1032",76.13900717,"Rarefaction",0,0.700000044,39.43630151,31.98125122,46.89135181,331,331,83,0.8884,0.888217523,0.554216867,37,12,10,3,4,1,3,3,0,1,331,47,15,9.438,-69.06321652,10.83026067,39.43630151,"Tortonian",22,15,10.83026067,"Northern",11.216828,"tropical",25.979708411255,"collection5","slope"
1032,"18.215_1032",113.2489592,"Rarefaction",0,0.700000014,58.19930664,53.83889958,62.5597137,1045,1045,152,0.9541,0.954066986,0.684210526,48,21,15,10,7,11,0,4,3,3,1045,124,7,18.215,-69.06321652,10.83026067,58.19930664,"Burdigalian",22,15,10.83026067,"Northern",11.216828,"tropical",19.7778468951908,"collection5","slope"
1033,"18.215_1033",165.4688185,"Rarefaction",0,0.699999982,89.61771166,80.7184395,98.51698383,306,306,121,0.8373,0.836601307,0.58677686,50,33,9,11,4,5,4,4,1,0,306,14,20,18.215,-66.4725646,11.90389261,89.61771166,"Burdigalian",22,15,11.90389261,"Northern",11.216828,"tropical",30.454750797506,"collection5","slope"
1036,"69.1_1036",1.644461765,"Rarefaction",0,0.700001001,1.306886555,0.852747269,1.76102584,7,7,2,1,1,1,0,1,0,0,1,0,0,0,0,0,7,7,1,69.1,-59.55379228,16.6327724,1.306886555,"Maastrichtian",24,13,16.6327724,"Northern",17.79942,"tropical",0.875517672316101,"collection5","slope"
1036,"117.3_1036",19.27819003,"Rarefaction",0,0.699999828,10.15643496,4.930888305,15.38198161,48,48,16,0.8559,0.854166667,0.5625,7,2,4,1,0,0,0,1,0,0,48,20,6,117.3,-59.55379228,16.6327724,10.15643496,"Aptian",24,13,16.6327724,"Northern",17.79942,"tropical",8.08792376473721,"collection5","slope"
1049,"311.1_1049",8.353589327,"Rarefaction",0,0.700000417,4.998894457,0,10.2658184,12,12,6,0.7643,0.75,0.5,3,1,1,1,0,0,0,0,0,0,12,9,2,311.1,-25.77498112,32.85146598,4.998894457,"Moscovian",28,9,32.85146598,"Northern",31.874494,"temperate",6.8217973484228,"collection5","slope"
1057,"216.5_1057",13.66646311,"Extrapolation",0,0.7,8.987878788,1.598049862,16.37770771,11,11,8,0.5942,0.545454545,0.375,5,3,0,0,0,0,0,0,0,0,11,5,2,216.5,-74.02429994,6.052551563,8.987878788,"Norian",20,17,6.052551563,"Northern",4.782054,"tropical",10.5360339472975,"collection5","slope"
1061,"4.4665_1061",190.8689248,"Rarefaction",0,0.700000009,107.7333372,97.33048082,118.1361937,327,327,138,0.8355,0.834862385,0.608695652,54,33,22,13,10,5,0,0,1,0,327,12,6,4.4665,-64.04724821,10.59932218,107.7333372,"Zanclean",22,15,10.59932218,"Northern",11.216828,"tropical",50.4704172919859,"collection5","slope"
1061,"35.805_1061",25.04434587,"Extrapolation",0,0.7,13.78333333,0,27.67078368,15,15,10,0.5516,0.533333333,0.3,7,2,0,1,0,0,0,0,0,0,15,5,2,35.805,-64.04724821,10.59932218,13.78333333,"Priabonian",22,15,10.59932218,"Northern",11.216828,"tropical",5.58221790089707,"collection5","slope"
1061,"1.29585_1061",97.13369498,"Extrapolation",0,0.7,56.82458333,41.41707518,72.23209149,75,75,49,0.5924,0.586666667,0.367346939,31,16,0,1,0,0,0,1,0,0,75,11,4,1.29585,-64.04724821,10.59932218,56.82458333,"Pleistocene",22,15,10.59932218,"Northern",11.216828,"tropical",22.2354388096186,"collection5","slope"
