"bin_midpoint","stage","hemisphere","slope","intercept","slope_se","slope_lower_95","slope_upper_95","p_value","r_squared","n_cells_model","method_group","slope_metric","quantile","slope_filter_id","slope_qc_type","slope_occurrence_min","slope_collection_min","slope_mean","slope_sd","n_resamples_valid","prop_negative","prop_positive","k_sample","n_cells","n_valid_lat_bins","min_abs_lat_bin_mid","max_abs_lat_bin_mid","lat_range_diagnostic","has_tropical","has_temperate","has_polar","sum_nT","mean_nT","median_nT","min_nT","max_nT","has_adjacent_tt","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","pass_tropical","pass_temperate","pass_polar","pass_adjacent_tt","pass_n_lat_bins","label","color","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","require_tropical","require_temperate","require_polar","require_adjacent_tt","require_min_lat_bins","slope_90deg","slope_sampled_range"
0.00585,"Holocene","Northern",-0.995851789325702,80.4078264193404,0.485388078753728,-2.24358156780444,0.251877989153039,0.0954408102350899,0.457071327200826,7,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,10,7,11.216828,80.405932,69.189104,TRUE,TRUE,TRUE,934,93.4,55.5,18,424,TRUE,0,2,0.555555555555556,0,1.41088207703341,0,0.2,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,-89.6266610393132,-68.9020930202421
0.00585,"Holocene","Northern",-0.995851789325702,80.4078264193404,0.485388078753728,-2.24358156780444,0.251877989153039,0.0954408102350899,0.457071327200826,7,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,10,7,11.216828,80.405932,69.189104,TRUE,TRUE,TRUE,934,93.4,55.5,18,424,TRUE,0,2,0.555555555555556,0,1.41088207703341,0,0.2,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,-89.6266610393132,-68.9020930202421
0.00585,"Holocene","Northern",-0.995851789325702,80.4078264193404,0.485388078753728,-2.24358156780444,0.251877989153039,0.0954408102350899,0.457071327200826,7,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,6,3,48.647908,80.405932,31.758024,FALSE,TRUE,TRUE,277,46.1666666666667,40,18,79,FALSE,0,2,0.555555555555556,0,1.41088207703341,0,0.2,FALSE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","collection5_k2_tropical_temperate","collection",NA,5,2,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,-89.6266610393132,-31.6262850258486
0.00585,"Holocene","Northern",-0.995851789325702,80.4078264193404,0.485388078753728,-2.24358156780444,0.251877989153039,0.0954408102350899,0.457071327200826,7,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,6,3,48.647908,80.405932,31.758024,FALSE,TRUE,TRUE,277,46.1666666666667,40,18,79,FALSE,0,2,0.555555555555556,0,1.41088207703341,0,0.2,FALSE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","collection5_k2_tropical_temperate_polar","collection",NA,5,2,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,-89.6266610393132,-31.6262850258486
0.00585,"Holocene","Northern",-0.995851789325702,80.4078264193404,0.485388078753728,-2.24358156780444,0.251877989153039,0.0954408102350899,0.457071327200826,7,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","Bad hemisphere","collection5_k3_tropical_temperate","collection",NA,5,3,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,-89.6266610393132,NA
0.00585,"Holocene","Northern",-0.995851789325702,80.4078264193404,0.485388078753728,-2.24358156780444,0.251877989153039,0.0954408102350899,0.457071327200826,7,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","Bad hemisphere","collection5_k3_tropical_temperate_polar","collection",NA,5,3,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,-89.6266610393132,NA
0.00585,"Holocene","Southern",-0.242500486509877,41.2627275778402,0.205688360085627,-2.85601890160588,2.37101792858612,0.447828152908493,0.581584913560565,3,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,3,3,11.216828,53.750124,42.533296,TRUE,TRUE,FALSE,342,114,69,46,227,FALSE,0,1,0.166666666666667,0,2.30089496654211,0,0.333333333333333,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,-21.8250437858889,-10.3143449728686
0.00585,"Holocene","Southern",-0.242500486509877,41.2627275778402,0.205688360085627,-2.85601890160588,2.37101792858612,0.447828152908493,0.581584913560565,3,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,3,3,11.216828,53.750124,42.533296,TRUE,TRUE,FALSE,342,114,69,46,227,FALSE,0,1,0.166666666666667,0,2.30089496654211,0,0.333333333333333,TRUE,TRUE,FALSE,FALSE,TRUE,"bad","Bad hemisphere","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,-21.8250437858889,-10.3143449728686
0.00585,"Holocene","Southern",-0.242500486509877,41.2627275778402,0.205688360085627,-2.85601890160588,2.37101792858612,0.447828152908493,0.581584913560565,3,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","Bad hemisphere","collection5_k2_tropical_temperate","collection",NA,5,2,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,-21.8250437858889,NA
0.00585,"Holocene","Southern",-0.242500486509877,41.2627275778402,0.205688360085627,-2.85601890160588,2.37101792858612,0.447828152908493,0.581584913560565,3,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","Bad hemisphere","collection5_k2_tropical_temperate_polar","collection",NA,5,2,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,-21.8250437858889,NA
