"method_group","slope_metric","Analysis scope","QC Scenario","Group 1","Group 2","n1","n2","Median difference","W statistics","p value","p-adjusted value"
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coldhouse","Transitional",22,28,-0.538147163407879,130,0.000261128006686283,0.00130564003343142
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coldhouse","Warmhouse",22,25,-0.568958677174556,109,0.000208983194963366,0.00130564003343142
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coldhouse","Hothouse",22,21,-0.581738015428694,97,0.000590189080921617,0.00196729693640539
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coolhouse","Hothouse",30,21,-0.277600931782309,177,0.0042490792269966,0.0106226980674915
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coolhouse","Warmhouse",30,25,-0.264821593528172,231,0.00764170576204476,0.0152834115240895
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coldhouse","Coolhouse",22,30,-0.304137083646385,224,0.0253483151535829,0.0362118787908327
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coolhouse","Transitional",30,28,-0.234010079761494,291,0.0227754754993788,0.0362118787908327
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Transitional","Hothouse",28,21,-0.0435908520208151,251,0.195272433690783,0.244090542113478
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Warmhouse","Hothouse",25,21,-0.0127793382541376,239,0.306002891153913,0.340003212393237
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Transitional","Warmhouse",28,25,-0.0308115137666775,332,0.377594444711339,0.377594444711339
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coolhouse","Hothouse",19,10,-0.275097731964511,24,0.000608721155723399,0.00608721155723399
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coldhouse","Hothouse",9,10,-0.569225943896491,15,0.00800549540525859,0.0400274770262929
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coldhouse","Transitional",9,15,-0.465935945306154,34,0.0245489908046328,0.0469806893714433
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coldhouse","Warmhouse",9,15,-0.430853599650476,35,0.028188413622866,0.0469806893714433
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coolhouse","Transitional",19,15,-0.171807733374174,81,0.0171831090518008,0.0469806893714433
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coolhouse","Warmhouse",19,15,-0.136725387718497,84,0.0221260421874062,0.0469806893714433
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Transitional","Hothouse",15,10,-0.103289998590337,49,0.0786097008536992,0.112299572648142
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coldhouse","Coolhouse",9,19,-0.29412821193198,61,0.118879734266694,0.13208859362966
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Warmhouse","Hothouse",15,10,-0.138372344246015,52,0.106001715461413,0.13208859362966
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Transitional","Warmhouse",15,15,0.0350823456556776,113,0.516542611413403,0.516542611413403
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate","Coldhouse","Transitional",8,15,-0.543013067711955,18,0.00369417684656274,0.0184708842328137
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate","Coldhouse","Hothouse",8,10,-0.545096405401843,9,0.00336419980417375,0.0184708842328137
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate","Coldhouse","Warmhouse",8,14,-0.509460809037821,20,0.0076973342146598,0.0220348363898696
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate","Coolhouse","Hothouse",18,10,-0.246248237735075,40,0.00881393455594786,0.0220348363898696
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate","Coolhouse","Transitional",18,15,-0.244164900045187,79,0.0223957768220647,0.0447915536441294
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate","Coldhouse","Coolhouse",8,18,-0.298848167666768,44,0.0632838607368535,0.105473101228089
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate","Coolhouse","Warmhouse",18,14,-0.210612641371053,88,0.0771498503381037,0.110214071911577
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate","Warmhouse","Hothouse",14,10,-0.0356355963640224,51,0.139348939870355,0.174186174837943
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate","Transitional","Hothouse",15,10,-0.00208333768988784,68,0.359216019455169,0.399128910505744
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate","Transitional","Warmhouse",15,14,0.0335522586741345,121,0.764274146580536,0.764274146580536
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate_polar","Coolhouse","Hothouse",10,4,-0.4022222019573,0,0.00291033320390544,0.0291033320390544
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate_polar","Coolhouse","Warmhouse",10,6,-0.278727799405071,8,0.00985028188438878,0.0492514094219439
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate_polar","Coldhouse","Hothouse",4,4,-0.683825141807325,0,0.0151914109882887,0.0506380366276292
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate_polar","Coldhouse","Warmhouse",4,6,-0.560330739255096,2,0.0214128046154457,0.0535320115386142
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate_polar","Transitional","Hothouse",4,4,-0.35955229040763,1,0.030300984856003,0.0606019697120061
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate_polar","Coldhouse","Coolhouse",4,10,-0.281602939850025,11,0.114665971195824,0.150596667938481
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate_polar","Coldhouse","Transitional",4,4,-0.324272851399695,3,0.0969654261412053,0.150596667938481
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate_polar","Warmhouse","Hothouse",6,4,-0.12349440255223,6,0.120477334350785,0.150596667938481
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate_polar","Transitional","Warmhouse",4,6,-0.236057887855401,7,0.168677825888181,0.187419806542423
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate_polar","Coolhouse","Transitional",10,4,-0.0426699115496699,16,0.310308973218845,0.310308973218845
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate","Coldhouse","Transitional",5,8,-0.737454511713941,2,0.00520749732953164,0.0301207091051034
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate","Coldhouse","Warmhouse",5,10,-0.622115406346294,4,0.00602414182102069,0.0301207091051034
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate","Coldhouse","Hothouse",5,5,-0.790639461859973,1,0.0107858739738605,0.0359529132462016
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate","Coolhouse","Transitional",5,8,-0.229915511962636,6,0.024066198109791,0.0601654952744775
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate","Coolhouse","Hothouse",5,5,-0.283100462108668,4,0.047346471299738,0.0946929425994759
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate","Coldhouse","Coolhouse",5,5,-0.507538999751305,6,0.105037520393329,0.152889753204365
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate","Coolhouse","Warmhouse",5,10,-0.114576406594989,15,0.122311802563492,0.152889753204365
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate","Warmhouse","Hothouse",10,5,-0.168524055513679,15,0.122311802563492,0.152889753204365
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate","Transitional","Hothouse",8,5,-0.0531849501460323,20,0.529173534919482,0.58797059435498
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate","Transitional","Warmhouse",8,10,0.115339105367647,54,0.901189454840576,0.901189454840576
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate_polar","Coolhouse","Warmhouse",2,3,-0.160325144036788,0,0.0744573365893828,0.18395858760508
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate_polar","Coolhouse","Hothouse",2,2,-0.445536771061561,0,0.122639058403386,0.18395858760508
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate_polar","Warmhouse","Hothouse",3,2,-0.285211627024773,1,0.193238115385616,0.193238115385616
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate_polar","Coldhouse","Coolhouse",1,2,-0.53028898784716,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate_polar","Coldhouse","Transitional",1,1,-0.717620037195793,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate_polar","Coldhouse","Warmhouse",1,3,-0.690614131883948,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate_polar","Coldhouse","Hothouse",1,2,-0.975825758908722,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate_polar","Coolhouse","Transitional",2,1,-0.187331049348633,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate_polar","Transitional","Warmhouse",1,3,0.027005905311845,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k3_tropical_temperate_polar","Transitional","Hothouse",1,2,-0.258205721712928,NA,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate","Coldhouse","Hothouse",21,17,-0.71646540279667,25,3.53200449709669e-06,3.53200449709669e-05
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate","Coolhouse","Hothouse",29,17,-0.400306342673001,70,3.09744236952051e-05,0.000154872118476025
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate","Coldhouse","Warmhouse",21,23,-0.591201413498109,80,7.74737972394122e-05,0.000258245990798041
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate","Coldhouse","Transitional",21,25,-0.4475627700179,117,0.000692777250191419,0.00173194312547855
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate","Transitional","Hothouse",25,17,-0.268902632778771,98,0.0017432229106353,0.0034864458212706
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate","Coolhouse","Warmhouse",29,23,-0.275042353374439,192,0.0046908970104894,0.00781816168414901
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate","Warmhouse","Hothouse",23,17,-0.125263989298562,106,0.00744573828163411,0.010636768973763
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate","Coolhouse","Transitional",29,25,-0.131403709894231,268,0.0514791736083793,0.0643489670104741
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate","Coldhouse","Coolhouse",21,29,-0.316159060123669,232,0.0784994090802708,0.0872215656447454
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate","Transitional","Warmhouse",25,23,-0.143638643480209,249,0.216453215216578,0.216453215216578
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate_polar","Coolhouse","Hothouse",17,8,-0.38401065942273,9,0.000327291289412282,0.00327291289412282
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate_polar","Transitional","Hothouse",12,8,-0.264746456389146,9,0.0014873540710043,0.0074367703550215
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate_polar","Coldhouse","Hothouse",9,8,-0.698917459618378,6,0.00226532033816799,0.00755106779389331
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate_polar","Coldhouse","Warmhouse",9,13,-0.539078762075487,26,0.0163031523915086,0.0326459989332387
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate_polar","Warmhouse","Hothouse",13,8,-0.15983869754289,22,0.0163229994666193,0.0326459989332387
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate_polar","Coolhouse","Warmhouse",17,13,-0.22417196187984,62,0.0222747144285044,0.0371245240475073
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate_polar","Coldhouse","Transitional",9,12,-0.434171003229231,27,0.0298316906252013,0.0426167008931448
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate_polar","Coolhouse","Transitional",17,12,-0.119264203033584,75,0.120309757703998,0.150387197129998
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate_polar","Coldhouse","Coolhouse",9,17,-0.314906800195647,57,0.152908355026461,0.169898172251623
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k1_tropical_temperate_polar","Transitional","Warmhouse",12,13,-0.104907758846256,61,0.184730971373752,0.184730971373752
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k2_tropical_temperate","Coldhouse","Transitional",6,13,-0.6146754947322,3,0.000924237235808028,0.00308079078602676
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k2_tropical_temperate","Coldhouse","Warmhouse",6,13,-0.625889837382446,3,0.000924237235808028,0.00308079078602676
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k2_tropical_temperate","Coldhouse","Hothouse",6,10,-0.741392716494244,0,0.000687795633623293,0.00308079078602676
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k2_tropical_temperate","Coldhouse","Coolhouse",6,15,-0.530205332052456,15,0.0108216020069484,0.0246697094600347
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k2_tropical_temperate","Coolhouse","Hothouse",15,10,-0.211187384441788,34,0.0123348547300173,0.0246697094600347
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence10_k2_tropical_temperate","Warmhouse","Hothouse",13,10,-0.115502879111798,30,0.0161935868127798,0.026989311354633
