"method_group","slope_metric","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","test","x_var","y_var","n","estimate","p_value"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate","NH slope vs SH slope","slope_Northern","slope_Southern",17,-0.632352941176471,0.00645378805338272
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate","|NH-SH slope| vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_abs",17,-0.681372549019608,0.00259660313572525
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate","|NH-SH slope| vs k_cv difference","k_cv_diff","slope_diff_abs",17,0.311274509803922,0.223923936072405
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate","|NH-SH slope| vs k_median asymmetry","k_median_asym","slope_diff_abs",17,-0.260488103431316,0.312598573606058
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate","NH-SH slope vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_signed",17,0.105392156862745,0.687265838956657
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate","NH-SH slope vs signed k_cv difference","k_cv_diff_signed","slope_diff_signed",17,-0.0759803921568628,0.771944851242544
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate","NH-SH slope vs signed k_median difference","k_median_diff_signed","slope_diff_signed",17,0.19695441966758,0.44864400541331
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate_polar","collection",NA,10,1,"tropical_temperate_polar","NH slope vs SH slope","slope_Northern","slope_Southern",9,-0.516666666666667,0.154390120986225
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate_polar","collection",NA,10,1,"tropical_temperate_polar","|NH-SH slope| vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_abs",9,-0.55,0.124976784188332
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate_polar","collection",NA,10,1,"tropical_temperate_polar","|NH-SH slope| vs k_cv difference","k_cv_diff","slope_diff_abs",9,0,1
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate_polar","collection",NA,10,1,"tropical_temperate_polar","|NH-SH slope| vs k_median asymmetry","k_median_asym","slope_diff_abs",9,-0.241522945769824,0.531267989082767
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate_polar","collection",NA,10,1,"tropical_temperate_polar","NH-SH slope vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_signed",9,0.216666666666667,0.575514895711926
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate_polar","collection",NA,10,1,"tropical_temperate_polar","NH-SH slope vs signed k_cv difference","k_cv_diff_signed","slope_diff_signed",9,-0.416666666666667,0.264586046747496
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate_polar","collection",NA,10,1,"tropical_temperate_polar","NH-SH slope vs signed k_median difference","k_median_diff_signed","slope_diff_signed",9,-0.241522945769824,0.531267989082767
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate","collection",NA,10,2,"tropical_temperate","NH slope vs SH slope","slope_Northern","slope_Southern",1,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate","collection",NA,10,2,"tropical_temperate","|NH-SH slope| vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_abs",1,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate","collection",NA,10,2,"tropical_temperate","|NH-SH slope| vs k_cv difference","k_cv_diff","slope_diff_abs",1,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate","collection",NA,10,2,"tropical_temperate","|NH-SH slope| vs k_median asymmetry","k_median_asym","slope_diff_abs",1,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate","collection",NA,10,2,"tropical_temperate","NH-SH slope vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_signed",1,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate","collection",NA,10,2,"tropical_temperate","NH-SH slope vs signed k_cv difference","k_cv_diff_signed","slope_diff_signed",1,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate","collection",NA,10,2,"tropical_temperate","NH-SH slope vs signed k_median difference","k_median_diff_signed","slope_diff_signed",1,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate","NH slope vs SH slope","slope_Northern","slope_Southern",27,-0.0744810744810745,0.71196711761762
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate","|NH-SH slope| vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_abs",27,-0.0433455433455433,0.83002224115038
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate","|NH-SH slope| vs k_cv difference","k_cv_diff","slope_diff_abs",27,0.0757020757020757,0.707448120587074
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate","|NH-SH slope| vs k_median asymmetry","k_median_asym","slope_diff_abs",27,-0.234930450395598,0.238171568344179
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate","NH-SH slope vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_signed",27,-0.194749694749695,0.330340686804123
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate","NH-SH slope vs signed k_cv difference","k_cv_diff_signed","slope_diff_signed",27,0.0781440781440781,0.698439219409796
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate","NH-SH slope vs signed k_median difference","k_median_diff_signed","slope_diff_signed",27,-0.0861411651450524,0.669220327444046
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar","NH slope vs SH slope","slope_Northern","slope_Southern",15,-0.403571428571428,0.135767996503656
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar","|NH-SH slope| vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_abs",15,-0.642857142857143,0.00973994469559528
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar","|NH-SH slope| vs k_cv difference","k_cv_diff","slope_diff_abs",15,0.257142857142857,0.354860363650609
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar","|NH-SH slope| vs k_median asymmetry","k_median_asym","slope_diff_abs",15,-0.333756793169543,0.224085035286049
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar","NH-SH slope vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_signed",15,0.0607142857142857,0.829812095442519
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar","NH-SH slope vs signed k_cv difference","k_cv_diff_signed","slope_diff_signed",15,0.114285714285714,0.685065762656898
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar","NH-SH slope vs signed k_median difference","k_median_diff_signed","slope_diff_signed",15,-0.165044568050873,0.556656324210655
"per_cell_all_cells_OLS","all_cells_slope","collection5_k2_tropical_temperate","collection",NA,5,2,"tropical_temperate","NH slope vs SH slope","slope_Northern","slope_Southern",5,0.1,0.872888571569538
"per_cell_all_cells_OLS","all_cells_slope","collection5_k2_tropical_temperate","collection",NA,5,2,"tropical_temperate","|NH-SH slope| vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_abs",5,-0.5,0.39100221895577
"per_cell_all_cells_OLS","all_cells_slope","collection5_k2_tropical_temperate","collection",NA,5,2,"tropical_temperate","|NH-SH slope| vs k_cv difference","k_cv_diff","slope_diff_abs",5,-0.7,0.188120404374188
"per_cell_all_cells_OLS","all_cells_slope","collection5_k2_tropical_temperate","collection",NA,5,2,"tropical_temperate","|NH-SH slope| vs k_median asymmetry","k_median_asym","slope_diff_abs",5,-0.0512989176042577,0.934712848108234
"per_cell_all_cells_OLS","all_cells_slope","collection5_k2_tropical_temperate","collection",NA,5,2,"tropical_temperate","NH-SH slope vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_signed",5,0.8,0.104088038661828
"per_cell_all_cells_OLS","all_cells_slope","collection5_k2_tropical_temperate","collection",NA,5,2,"tropical_temperate","NH-SH slope vs signed k_cv difference","k_cv_diff_signed","slope_diff_signed",5,-0.6,0.284756979865294
"per_cell_all_cells_OLS","all_cells_slope","collection5_k2_tropical_temperate","collection",NA,5,2,"tropical_temperate","NH-SH slope vs signed k_median difference","k_median_diff_signed","slope_diff_signed",5,-0.307793505625546,0.614384002810333
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate","NH slope vs SH slope","slope_Northern","slope_Southern",37,0.0749170222854433,0.65944336390858
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate","|NH-SH slope| vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_abs",37,-0.201754385964912,0.231125684327149
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate","|NH-SH slope| vs k_cv difference","k_cv_diff","slope_diff_abs",37,-0.117716792335293,0.487754121507156
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate","|NH-SH slope| vs k_median asymmetry","k_median_asym","slope_diff_abs",37,-0.107112192919402,0.528043773160545
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate","NH-SH slope vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_signed",37,0.115457562825984,0.496202249976007
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate","NH-SH slope vs signed k_cv difference","k_cv_diff_signed","slope_diff_signed",37,0.0983878615457563,0.562361425866324
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate","NH-SH slope vs signed k_median difference","k_median_diff_signed","slope_diff_signed",37,-0.0802419096648955,0.636853665411846
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar","NH slope vs SH slope","slope_Northern","slope_Southern",15,-0.503571428571428,0.0556545171611585
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar","|NH-SH slope| vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_abs",15,-0.714285714285714,0.00277438381763881
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar","|NH-SH slope| vs k_cv difference","k_cv_diff","slope_diff_abs",15,0.257142857142857,0.354860363650609
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar","|NH-SH slope| vs k_median asymmetry","k_median_asym","slope_diff_abs",15,-0.198427520675391,0.478365575168612
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar","NH-SH slope vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_signed",15,0.107142857142857,0.703901001626162
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar","NH-SH slope vs signed k_cv difference","k_cv_diff_signed","slope_diff_signed",15,0.414285714285714,0.124715442236571
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar","NH-SH slope vs signed k_median difference","k_median_diff_signed","slope_diff_signed",15,-0.290769617634285,0.29308252931628
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate","NH slope vs SH slope","slope_Northern","slope_Southern",5,-0.4,0.504631575468691
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate","|NH-SH slope| vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_abs",5,-0.6,0.284756979865294
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate","|NH-SH slope| vs k_cv difference","k_cv_diff","slope_diff_abs",5,0.2,0.747060078104662
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate","|NH-SH slope| vs k_median asymmetry","k_median_asym","slope_diff_abs",5,0.410391340834062,0.492535781702798
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate","NH-SH slope vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_signed",5,0.6,0.284756979865294
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate","NH-SH slope vs signed k_cv difference","k_cv_diff_signed","slope_diff_signed",5,-0.1,0.872888571569538
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate","NH-SH slope vs signed k_median difference","k_median_diff_signed","slope_diff_signed",5,0.205195670417031,0.740581941591072
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate","occurrence",10,NA,3,"tropical_temperate","NH slope vs SH slope","slope_Northern","slope_Southern",2,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate","occurrence",10,NA,3,"tropical_temperate","|NH-SH slope| vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_abs",2,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate","occurrence",10,NA,3,"tropical_temperate","|NH-SH slope| vs k_cv difference","k_cv_diff","slope_diff_abs",2,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate","occurrence",10,NA,3,"tropical_temperate","|NH-SH slope| vs k_median asymmetry","k_median_asym","slope_diff_abs",2,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate","occurrence",10,NA,3,"tropical_temperate","NH-SH slope vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_signed",2,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate","occurrence",10,NA,3,"tropical_temperate","NH-SH slope vs signed k_cv difference","k_cv_diff_signed","slope_diff_signed",2,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate","occurrence",10,NA,3,"tropical_temperate","NH-SH slope vs signed k_median difference","k_median_diff_signed","slope_diff_signed",2,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate","NH slope vs SH slope","slope_Northern","slope_Southern",42,0.177862409853334,0.259781499676267
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate","|NH-SH slope| vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_abs",42,0.0405963860303055,0.798522299617936
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate","|NH-SH slope| vs k_cv difference","k_cv_diff","slope_diff_abs",42,-0.135564378899603,0.391994735653032
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate","|NH-SH slope| vs k_median asymmetry","k_median_asym","slope_diff_abs",42,0.183965000533566,0.243519099826573
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate","NH-SH slope vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_signed",42,0.237501012883883,0.129900213036668
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate","NH-SH slope vs signed k_cv difference","k_cv_diff_signed","slope_diff_signed",42,0.0378413418685682,0.811939994688138
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate","NH-SH slope vs signed k_median difference","k_median_diff_signed","slope_diff_signed",42,0.00562450797875357,0.971799712938652
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","occurrence",5,NA,1,"tropical_temperate_polar","NH slope vs SH slope","slope_Northern","slope_Southern",18,-0.281733746130031,0.257375375732314
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","occurrence",5,NA,1,"tropical_temperate_polar","|NH-SH slope| vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_abs",18,-0.514963880288958,0.0287487548826303
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","occurrence",5,NA,1,"tropical_temperate_polar","|NH-SH slope| vs k_cv difference","k_cv_diff","slope_diff_abs",18,-0.292053663570691,0.239601763905442
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","occurrence",5,NA,1,"tropical_temperate_polar","|NH-SH slope| vs k_median asymmetry","k_median_asym","slope_diff_abs",18,-0.0900360445044158,0.72237244493344
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","occurrence",5,NA,1,"tropical_temperate_polar","NH-SH slope vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_signed",18,0.364293085655315,0.137216716124332
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","occurrence",5,NA,1,"tropical_temperate_polar","NH-SH slope vs signed k_cv difference","k_cv_diff_signed","slope_diff_signed",18,0.139318885448916,0.581396209584758
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","occurrence",5,NA,1,"tropical_temperate_polar","NH-SH slope vs signed k_median difference","k_median_diff_signed","slope_diff_signed",18,-0.119392966640016,0.637019405285572
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","occurrence",5,NA,2,"tropical_temperate","NH slope vs SH slope","slope_Northern","slope_Southern",10,0.0909090909090909,0.802771731207162
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","occurrence",5,NA,2,"tropical_temperate","|NH-SH slope| vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_abs",10,-0.381818181818182,0.276255333385436
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","occurrence",5,NA,2,"tropical_temperate","|NH-SH slope| vs k_cv difference","k_cv_diff","slope_diff_abs",10,0.175757575757576,0.627188344776484
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","occurrence",5,NA,2,"tropical_temperate","|NH-SH slope| vs k_median asymmetry","k_median_asym","slope_diff_abs",10,0.253413382369672,0.479906446924679
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","occurrence",5,NA,2,"tropical_temperate","NH-SH slope vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_signed",10,0.745454545454545,0.01333014631544
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","occurrence",5,NA,2,"tropical_temperate","NH-SH slope vs signed k_cv difference","k_cv_diff_signed","slope_diff_signed",10,-0.127272727272727,0.72605701476279
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","occurrence",5,NA,2,"tropical_temperate","NH-SH slope vs signed k_median difference","k_median_diff_signed","slope_diff_signed",10,0.161627045958809,0.655533103205703
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate_polar","occurrence",5,NA,2,"tropical_temperate_polar","NH slope vs SH slope","slope_Northern","slope_Southern",4,0.4,0.6
