"method_group","slope_metric","qc_name","n_pairs","status"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate",62,"ok"
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate",60,"ok"
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate",48,"ok"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate",29,"ok"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate",18,"ok"
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate",62,"ok"
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate",60,"ok"
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate",48,"ok"
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k1_tropical_temperate",29,"ok"
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k2_tropical_temperate",18,"ok"
"percentile_latbin_OLS","q75","occurrence5_k1_tropical_temperate",62,"ok"
"percentile_latbin_OLS","q75","occurrence10_k1_tropical_temperate",60,"ok"
"percentile_latbin_OLS","q75","collection5_k1_tropical_temperate",48,"ok"
"percentile_latbin_OLS","q75","collection10_k1_tropical_temperate",29,"ok"
"percentile_latbin_OLS","q75","occurrence5_k2_tropical_temperate",18,"ok"
