"method_group","slope_metric","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","bin_midpoint","stage","era","sampling_profile_dissim","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","k_sample_Northern","k_sample_Southern","interval_width_Northern","interval_width_Southern","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_median_asym","k_median_diff","k_median_diff_signed","k_sample_asym","k_sample_diff_signed","interval_width_asym","interval_width_diff_signed","mean_interval_width"
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate",1.29585,"Pleistocene","Cenozoic",0.727272727272727,-0.644249209211938,-0.33268938009702,2,0,0.760949484293839,1.3906416855253,1,1,0.712837585766434,0.0867821782074327,0.311559829114918,-0.311559829114918,0.629692201231466,-0.629692201231466,1.09861228866811,2,2,0,0,0.454930202076097,0.626055407559001,0.399809881986933
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate",4.4665,"Zanclean","Cenozoic",0.304347826086956,-0.590739706064915,-0.306170986984057,1,0,0.840565011483328,1.455213750218,1,1,0.462792042724177,0,0.284568719080858,-0.284568719080858,0.61464873873467,-0.61464873873467,0.693147180559945,1,1,0,0,0.380346967521784,0.462792042724177,0.231396021362089
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate",9.438,"Tortonian","Cenozoic",0.326086956521739,-0.607620978398731,-0.501919082816457,1,0,0.882386299825324,1.56261854292219,1,1,0.285629675444216,0.424572182140252,0.105701895582274,-0.105701895582274,0.680232243096868,-0.680232243096868,0.693147180559945,1,1,0,0,0.102622927457543,-0.138942506696036,0.355100928792234
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate",12.725,"Serravallian","Cenozoic",0.928571428571428,0.532286518573332,-0.786483792360545,2,0,0.824221557877849,1.99939966980488,1,1,1.3916595755822,0.909784917634513,1.31877031093388,1.31877031093388,1.17517811192703,-1.17517811192703,1.09861228866811,2,2,0,0,0.224996880910413,0.481874657947684,1.15072224660836
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate",18.215,"Burdigalian","Cenozoic",0.576923076923077,0.308695194955363,-0.0857604810904374,1,0.5,0.941251497609805,1.40928253772803,1,1,0.947413759211271,0.350516451304274,0.3944556760458,0.3944556760458,0.46803104011822,-0.46803104011822,0.287682072451781,0.5,0.5,0,0,0.366015139147974,0.596897307906998,0.648965105257773
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate",44.55,"Lutetian","Cenozoic",1.35416666666667,0.00495979002678257,-0.179394705151911,1,0,0.996316746232607,1.92506684375924,1,1,0.669381428642269,0,0.184354495178694,0.184354495178694,0.928750097526637,-0.928750097526637,0.693147180559945,1,1,0,0,0.512453155802278,0.669381428642269,0.334690714321135
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate",52.035,"Ypresian","Cenozoic",1.5,0.587629472688017,0.515217258235191,0.5,0,1.27331203144075,1.92506684375924,1,1,0.147519159004597,0,0.0724122144528266,0.0724122144528266,0.651754812318496,-0.651754812318496,0.405465108108164,0.5,0.5,0,0,0.137602359113484,0.147519159004597,0.0737595795022986
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate",106.85,"Albian","Mesozoic",1.23076923076923,-0.197345938394803,-0.00773611629021862,1,1,1.10981650603639,1.04109770979986,1,1,0.192689139442089,0.107034445044041,0.189609822104584,-0.189609822104584,0.0687187962365376,0.0687187962365376,0,0,0,0,0,0.0745257697921027,0.0856546943980484,0.149861792243065
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate",117.3,"Aptian","Mesozoic",0.382352941176471,-0.152782550543786,0.0475629364359798,1,0,1.33301102013774,1.78226557735801,1,1,0.147512243749274,0.0871955205676776,0.200345486979765,-0.200345486979765,0.449254557220269,-0.449254557220269,0.693147180559945,1,1,0,0,0.0539948691381602,0.060316723181596,0.117353882158476
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate",196.2,"Sinemurian","Mesozoic",0.785714285714285,-0.887639445898062,-0.16234776368156,0,0,1.42853362748394,1.56261854292219,1,1,0.651436423950709,0.00530579613946489,0.725291682216502,-0.725291682216502,0.134084915438248,-0.134084915438248,0,0,0,0,0,0.496353699170569,0.646130627811244,0.328371110045087
