"method_group","slope_metric","qc_name","hemisphere","group1","group2","n1","n2","median1","median2","median_diff","p_value","w_statistic","iqr1","iqr2","test_note","p_adjusted"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coldhouse","Transitional",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coldhouse","Hothouse",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coolhouse","Transitional",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coolhouse","Hothouse",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Transitional","Warmhouse",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Transitional","Hothouse",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Warmhouse","Hothouse",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coldhouse","Coolhouse",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coldhouse","Transitional",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coldhouse","Warmhouse",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coldhouse","Hothouse",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coolhouse","Transitional",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coolhouse","Warmhouse",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coolhouse","Hothouse",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Transitional","Warmhouse",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Transitional","Hothouse",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Warmhouse","Hothouse",0,0,NA,NA,NA,NA,NA,NA,NA,"Skipped: n < 2",NA
