"bin_midpoint","stage","era","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","k_mean_Northern","k_mean_Southern","sampling_profile_dissim","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_cv_asym","k_median_diff","k_median_asym","k_median_diff_signed","k_mean_diff","k_mean_asym","k_mean_diff_signed","method_group","slope_metric","qc_name"
0.00585,"Holocene","Cenozoic",-0.484251141441981,0.196116959546815,1,0,1.05709200980769,1.3906416855253,0.944444444444444,0.611111111111111,0.240641711229947,0.680368100988796,-0.680368100988796,0.33354967571761,-0.33354967571761,0.15026847780798,1,0.693147180559945,1,0.333333333333333,0.188052231502939,0.333333333333333,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
1.29585,"Pleistocene","Cenozoic",-0.363077259135101,-0.241989054199127,3.5,1,0.747817954235568,0.956411671700011,3.88888888888889,1.44444444444444,0.217582417582418,0.121088204935974,-0.121088204935974,0.208593717464443,-0.208593717464443,0.112743888936344,2.5,0.810930216216329,2.5,2.44444444444445,0.693147180559947,2.44444444444445,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
3.09,"Piacenzian","Cenozoic",-0.809788394739922,-0.956252988479485,1,0,1.28623938856882,1.71498585142509,1.33333333333333,0.5,1.44444444444444,0.146464593739563,0.146464593739563,0.42874646285627,-0.42874646285627,0.171878462811986,1,0.693147180559945,1,0.83333333333333,0.441832752279038,0.83333333333333,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
4.4665,"Zanclean","Cenozoic",-0.405944797924828,-0.674158189540685,2,0,0.849240463104524,1.56261854292219,2.27777777777778,0.388888888888889,0.195121951219512,0.268213391615857,0.268213391615857,0.713378079817666,-0.713378079817666,0.326254609743936,2,1.09861228866811,2,1.88888888888889,0.858661619037519,1.88888888888889,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
9.438,"Tortonian","Cenozoic",-0.560505254626939,-0.0273812291281852,2,0,0.85617268947809,1.4142135623731,2.16666666666667,0.5,0.448717948717949,0.533124025498754,-0.533124025498754,0.55804087289501,-0.55804087289501,0.262856913084018,2,1.09861228866811,2,1.66666666666667,0.747214401830222,1.66666666666667,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
12.725,"Serravallian","Cenozoic",0.109057551867294,-0.0403421850507237,1.5,0,1.12219019106464,1.87491176262966,2.16666666666667,0.555555555555556,0.7,0.149399736918018,0.149399736918018,0.75272157156502,-0.75272157156502,0.303573318132232,1.5,0.916290731874155,1.5,1.61111111111111,0.710846757659347,1.61111111111111,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
18.215,"Burdigalian","Cenozoic",0.158702976129035,-0.109823224350815,3,0,0.826539395231907,1.8470962903656,2.38888888888889,1,0.65891472868217,0.26852620047985,0.26852620047985,1.02055689513369,-1.02055689513369,0.443876493697595,3,1.38629436111989,3,1.38888888888889,0.527354925717202,1.38888888888889,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
25.17,"Chattian","Cenozoic",-0.150919648155404,0.166514819130262,1,0,1.08898225556764,2.5162139283084,1.66666666666667,0.388888888888889,0.928571428571428,0.317434467285666,-0.317434467285666,1.42723167274076,-1.42723167274076,0.520707833885671,1,0.693147180559945,1,1.27777777777778,0.652325186039691,1.27777777777778,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
30.6,"Rupelian","Cenozoic",0.163410446038669,0.313045587657245,1,0,1.13598775841772,2.46743496248992,1.94444444444444,0.222222222222222,0.4,0.149635141618576,-0.149635141618576,1.3314472040722,-1.3314472040722,0.484485926715782,1,0.693147180559945,1,1.72222222222222,0.879249460193805,1.72222222222222,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
35.805,"Priabonian","Cenozoic",0.312699939685491,0.238343500580922,1,0,1.20872094229075,2.08637033540802,2.05555555555556,0.5,0.202702702702703,0.074356439104569,0.074356439104569,0.87764939311727,-0.87764939311727,0.334582162894342,1,0.693147180559945,1,1.55555555555556,0.711496319228143,1.55555555555556,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
39.37,"Bartonian","Cenozoic",0.289012060428657,-0.349154939159156,1,0,1.47397533811605,1.92506684375924,1.88888888888889,0.444444444444444,0.8125,0.638166999587813,0.638166999587813,0.45109150564319,-0.45109150564319,0.167491027494556,1,0.693147180559945,1,1.44444444444445,0.693147180559946,1.44444444444445,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
44.55,"Lutetian","Cenozoic",0.325771215533217,0.0181384454522007,1,0,1.10825777421936,1.57181049598675,1.94444444444444,0.5,1.93333333333333,0.307632770081016,0.307632770081016,0.46355272176739,-0.46355272176739,0.198748217040656,1,0.693147180559945,1,1.44444444444444,0.674455047547791,1.44444444444444,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
