"","bin_midpoint","combined_slope","southern_slope","northern_slope","bin","stage","short","bottom","top","dur","climate_state"
"1",0.00585,-0.885224414427696,0.139134850636227,-1.28370285317745,97,"Holocene","Hol",0.0117,0,0.0117,"Coldhouse"
"2",1.29585,-1.45957158443832,0.538987468938783,-1.91109986896768,96,"Pleistocene","Ple",2.58,0.0117,2.5683,"Coldhouse"
"3",3.09,-1.36607303174282,-1.93374822785607,-1.43086711435281,95,"Piacenzian","Pia",3.6,2.58,1.02,"Coldhouse"
"4",4.4665,-0.909169242015819,-0.199611198104513,-1.21769890147043,94,"Zanclean","Zan",5.333,3.6,1.733,"Coldhouse"
"5",6.2895,-1.83670946424737,0.161159496554608,-1.96658174968073,93,"Messinian","Mes",7.246,5.333,1.913,"Coldhouse"
"6",9.438,-1.8044668315153,-0.656438089186245,-2.28703832123896,92,"Tortonian","Tor",11.63,7.246,4.384,"Coolhouse"
"7",12.725,-1.37721600292059,-1.06190540801146,-1.54666092881772,91,"Serravallian","Ser",13.82,11.63,2.19,"Transitional"
"8",14.9,0.330371609721804,0.723016359946127,0.366000310081818,90,"Langhian","Lan",15.98,13.82,2.16,"Transitional"
"9",18.215,0.174415877310667,-0.108861905657604,0.426540187282916,89,"Burdigalian","Bur",20.45,15.98,4.47,"Transitional"
"10",21.745,0.310153348485905,0.601565097798535,0.587067649081668,88,"Aquitanian","Aqu",23.04,20.45,2.59,"Coolhouse"
"11",25.17,0.320500480760355,-0.051541983624475,0.449287412263491,87,"Chattian","Cht",27.3,23.04,4.26,"Transitional"
"12",30.6,0.383123472101616,-0.316405255051056,0.499739463124443,86,"Rupelian","Rup",33.9,27.3,6.6,"Transitional"
"13",35.805,0.315033179338028,-0.656088207579768,0.585772234435075,85,"Priabonian","Prb",37.71,33.9,3.81,"Warmhouse"
"14",39.37,0.220753860327372,-0.157958955305362,0.562574487775991,84,"Bartonian","Brt",41.03,37.71,3.32,"Warmhouse"
"15",44.55,0.210782644513759,-0.806830832585258,0.544307169030857,83,"Lutetian","Lut",48.07,41.03,7.04,"Warmhouse"
"16",52.035,0.501641581578127,1.11855857955344,0.0190336682999065,82,"Ypresian","Ypr",56,48.07,7.93,"Hothouse"
"17",57.62,0.118900799790465,0.144964890605487,0.0766729644593291,81,"Thanetian","Th",59.24,56,3.24,"Warmhouse"
"18",60.45,-1.27882143013506,-2.02196951513217,-1.70514742574317,80,"Selandian","Se",61.66,59.24,2.42,"Hothouse"
"19",63.83,3.03333404653385,0.449427805737186,4.90991242076834,79,"Danian","Dan",66,61.66,4.34,"Hothouse"
"20",69.1,0.193010301283129,-0.593947390065513,0.516430894305624,78,"Maastrichtian","Maa",72.2,66,6.2,"Transitional"
"21",77.9,0.0940659881292804,0.269141787694835,0.00969232653533439,77,"Campanian","Cam",83.6,72.2,11.4,"Warmhouse"
"22",84.65,0.0467116600076765,0.0856278471509814,0.0257585393021781,76,"Santonian","San",85.7,83.6,2.1,"Hothouse"
"23",87.75,-0.114936729241254,-0.327333692669097,0.0926062224510769,75,"Coniacian","Con",89.8,85.7,4.1,"Hothouse"
"24",91.85,-0.205308191321385,-0.345752551858817,-0.144328756728408,74,"Turonian","Tur",93.9,89.8,4.1,"Hothouse"
"25",97.2,-0.181256314140318,-0.14467018460943,-0.19183265758719,73,"Cenomanian","Cen",100.5,93.9,6.6,"Hothouse"
"26",106.85,-0.141175887887517,-0.120950497569019,-0.144663218240167,72,"Albian","Alb",113.2,100.5,12.7,"Warmhouse"
"27",117.3,-0.0131022572467439,-0.00118963086717515,0.129399549929101,71,"Aptian","Apt",121.4,113.2,8.2,"Hothouse"
"28",123.585,-0.277476360034476,0.153701229549397,-0.352151649714192,70,"Barremian","Bar",125.77,121.4,4.37,"Hothouse"
"29",129.185,-0.21668193553181,0.383427012538221,-0.212609442874699,69,"Hauterivian","Hau",132.6,125.77,6.83,"Warmhouse"
"30",134.825,0.0812287435229276,0.213829371199691,0.0491139151585712,68,"Valanginian","Val",137.05,132.6,4.45,"Warmhouse"
"31",140.075,0.00315097442549575,-0.0763255149377825,0.0722061915050214,67,"Berriasian","Ber",143.1,137.05,6.05,"Warmhouse"
"32",146.15,-0.26823078132289,-0.500183041339005,-0.128400774691262,66,"Tithonian","Tit",149.2,143.1,6.1,"Warmhouse"
"33",152,0.00279801591670768,-0.415591269653295,0.274617780990305,65,"Kimmeridgian","Kim",154.8,149.2,5.6,"Transitional"
"34",158.15,-0.495448050026884,-0.616996784621433,-0.32811954410751,64,"Oxfordian","Oxf",161.5,154.8,6.7,"Transitional"
"35",163.4,-0.465153876529771,-0.113959996228989,-0.47467971175289,63,"Callovian","Cal",165.3,161.5,3.8,"Coolhouse"
"36",166.75,-0.233416020911333,-0.52853352296591,0.0544116787914814,62,"Bathonian","Bat",168.2,165.3,2.9,"Coldhouse"
"37",169.55,-0.313670729066714,-0.319015350943136,-0.323666425194893,61,"Bajocian","Baj",170.9,168.2,2.7,"Coolhouse"
"38",172.8,0.128737467274712,0.26212820981597,-0.0400807381971599,60,"Aalenian","Aal",174.7,170.9,3.8,"Transitional"
"39",179.45,-0.203580910853352,-0.339307448950905,-0.129931660563298,59,"Toarcian","Toa",184.2,174.7,9.5,"Warmhouse"
"40",188.55,-0.174034885375624,-0.266384345063439,-0.167176137441051,58,"Pliensbachian","Plb",192.9,184.2,8.7,"Transitional"
"41",196.2,0.0937119734472965,-0.0265909304187389,0.0397640908795427,57,"Sinemurian","Sin",199.5,192.9,6.6,"Transitional"
"42",200.45,0.0113287224750217,0.152674297162126,-0.0927239955362052,56,"Hettangian","Het",201.4,199.5,1.9,"Transitional"
"43",203.55,-0.182494849784051,-0.321851329586147,-0.125505509160145,55,"Rhaetian","Rha",205.7,201.4,4.3,"Coolhouse"
"44",216.5,-0.230769119594301,-0.204268095356468,-0.242395433575874,54,"Norian","Nor",227.3,205.7,21.6,"Transitional"
"45",232.15,-0.0340409955007364,0.458761387438179,-0.141899749735266,53,"Carnian","Car",237,227.3,9.7,"Transitional"
"46",239.232,-0.112274285928059,0.049421861733058,-0.160523656243515,52,"Ladinian","Lad",241.464,237,4.464,"Coolhouse"
"47",244.082,-0.293621980299245,-0.142180525372465,-0.341270728674929,51,"Anisian","Ani",246.7,241.464,5.236,"Warmhouse"
"48",248.3,-0.0546160016143431,-0.443618144274598,-0.00588088618354659,50,"Olenekian","Ole",249.9,246.7,3.2,"Warmhouse"
"49",250.901,-0.051474779622613,0.0869389217979466,-0.0657161103392276,49,"Induan","Ind",251.902,249.9,2.002,"Hothouse"
